Codice.comune,Comune,Popolazione.censita.al.1..gennaio,Nati.vivi,Morti,Saldo.naturale,Immigrati.da.altro.comune,Emigrati.per.altro.comune,Saldo.migratorio.interno,Immigrati.dall.estero,Emigrati.per.l.estero,Saldo.migratorio.con.l.estero,Unità.in.più.meno.dovute.a.variazioni.territoriali,Aggiustamento.statistico,Saldo.totale,Popolazione.censita.al.31.dicembre,Numero.di.famiglie.al.31.dicembre,Popolazione.censita.al.31.dicembre.residente.in.famiglia,Numero.medio.di.componenti.per.famiglia.al.31.dicembre,Numero.di.convivenze.al.31.dicembre,Popolazione.censita.al.31.dicembre.residente.in.convivenza,year
7001,Allein,213,0,5,-5,9,9,0,2,0,2,0,0,-3,210,115,210,1.8,0,0,2019
7002,Antey-Saint-André,584,5,7,-2,13,25,-12,4,0,4,0,-9,-19,565,284,560,2,2,5,2019
7003,Aosta,34169,223,404,-181,1064,1051,13,194,65,129,0,-214,-253,33916,16510,33546,2,36,370,2019
7004,Arnad,1255,9,19,-10,32,32,0,5,7,-2,0,2,-10,1245,598,1232,2.1,1,13,2019
7005,Arvier,879,11,9,2,23,32,-9,4,5,-1,0,-1,-9,870,408,870,2.1,0,0,2019
7006,Avise,310,0,4,-4,3,2,1,0,1,-1,0,0,-4,306,141,306,2.2,0,0,2019
7007,Ayas,1379,14,11,3,32,16,16,5,11,-6,0,1,14,1393,670,1393,2.1,0,0,2019
7008,Aymavilles,2061,18,21,-3,112,68,44,10,7,3,0,-1,43,2104,964,2097,2.2,1,7,2019
7009,Bard,121,0,2,-2,10,6,4,0,0,0,0,-1,1,122,59,122,2,0,0,2019
7010,Bionaz,229,1,2,-1,3,7,-4,1,0,1,0,0,-4,225,123,225,1.8,0,0,2019
7011,Brissogne,963,7,8,-1,43,54,-11,4,6,-2,0,-1,-15,948,415,911,2.2,2,37,2019
7012,Brusson,915,4,13,-9,20,43,-23,2,1,1,0,-1,-32,883,429,865,2,3,18,2019
7013,Challand-Saint-Anselme,762,5,11,-6,17,13,4,4,4,0,0,-2,-4,758,353,752,2.1,1,6,2019
7014,Challand-Saint-Victor,569,4,6,-2,3,18,-15,0,3,-3,0,-1,-21,548,284,548,1.9,0,0,2019
7015,Chambave,942,3,11,-8,37,45,-8,3,4,-1,0,-6,-23,919,456,919,2,0,0,2019
7016,Chamois,98,0,3,-3,4,1,3,0,0,0,0,0,0,98,65,98,1.5,0,0,2019
7017,Champdepraz,729,7,7,0,21,30,-9,2,2,0,0,-6,-15,714,345,714,2.1,0,0,2019
7018,Champorcher,409,0,4,-4,5,15,-10,4,0,4,0,-5,-15,394,226,394,1.7,0,0,2019
7019,Charvensod,2362,12,23,-11,114,132,-18,5,3,2,0,3,-24,2338,1088,2337,2.2,1,1,2019
7020,Châtillon,4588,28,52,-24,124,155,-31,24,33,-9,0,0,-64,4524,2161,4458,2.1,8,66,2019
7021,Cogne,1389,10,25,-15,35,30,5,9,10,-1,0,-1,-12,1377,721,1374,1.9,1,3,2019
7022,Courmayeur,2771,16,28,-12,92,107,-15,22,7,15,0,2,-10,2761,1424,2760,1.9,1,1,2019
7023,Donnas,2486,6,37,-31,84,78,6,8,5,3,0,-16,-38,2448,1169,2418,2.1,1,30,2019
7024,Doues,516,4,6,-2,13,15,-2,1,2,-1,0,1,-4,512,255,503,2,1,9,2019
7025,Emarèse,219,3,1,2,7,5,2,1,1,0,0,0,4,223,105,216,2,1,7,2019
7026,Etroubles,504,1,9,-8,20,30,-10,4,6,-2,0,-3,-23,481,237,481,2,0,0,2019
7027,Fénis,1778,11,24,-13,90,66,24,14,22,-8,0,-12,-9,1769,831,1761,2.1,1,8,2019
7028,Fontainemore,434,3,8,-5,6,9,-3,4,0,4,0,1,-3,431,222,431,1.9,0,0,2019
7029,Gaby,478,2,4,-2,10,28,-18,2,1,1,0,1,-18,460,257,457,1.8,1,3,2019
7030,Gignod,1699,15,16,-1,79,66,13,5,4,1,0,3,16,1715,787,1702,2.2,3,13,2019
7031,Gressan,3408,27,38,-11,145,144,1,14,14,0,0,-5,-15,3393,1582,3376,2.1,1,17,2019
7032,Gressoney-La-Trinité,303,4,5,-1,15,1,14,3,1,2,0,0,15,318,142,318,2.2,0,0,2019
7033,Gressoney-Saint-Jean,825,5,10,-5,17,20,-3,0,2,-2,0,-3,-13,812,392,807,2.1,2,5,2019
