year,parameter,annual_mean_value,annual_median_value,n_station_month_obs,n_stations
2019,precipitazione,2.1962576828728673,1.7,83,7
2019,pressione,867.5242396313364,848.0238095238096,48,4
2019,temperatura,9.112129211282785,8.270967741935483,96,8
2019,umidit_relativa,62.02301580680474,63.053548387096775,84,7
2020,precipitazione,1.809393025368183,1.5380645161290325,84,7
2020,pressione,869.2092973674453,851.3008602150537,48,4
2020,temperatura,9.028770505927763,8.451612903225808,96,8
2020,umidit_relativa,63.894814031599346,63.87806451612903,84,7
2021,precipitazione,1.919514986499856,1.72,83,7
2021,pressione,868.6452859383,850.1772580645161,48,4
2021,temperatura,8.322719763030351,7.453494623655914,96,8
2021,umidit_relativa,63.72566963418664,64.9891935483871,84,7
2022,precipitazione,1.5109665438292486,1.31,84,7
2022,pressione,870.2414356891255,852.9516129032259,48,4
2022,temperatura,9.956662277420238,9.381397849462365,96,8
2022,umidit_relativa,59.30969502773301,59.3758064516129,84,7
2023,precipitazione,2.268882709183043,1.983548387096774,84,7
2023,pressione,868.64602390553,851.2479761904763,48,4
2023,temperatura,9.67695028481823,8.690322580645162,96,8
2023,umidit_relativa,61.26686571082312,61.549623655913976,84,7
2024,precipitazione,3.160957010827237,2.9025806451612906,84,7
2024,pressione,868.9980913978495,850.5974416017798,48,4
2024,temperatura,9.352906624644667,8.196451612903227,96,8
2024,umidit_relativa,65.90362236530618,64.4210233592881,84,7
2025,precipitazione,2.652609935939385,2.045161290322581,63,7
2025,pressione,869.6772217955282,853.4327419354838,36,4
2025,temperatura,10.711861275903267,11.221666666666668,72,8
2025,umidit_relativa,65.02367600317072,65.7483870967742,63,7
