station_id,station_name,year,parameter,n_months_with_data
3550,Gressoney-la-Trinit - D'Ejola,2019,precipitazione,12
3550,Gressoney-la-Trinit - D'Ejola,2019,pressione,0
3550,Gressoney-la-Trinit - D'Ejola,2019,temperatura,12
3550,Gressoney-la-Trinit - D'Ejola,2019,umidit_relativa,0
3550,Gressoney-la-Trinit - D'Ejola,2020,precipitazione,12
3550,Gressoney-la-Trinit - D'Ejola,2020,pressione,0
3550,Gressoney-la-Trinit - D'Ejola,2020,temperatura,12
3550,Gressoney-la-Trinit - D'Ejola,2020,umidit_relativa,0
3550,Gressoney-la-Trinit - D'Ejola,2021,precipitazione,12
3550,Gressoney-la-Trinit - D'Ejola,2021,pressione,0
3550,Gressoney-la-Trinit - D'Ejola,2021,temperatura,12
3550,Gressoney-la-Trinit - D'Ejola,2021,umidit_relativa,0
3550,Gressoney-la-Trinit - D'Ejola,2022,precipitazione,12
3550,Gressoney-la-Trinit - D'Ejola,2022,pressione,0
3550,Gressoney-la-Trinit - D'Ejola,2022,temperatura,12
3550,Gressoney-la-Trinit - D'Ejola,2022,umidit_relativa,0
3550,Gressoney-la-Trinit - D'Ejola,2023,precipitazione,12
3550,Gressoney-la-Trinit - D'Ejola,2023,pressione,0
3550,Gressoney-la-Trinit - D'Ejola,2023,temperatura,12
3550,Gressoney-la-Trinit - D'Ejola,2023,umidit_relativa,0
3550,Gressoney-la-Trinit - D'Ejola,2024,precipitazione,12
3550,Gressoney-la-Trinit - D'Ejola,2024,pressione,0
3550,Gressoney-la-Trinit - D'Ejola,2024,temperatura,12
3550,Gressoney-la-Trinit - D'Ejola,2024,umidit_relativa,0
3550,Gressoney-la-Trinit - D'Ejola,2025,precipitazione,9
3550,Gressoney-la-Trinit - D'Ejola,2025,pressione,0
3550,Gressoney-la-Trinit - D'Ejola,2025,temperatura,9
3550,Gressoney-la-Trinit - D'Ejola,2025,umidit_relativa,0
3560,Roisan - Preyl,2019,precipitazione,11
3560,Roisan - Preyl,2019,pressione,0
3560,Roisan - Preyl,2019,temperatura,12
3560,Roisan - Preyl,2019,umidit_relativa,12
3560,Roisan - Preyl,2020,precipitazione,12
3560,Roisan - Preyl,2020,pressione,0
3560,Roisan - Preyl,2020,temperatura,12
3560,Roisan - Preyl,2020,umidit_relativa,12
3560,Roisan - Preyl,2021,precipitazione,11
3560,Roisan - Preyl,2021,pressione,0
3560,Roisan - Preyl,2021,temperatura,12
3560,Roisan - Preyl,2021,umidit_relativa,12
3560,Roisan - Preyl,2022,precipitazione,12
3560,Roisan - Preyl,2022,pressione,0
3560,Roisan - Preyl,2022,temperatura,12
3560,Roisan - Preyl,2022,umidit_relativa,12
3560,Roisan - Preyl,2023,precipitazione,12
3560,Roisan - Preyl,2023,pressione,0
3560,Roisan - Preyl,2023,temperatura,12
3560,Roisan - Preyl,2023,umidit_relativa,12
3560,Roisan - Preyl,2024,precipitazione,12
3560,Roisan - Preyl,2024,pressione,0
3560,Roisan - Preyl,2024,temperatura,12
3560,Roisan - Preyl,2024,umidit_relativa,12
3560,Roisan - Preyl,2025,precipitazione,9
3560,Roisan - Preyl,2025,pressione,0
3560,Roisan - Preyl,2025,temperatura,9
3560,Roisan - Preyl,2025,umidit_relativa,9
4000,Aosta - Piazza Plouves,2019,precipitazione,0
