year_month,year,month,month_label,parameter,mean_value,median_value,sd_value,n_stations_with_data
2019-01-01,2019,1,Jan,precipitazione,0.37526881720430105,0.3387096774193547,0.2652049776950692,6
2019-01-01,2019,1,Jan,pressione,862.5883352534562,845.258064516129,58.5459039893635,4
2019-01-01,2019,1,Jan,temperatura,0.13500864055299544,1.1903225806451614,3.456948679438586,8
2019-01-01,2019,1,Jan,umidit_relativa,47.446543778801846,47.75483870967742,3.6945455089918684,7
2019-02-01,2019,2,Feb,precipitazione,0.5102040816326531,0.5071428571428571,0.3520314501366683,7
2019-02-01,2019,2,Feb,pressione,872.55625,854.8125,58.99318372471429,4
2019-02-01,2019,2,Feb,temperatura,3.127644230769231,3.001785714285714,2.6960198591165243,8
2019-02-01,2019,2,Feb,umidit_relativa,50.89642857142857,50.54642857142857,5.117312136600753,7
2019-03-01,2019,3,Mar,precipitazione,0.5273531437046454,0.5354838709677421,0.17139163626858153,7
2019-03-01,2019,3,Mar,pressione,869.8677419354839,852.5258064516129,58.34947757371291,4
2019-03-01,2019,3,Mar,temperatura,5.551098442714126,5.70483870967742,4.092408985703443,8
2019-03-01,2019,3,Mar,umidit_relativa,45.83778801843318,46.325806451612905,4.565893144731661,7
2019-04-01,2019,4,Apr,precipitazione,2.341904761904762,1.913333333333333,1.0914530870678048,7
2019-04-01,2019,4,Apr,pressione,864.1958333333333,846.9300000000001,57.69669162958994,4
2019-04-01,2019,4,Apr,temperatura,7.012916666666667,7.205,4.147583514281118,8
2019-04-01,2019,4,Apr,umidit_relativa,60.871904761904766,62.67,4.426433585372573,7
2019-05-01,2019,5,May,precipitazione,1.6956682027649768,1.593548387096774,0.7259829380922599,7
2019-05-01,2019,5,May,pressione,864.3540322580645,847.416129032258,56.964964457858215,4
2019-05-01,2019,5,May,temperatura,9.814863737486096,9.796551724137931,4.139330078423282,8
2019-05-01,2019,5,May,umidit_relativa,59.41034482758621,62.041935483870965,5.7269707054384424,7
2019-06-01,2019,6,Jun,precipitazione,2.4404951370468613,2.2733333333333334,0.9920400688607638,7
2019-06-01,2019,6,Jun,pressione,870.6408333333333,853.9966666666667,55.539691937888406,4
2019-06-01,2019,6,Jun,temperatura,17.33791666666667,17.648333333333333,3.760824773396187,8
2019-06-01,2019,6,Jun,umidit_relativa,63.244285714285716,64.20333333333333,3.6662341736273514,7
2019-07-01,2019,7,Jul,precipitazione,1.8699300221880868,1.8838709677419356,0.44188670070194525,7
2019-07-01,2019,7,Jul,pressione,868.9943548387097,852.5532258064516,54.86648672700701,4
2019-07-01,2019,7,Jul,temperatura,19.443427419354837,19.784999999999997,3.8770473790278,8
2019-07-01,2019,7,Jul,umidit_relativa,58.13972350230415,57.83225806451613,4.073416046358062,7
2019-08-01,2019,8,Aug,precipitazione,2.5279569892473117,2.3483870967741938,1.18447274396513,7
2019-08-01,2019,8,Aug,pressione,871.1701612903227,854.5258064516129,55.41170202490865,4
2019-08-01,2019,8,Aug,temperatura,18.000389784946236,18.24672043010753,3.884438035782159,8
2019-08-01,2019,8,Aug,umidit_relativa,67.22619047619048,67.88333333333334,4.136486661623462,7
2019-09-01,2019,9,Sep,precipitazione,0.5814078674948241,0.3466666666666667,0.45373493178703095,7
2019-09-01,2019,9,Sep,pressione,871.255,854.3116666666667,56.374939434967885,4
2019-09-01,2019,9,Sep,temperatura,14.415416666666667,14.895000000000001,3.585462241347269,8
2019-09-01,2019,9,Sep,umidit_relativa,63.56095238095238,63.79333333333333,4.735570955558818,7
2019-10-01,2019,10,Oct,precipitazione,4.369278033794163,3.6322580645161286,3.276288555118062,7
2019-10-01,2019,10,Oct,pressione,869.4629032258065,852.3758064516129,57.006098127527416,4
2019-10-01,2019,10,Oct,temperatura,10.01491935483871,10.203225806451613,3.2008416173891714,8
2019-10-01,2019,10,Oct,umidit_relativa,74.76866359447004,76.1258064516129,3.697661096806886,7
2019-11-01,2019,11,Nov,precipitazione,6.091428571428572,5.98,2.465584490198395,7
2019-11-01,2019,11,Nov,pressione,858.5683333333334,841.1766666666667,57.912344395071194,4
2019-11-01,2019,11,Nov,temperatura,2.6504166666666666,2.591666666666667,3.635619393310564,8
2019-11-01,2019,11,Nov,umidit_relativa,81.60285714285715,81.69,4.223072178442919,7
2019-12-01,2019,12,Dec,precipitazione,2.7640552995391703,2.6064516129032262,1.2738184129576051,7
2019-12-01,2019,12,Dec,pressione,866.6370967741935,849.0241935483871,58.504508010148555,4
2019-12-01,2019,12,Dec,temperatura,1.841532258064516,1.911290322580645,2.5148427750343676,8
2019-12-01,2019,12,Dec,umidit_relativa,71.2705069124424,70.50645161290322,4.730535792235519,7
2020-01-01,2020,1,Jan,precipitazione,0.39354838709677414,0.3806451612903225,0.20981798431449272,7
2020-01-01,2020,1,Jan,pressione,874.4532258064517,856.5725806451612,59.23730746086722,4
2020-01-01,2020,1,Jan,temperatura,0.8326612903225805,0.8145161290322581,2.2367123704968375,8
2020-01-01,2020,1,Jan,umidit_relativa,60.248387096774195,59.55806451612903,5.093956959241164,7
2020-02-01,2020,2,Feb,precipitazione,1.632512315270936,1.6413793103448275,1.020702968892,7
2020-02-01,2020,2,Feb,pressione,870.2284482758621,852.7551724137932,58.429303629190635,4
2020-02-01,2020,2,Feb,temperatura,3.94051724137931,4.375862068965517,3.363148115301509,8
2020-02-01,2020,2,Feb,umidit_relativa,52.748275862068965,53.1551724137931,2.9899395322746494,7
2020-03-01,2020,3,Mar,precipitazione,1.887557603686636,1.870967741935484,0.8023971814549813,7
2020-03-01,2020,3,Mar,pressione,866.3798387096774,848.9016129032259,58.402367299994665,4
2020-03-01,2020,3,Mar,temperatura,3.954435483870968,4.151612903225806,3.806404138382381,8
2020-03-01,2020,3,Mar,umidit_relativa,63.9852534562212,65.75483870967741,4.819233872020046,7
2020-04-01,2020,4,Apr,precipitazione,1.1846633825944173,1.0800000000000003,0.6258313460020317,7
2020-04-01,2020,4,Apr,pressione,868.8308333333333,852.1116666666667,57.015320967262824,4
2020-04-01,2020,4,Apr,temperatura,9.08375,9.398333333333333,3.716279688374143,8
2020-04-01,2020,4,Apr,umidit_relativa,57.89904761904762,58.72666666666667,3.86755483778581,7
2020-05-01,2020,5,May,precipitazione,3.193548387096774,3.174193548387097,0.9820942886577042,7
2020-05-01,2020,5,May,pressione,869.6048387096774,853.0032258064516,56.3753088303405,4
2020-05-01,2020,5,May,temperatura,12.934677419354838,13.203225806451613,3.7894201298443733,8
2020-05-01,2020,5,May,umidit_relativa,66.00276497695853,67.44193548387096,4.316363458832659,7
2020-06-01,2020,6,Jun,precipitazione,3.186929392446634,2.726666666666667,0.9948308149385856,7
2020-06-01,2020,6,Jun,pressione,866.8641954022988,850.5083908045976,55.57738195149035,4
2020-06-01,2020,6,Jun,temperatura,14.788649425287357,15.128333333333334,4.08308416252227,8
2020-06-01,2020,6,Jun,umidit_relativa,66.56087027914614,68.98,5.18783912415116,7
2020-07-01,2020,7,Jul,precipitazione,0.9848779655231268,0.5161290322580645,0.8302412479477536,7
2020-07-01,2020,7,Jul,pressione,870.658870967742,854.4629032258065,54.80801021630848,4
2020-07-01,2020,7,Jul,temperatura,18.69516129032258,19.15967741935484,3.816242971915275,8
2020-07-01,2020,7,Jul,umidit_relativa,58.24147465437788,58.12258064516129,4.187453978737248,7
2020-08-01,2020,8,Aug,precipitazione,2.054600349594788,1.9806451612903224,0.6453817129133473,7
2020-08-01,2020,8,Aug,pressione,869.2177419354839,853.0258064516129,54.87895111115644,4
2020-08-01,2020,8,Aug,temperatura,18.403225806451612,18.833870967741937,4.033419924775911,8
2020-08-01,2020,8,Aug,umidit_relativa,59.161751152073734,60.34838709677419,3.985745250877894,7
2020-09-01,2020,9,Sep,precipitazione,0.8267980295566503,0.6133333333333334,0.4475568623751701,7
2020-09-01,2020,9,Sep,pressione,870.4433333333334,854.1500000000001,55.664353112269325,4
2020-09-01,2020,9,Sep,temperatura,14.1975,14.545,3.8106970366012973,8
2020-09-01,2020,9,Sep,umidit_relativa,68.20571428571428,68.70333333333333,3.7149336838135185,7
2020-10-01,2020,10,Oct,precipitazione,4.962211981566821,4.903225806451611,2.4327811780846624,7
2020-10-01,2020,10,Oct,pressione,866.8048387096774,850.4403225806452,56.50114806724818,4
2020-10-01,2020,10,Oct,temperatura,7.470161290322581,7.880645161290323,3.2886463381799658,8
2020-10-01,2020,10,Oct,umidit_relativa,70.62258064516129,70.75483870967741,3.4946914799042825,7
2020-11-01,2020,11,Nov,precipitazione,0.1352380952380952,0.13333333333333336,0.14765898077385808,7
2020-11-01,2020,11,Nov,pressione,875.3375,858.2766666666666,58.058058768468705,4
2020-11-01,2020,11,Nov,temperatura,4.5489423076923075,3.7457692307692305,1.9567480466217693,8
2020-11-01,2020,11,Nov,umidit_relativa,67.59021978021978,67.46333333333334,6.659395654304792,7
2020-12-01,2020,12,Dec,precipitazione,1.270230414746544,0.9161290322580644,0.7839481734244487,7
2020-12-01,2020,12,Dec,pressione,861.6879032258064,844.4580645161291,58.64291728173002,4
2020-12-01,2020,12,Dec,temperatura,-0.5044354838709677,-0.26290322580645153,2.954649007604599,8
2020-12-01,2020,12,Dec,umidit_relativa,75.47142857142858,75.20967741935483,4.075377801719485,7
2021-01-01,2021,1,Jan,precipitazione,1.8623655913978496,1.5193548387096776,0.9911967701289773,6
2021-01-01,2021,1,Jan,pressione,861.8693548387097,844.6193548387097,58.82581550259729,4
2021-01-01,2021,1,Jan,temperatura,-1.5255144605116797,-1.0838709677419356,3.087142455852112,8
2021-01-01,2021,1,Jan,umidit_relativa,68.18827268393453,67.01290322580645,4.024038592206379,7
2021-02-01,2021,2,Feb,precipitazione,0.7071428571428572,0.6000000000000002,0.5688483412774882,7
2021-02-01,2021,2,Feb,pressione,869.8651785714286,852.5107142857144,58.663527501941836,4
2021-02-01,2021,2,Feb,temperatura,2.647321428571429,2.9750000000000005,3.1667883812473954,8
2021-02-01,2021,2,Feb,umidit_relativa,68.7469387755102,70.24285714285715,3.4357473445168676,7
2021-03-01,2021,3,Mar,precipitazione,0.275859624246721,0.31612903225806444,0.14810256477831515,7
2021-03-01,2021,3,Mar,pressione,870.7427419354839,853.6645161290322,58.324568334610625,4
2021-03-01,2021,3,Mar,temperatura,4.369758064516129,4.758064516129032,3.8612473722245415,8
2021-03-01,2021,3,Mar,umidit_relativa,50.839170506912446,51.516129032258064,3.918103445771122,7
2021-04-01,2021,4,Apr,precipitazione,1.1552380952380952,0.92,0.543237405106532,7
2021-04-01,2021,4,Apr,pressione,866.9616666666667,850.095,57.750835203195656,4
2021-04-01,2021,4,Apr,temperatura,6.180833333333333,6.393333333333333,4.306838692569008,8
2021-04-01,2021,4,Apr,umidit_relativa,56.894285714285715,57.42666666666666,6.273491175923621,7
2021-05-01,2021,5,May,precipitazione,4.02402896642528,3.1935483870967745,1.9028501585404771,7
2021-05-01,2021,5,May,pressione,866.6669354838709,850.0806451612902,56.816954960361414,4
2021-05-01,2021,5,May,temperatura,9.686333525345622,9.790495391705068,4.343746496854916,8
2021-05-01,2021,5,May,umidit_relativa,57.99540816326531,59.03225806451613,5.655813358530197,7
2021-06-01,2021,6,Jun,precipitazione,2.540361247947455,2.0733333333333333,1.3187121292321844,7
2021-06-01,2021,6,Jun,pressione,870.9991666666667,854.8033333333333,54.98191934290423,4
2021-06-01,2021,6,Jun,temperatura,16.78125,17.168333333333333,4.12715280523726,8
2021-06-01,2021,6,Jun,umidit_relativa,66.25714285714285,67.46333333333334,5.696121626800255,7
2021-07-01,2021,7,Jul,precipitazione,3.657142857142857,3.5548387096774197,1.1754951345106086,7
2021-07-01,2021,7,Jul,pressione,869.0483870967743,853.0725806451613,54.61280662301157,4
2021-07-01,2021,7,Jul,temperatura,17.440322580645162,17.81290322580645,4.005033996029294,8
2021-07-01,2021,7,Jul,umidit_relativa,65.06451612903226,67.16774193548387,4.892585724805963,7
2021-08-01,2021,8,Aug,precipitazione,1.3308755760368662,1.3419354838709676,0.328941886929832,7
2021-08-01,2021,8,Aug,pressione,869.7620967741937,853.633870967742,54.94119843335326,4
2021-08-01,2021,8,Aug,temperatura,17.22822580645161,17.756451612903227,4.047537777875197,8
2021-08-01,2021,8,Aug,umidit_relativa,57.354838709677416,57.8741935483871,5.020868003112869,7
2021-09-01,2021,9,Sep,precipitazione,1.6238095238095238,1.646666666666667,0.3993486760706301,7
2021-09-01,2021,9,Sep,pressione,872.6183333333333,856.135,55.82749770498408,4
2021-09-01,2021,9,Sep,temperatura,14.554583333333333,14.871666666666666,3.852287276658474,8
2021-09-01,2021,9,Sep,umidit_relativa,69.45,69.39666666666666,4.500689247626825,7
2021-10-01,2021,10,Oct,precipitazione,1.9524116743471578,1.8645161290322576,0.5681011234026128,7
2021-10-01,2021,10,Oct,pressione,872.033064516129,855.3048387096774,57.08829263138909,4
2021-10-01,2021,10,Oct,temperatura,8.046774193548387,8.23225806451613,2.9327023840437594,8
2021-10-01,2021,10,Oct,umidit_relativa,68.07649769585254,67.80645161290323,5.028279966867591,7
