municipality,month,month_label,mean_presences,mean_arrivals,mean_length_of_stay,mean_tourism_pressure,mean_bed_utilization
Aosta,1,Jan,16012,6846.545454545455,2.370160430980176,0.4739182404906162,0.28460408071321064
Aosta,2,Feb,16648,6869.545454545455,2.3966028627150635,0.4929350513187101,0.32335273643851997
Aosta,3,Mar,13518.272727272728,6001.636363636364,2.3382439157452914,0.40006141495084757,0.24203892223229756
Aosta,4,Apr,12416,6552.636363636364,3.1463726222418185,0.3677296270104842,0.23286364800275325
Aosta,5,May,11908.363636363636,7091.363636363636,1.9603555739062315,0.35314180818487484,0.21089725184506875
Aosta,6,Jun,14889.09090909091,8183,1.8204478835511835,0.4410854023505255,0.2809459624510938
Aosta,7,Jul,23258.18181818182,12128.181818181818,1.91063485573493,0.6890212709967466,0.4158989645639362
Aosta,8,Aug,29125,13416.818181818182,2.1770877896821754,0.8621729973380444,0.523319002192154
Aosta,9,Sep,16602.636363636364,9582.454545454546,1.7181698678023056,0.49161797700419113,0.30980933028572305
Aosta,10,Oct,12426,7416.7,1.6733289048620268,0.3668741371687919,0.24441634876059556
Aosta,11,Nov,8808.5,5115.8,1.7977629230414673,0.2605149549009713,0.17855069248970062
Aosta,12,Dec,17001.6,8363.6,2.107985755735324,0.5022496368002803,0.33461337037984296
Ayas,1,Jan,25945.727272727272,7351.545454545455,3.4735722106850515,18.805115948378905,0.3012733998605693
Ayas,2,Feb,30150.636363636364,7444.909090909091,3.8934049356415477,21.844867150365232,0.38555485861169714
Ayas,3,Mar,24027.18181818182,6113.363636363636,3.793907442276146,17.39343762036023,0.2810597447579407
Ayas,4,Apr,7370.272727272727,1969.4545454545455,3.750071303672796,5.333610061655281,0.08970667155008094
Ayas,5,May,1239,549.4545454545455,2.975207357970317,0.9007478020292955,0.013329841599964556
Ayas,6,Jun,8617.181818181818,3999.3636363636365,2.203390670276304,6.247753563569826,0.10110015927155512
Ayas,7,Jul,32449.272727272728,10606.181818181818,3.076124667401344,23.490947103304936,0.3790833137409351
Ayas,8,Aug,40427.545454545456,11217.181818181818,3.6157824521303374,29.26657621588456,0.47334171703499905
Ayas,9,Sep,9085.727272727272,3809.6363636363635,2.4060787259928906,6.5863914865681155,0.10844280813927973
Ayas,10,Oct,2207.5,1195,1.8774165090377009,1.597796731872217,0.02691015742411272
Ayas,11,Nov,1524.8,795,2.0627061250997145,1.1061089456365698,0.019153784215353773
Ayas,12,Dec,17276.4,6227.8,2.7890067670681553,12.4971648228145,0.21196214025713053
Brusson,1,Jan,5379.727272727273,1925.7272727272727,2.767693725924011,6.127806563232686,0.06819600790361179
Brusson,2,Feb,6393.090909090909,2517.6363636363635,2.475765042285524,7.2725803366726,0.0885483350340133
Brusson,3,Mar,3378.6363636363635,1469.090909090909,2.2816567260781024,3.8514521530206274,0.0425495655232626
Brusson,4,Apr,1808.7272727272727,761.2727272727273,2.5749453812763554,2.0631593491996543,0.023825117688852832
Brusson,5,May,1028.2727272727273,513.9090909090909,1.9210963949157673,1.1760979790472872,0.012592953409632266
Brusson,6,Jun,4917.181818181818,1869.4545454545455,2.635609736034706,5.61735527655109,0.06325493228874629
