municipality,period,month,month_label,mean_presences
Aosta,<= 2020,1,Jan,15568.333333333334
Aosta,<= 2020,2,Feb,15835.833333333334
Aosta,<= 2020,3,Mar,12777.666666666666
Aosta,<= 2020,4,Apr,11088.166666666666
Aosta,<= 2020,5,May,9605.5
Aosta,<= 2020,6,Jun,12963
Aosta,<= 2020,7,Jul,19688.333333333332
Aosta,<= 2020,8,Aug,25532.166666666668
Aosta,<= 2020,9,Sep,14244
Aosta,<= 2020,10,Oct,10730.833333333334
Aosta,<= 2020,11,Nov,6878.5
Aosta,<= 2020,12,Dec,14363.666666666666
Aosta,> 2020,1,Jan,16544.4
Aosta,> 2020,2,Feb,17622.6
Aosta,> 2020,3,Mar,14407
Aosta,> 2020,4,Apr,14009.4
Aosta,> 2020,5,May,14671.8
Aosta,> 2020,6,Jun,17200.4
Aosta,> 2020,7,Jul,27542
Aosta,> 2020,8,Aug,33436.4
Aosta,> 2020,9,Sep,19433
Aosta,> 2020,10,Oct,14968.75
Aosta,> 2020,11,Nov,11703.5
Aosta,> 2020,12,Dec,20958.5
Ayas,<= 2020,1,Jan,27390.833333333332
Ayas,<= 2020,2,Feb,33073.833333333336
Ayas,<= 2020,3,Mar,25896.5
Ayas,<= 2020,4,Apr,8255.5
Ayas,<= 2020,5,May,1067.6666666666667
Ayas,<= 2020,6,Jun,6951.666666666667
Ayas,<= 2020,7,Jul,30497.166666666668
Ayas,<= 2020,8,Aug,38824.5
Ayas,<= 2020,9,Sep,7819.666666666667
Ayas,<= 2020,10,Oct,1847
Ayas,<= 2020,11,Nov,1354.6666666666667
Ayas,<= 2020,12,Dec,14516
Ayas,> 2020,1,Jan,24211.6
Ayas,> 2020,2,Feb,26642.8
Ayas,> 2020,3,Mar,21784
Ayas,> 2020,4,Apr,6308
Ayas,> 2020,5,May,1444.6
Ayas,> 2020,6,Jun,10615.8
Ayas,> 2020,7,Jul,34791.8
Ayas,> 2020,8,Aug,42351.2
Ayas,> 2020,9,Sep,10605
Ayas,> 2020,10,Oct,2748.25
Ayas,> 2020,11,Nov,1780
Ayas,> 2020,12,Dec,21417
