municipality,n_months,total_presences_sum,total_arrivals_sum,avg_monthly_presences,avg_length_of_stay,avg_tourism_pressure,avg_bed_utilization_proxy,sd_monthly_presences,cv_monthly_presences,peak_month_share
Courmayeur,129,5416096,2100854,41985.24031007752,2.7591302663826576,15.430746691548446,0.2075158381997273,36024.67155856854,0.8580318057610762,0.02561789894418415
Valtournenche,129,5344112,1302272,41427.22480620155,3.5540586755703463,18.4345422264615,0.23529705606466716,35442.896826321274,0.8555460085034603,0.021769379084869478
La Thuile,129,2390318,586372,18529.596899224805,3.3695274166802225,23.436856456153517,0.20221984752702132,17561.464116478593,0.9477520861348735,0.023646226150662798
Ayas,129,2182525,665850,16918.798449612405,3.0047200010538826,12.252516445554365,0.2018765773581644,14165.388696672253,0.8372573701885295,0.02051797803003402
Aosta,129,2080514,1052355,16128.01550387597,2.124105501258443,0.47740239515345645,0.2995103333509591,7935.207266299523,0.492013866454462,0.022680933653895143
Cogne,129,2055563,741469,15934.596899224805,2.4999181258539056,11.671420082327082,0.13313542412273208,14995.12771521521,0.9410421744615768,0.02895459784010512
Gressan,129,1470981,325413,11402.953488372093,3.9895555252400956,3.3750872923378097,0.19118206368456997,11875.878377948291,1.0414738944658901,0.027251201749036866
Saint-Vincent,129,1322426,651909,10251.364341085271,2.5523856501252173,2.2577857030877464,0.2509667862842318,4931.151233069821,0.4810238977954206,0.017983614962198264
Gressoney-La-Trinité,129,1236536,473359,9585.550387596899,3.85028216422507,30.773148029897385,0.16085420158960345,8858.383470935561,0.9241392630305042,0.026208699140178694
Pré-Saint-Didier,129,1231822,548183,9549.007751937985,2.2345838711425756,9.41210024703588,0.24409438090667743,5359.541267823389,0.5612668255228573,0.017998541997139197
Gressoney-Saint-Jean,129,1153676,294969,8943.22480620155,3.479826865724796,11.149301309911126,0.1404208681970115,8154.872965404172,0.9118492649037843,0.02509196689538484
Brusson,129,767958,229296,5953.162790697675,2.7890069557496675,6.781555730297599,0.07645047692282339,6327.772644252845,1.0629261901153668,0.030151388487391236
Antey-Saint-André,129,737534,184072,5717.3178294573645,3.6741202715332077,10.079559221404148,0.11743024990727542,5644.200986942949,0.987211338481535,0.029895570916052685
La Salle,129,650824,193154,5045.147286821705,2.9081160664607726,2.4744928353207962,0.07646725321577441,5237.41553198709,1.0381095405614031,0.035378228215308595
Châtillon,129,587109,265717,4551.232558139535,2.1298810770154035,0.9977676599051879,0.21496344571797363,2673.1290434609,0.5873417825420085,0.021714877475903113
Sarre,129,556995,196606,4317.790697674419,2.536531775201624,0.8914838870621133,0.1282500406841345,4865.771371713614,1.1269122827871993,0.0504887835617914
Pollein,129,532263,308672,4126.069767441861,1.7375904646754339,2.699215593524754,0.3081384033189968,1719.2490511214417,0.4166795880883435,0.01469950005918127
Torgnon,129,482814,136941,3742.7441860465115,3.0527916543641225,6.645041181814289,0.14975504093430075,3572.05192973667,0.9543938223333012,0.024997203892182084
Valsavarenche,129,442392,233721,3429.3953488372094,1.886656833775132,20.76241877530612,0.06186113467795245,5383.316083364945,1.5697566293108327,0.04338460008318414
Rhêmes-Notre-Dame,129,383189,110708,2970.4573643410854,3.3463606395204644,35.676814957922446,0.15256187555441497,2769.597240596749,0.9323807417148734,0.028868260832122006
Morgex,129,338727,108177,2625.7906976744184,2.700183558454725,1.2582206824467568,0.10211579921318051,2758.025297524987,1.050359916335938,0.03523781688498407
Charvensod,129,272524,131385,2112.5891472868216,2.1850830595670976,0.8755222385275778,0.23984101372413416,1473.0466176240989,0.6972707492679866,0.030290910158371372
Arvier,129,267565,86011,2074.1472868217056,2.466779207671921,2.421025434857665,0.09864286693655518,2965.1633679191464,1.4295818752885088,0.047453889709042664
Etroubles,129,263655,116131,2043.8372093023256,2.229578302305003,4.1812017141317765,0.12573549428275596,2438.201097218942,1.1929526902248904,0.03504200565132465
Saint-Pierre,129,237050,105507,1837.5968992248063,2.1033579703504146,0.5718361984503595,0.17907820549515713,1281.3250192633836,0.6972829676649503,0.028896857203121705
Valpelline,129,207057,56066,1605.093023255814,2.5692334643343684,2.60677808381975,0.1013276245130326,2642.184662008709,1.646125566385698,0.048068889243058674
Rhêmes-Saint-Georges,129,201837,40045,1564.6279069767443,4.875817268522974,8.958313223707552,0.11742169669672188,2689.899774706321,1.7191945527188541,0.054083245391082904
Nus,129,199303,89943,1544.984496124031,2.0746784215701863,0.517844361111073,0.10829211584774488,1269.5344433621137,0.8217133871226859,0.035774674741474034
Saint-Nicolas,129,194768,80770,1509.8294573643411,2.287963906616831,4.783406256925831,0.22798940136391818,1152.8001854454155,0.763530066142583,0.025199211369424136
Bionaz,129,191788,80939,1486.7286821705427,2.0539372145776764,6.5355257775653435,0.05891027628622936,2253.40079363371,1.5156772184847256,0.04249483805034726
Valgrisenche,129,189267,88145,1467.1860465116279,2.250175875738898,7.609211003110622,0.06998839772223424,2253.727647446842,1.5360885232007833,0.05804498407012316
Champorcher,129,188311,59834,1459.7751937984497,2.694157982374147,3.783403829485326,0.08484785105728744,1863.3997501220306,1.2764977498167496,0.040518079135047874
Introd,129,166736,45548,1292.5271317829458,3.044167786059584,1.9773439069832501,0.14220296244165376,1454.9448876886163,1.1256590688983272,0.05315588715094521
Aymavilles,129,160188,44114,1241.7674418604652,3.2666694374340146,0.5943607371835331,0.06535787854718224,1485.2554994408156,1.1960818502501136,0.04096436686892901
Challand-Saint-Anselme,129,144570,49961,1120.6976744186047,2.438630922039432,1.4952761128081802,0.06584361279791051,1203.112166195519,1.07353855875508,0.03874247769246732
Saint-Christophe,129,144362,49821,1119.0852713178294,2.9851905805507823,0.32309504868110384,0.18542181610248315,637.6530579864698,0.569798454442683,0.026114905584572117
Saint-Oyen,129,141223,44921,1094.7519379844962,2.4762329345832614,5.53549123696588,0.05408106370144651,1496.2887475716363,1.366783374073211,0.044489920197135026
Villeneuve,129,140708,39981,1090.7596899224807,3.3786975958165084,0.854475590025216,0.15336788247276326,1180.0573527851955,1.0818674027723385,0.054367910850840036
Gaby,129,130341,45126,1010.3953488372093,2.3149545841752084,2.27131637806922,0.08491928642887328,1251.2548040529944,1.2383813974331659,0.037102676824636915
Quart,129,130087,61273,1008.4263565891473,2.1138106619654913,0.24738937255078866,0.13424934216574105,570.9899131004007,0.5662187519886821,0.029441835079600576
Montjovet,129,124751,51503,967.062015503876,2.4310418866370163,0.5457039844345353,0.13093455317256197,693.5705708498818,0.7171934785263024,0.02824827055494545
Gignod,129,123678,55219,958.7441860465116,2.2684820094376072,0.5627923969891129,0.0695635920712638,953.8868699224586,0.9949336682352331,0.043079609954882844
Fénis,129,119481,59167,926.2093023255813,2.4974377311159084,0.5181046094526846,0.1708164198335471,765.7206641705515,0.8267253009097777,0.033519973887061544
Verrayes,129,113820,40674,882.3255813953489,3.05492814972164,0.6818989606662786,0.12296678022005976,730.4565798482512,0.8278764610826251,0.028088209453523107
Pont-Saint-Martin,129,108640,62572,842.1705426356589,1.8417719326520534,0.23012241978180842,0.13592041045330402,455.43689745450405,0.5407893940687687,0.022091310751104567
Chamois,129,105757,44776,819.8217054263566,2.326931392854452,8.10096164783112,0.1943479257092773,780.556356565747,0.9521050142967498,0.02644742192006203
Saint-Rhémy-En-Bosses,129,98521,52966,763.7286821705426,1.8461851038685575,,0.08822089711347192,942.2373950465088,1.2337331529420088,0.0349367140000609
Jovençan,129,85309,46680,661.3100775193799,1.7852105652313266,0.9164614746218307,0.3913218828593996,370.63182536821523,0.5604508958316211,0.024768781722913174
Bard,129,71850,49030,556.9767441860465,1.4429777934750565,4.910083278123628,0.15091016183772615,395.3675992256344,0.7098457940167967,0.03267919276270007
Verrès,129,66573,40213,516.0697674418604,1.717417264152315,0.1947809790142868,0.12919668232492115,505.69928666350387,0.9799048860587927,0.04539377825845313
Champdepraz,129,57157,29546,443.07751937984494,1.9980687915940354,0.617230124313863,0.12946911214901152,415.106285568887,0.9368705642071212,0.02998757807442658
Ollomont,129,55153,16296,427.5426356589147,2.7165807200631504,2.691730797569803,0.04388415663254859,853.077984123447,1.99530505959648,0.07321451235653545
Arnad,129,54268,30029,420.6821705426357,2.1319452228761353,0.3364939196847976,0.12523001120157717,302.03179117892864,0.7179571950704244,0.028690941254514633
Doues,129,54143,24066,419.71317829457365,1.9537977293837434,0.8251434626698405,0.1163696546427215,517.7571703058305,1.2335976020806407,0.0442162421735035
Challand-Saint-Victor,129,45736,10254,354.5426356589147,16.586780793870155,0.6369471625788291,0.16115506191319962,325.3863570758983,0.9177636886214553,0.03557372747944726
Donnas,129,42935,24783,332.82945736434107,1.643207879017618,0.1343017020518811,0.087568221967106,267.7052111240729,0.8043314832888181,0.032490974729241874
Lillianes,129,38806,17639,300.8217054263566,2.119051466205582,0.671518868062836,0.057926147390753364,340.20984906406477,1.130935178303983,0.03795804772457868
La Magdeleine,129,37542,10743,291.0232558139535,2.994033802897837,2.706007306521619,0.08871651326668613,418.38587648538254,1.4376372613769737,0.05175536732193277
Fontainemore,129,31578,15070,244.7906976744186,2.5484630115808193,0.5719345337567752,0.07510714818294055,359.74115421757165,1.4695867025798577,0.059598454620305275
Pontboset,129,31468,14820,243.93798449612405,1.9316795014236614,1.3858479065039033,0.09020979070434865,286.18175365321764,1.1731742157514007,0.0433773992627431
Hône,129,27985,17838,216.93798449612405,1.5723970477694726,0.18735238987058098,0.05376105848273625,239.53101156015475,1.10414509527461,0.050634268358048955
Roisan,129,27428,8097,212.6201550387597,3.067640323297765,0.20973186580218203,0.1795908254958726,258.31842612965255,1.2149291589151663,0.05643867580574595
