comune_key,Profilo_Zona,MAPE,RMSE,Impatto_Meteo,Impatto_Punto_t_9,Impatto_Trend_t_9,Impatto_Stag_Anno,Worst_Date,Worst_Day_Real_kWh,Worst_Day_Pred_kWh
valpelline,Hub Turistico,246.90856516114275,72759.31378558175,28.78393908604349,10.217713088309221,9.035880107307765,28.98531022505018,2025-01-01,31554,153454.76487160329
pont saint martin,Standard/Fondovalle,72.45314890966658,530269.8993974847,18.685377781073264,11.549225629192144,15.062554556934366,21.37680754914702,2025-09-01,606621,1206363.4123334703
valgrisenche,Hub Turistico,60.44632565880393,32044.619676947706,21.96815709269515,12.820933897625883,10.222515232158258,29.18993539486751,2025-09-01,35849,74569.43721108191
avise,Standard/Fondovalle,57.69704624491516,33259.31855695861,25.667747276551793,9.302863523319482,11.162372385603922,26.116894913966224,2025-02-01,58293,106681.37959506981
bionaz,Hub Turistico,47.66681803956535,22106.260881402846,13.581011692863349,16.34651181010031,14.073007791950207,32.40520837834498,2025-03-01,46776,79417.01354435847
doues,Piccolo Residenziale,40.744717728417115,6087.824341139438,18.361504369867312,24.980194153117132,10.022017687128276,16.47321447762839,2025-01-01,16977,5931.259510615159
la magdeleine,Standard/Fondovalle,34.22096643137482,5876.146735250429,12.360102779830735,10.603831117276282,15.335010072032269,30.241271238332402,2025-09-01,7684,22101.24480378931
allein,Standard/Fondovalle,32.88987236460965,1121.6263765746328,18.70553187867684,16.96588735170194,12.605623658548511,21.735099426483313,2025-01-01,2721,4523.354061446466
saint denis,Standard/Fondovalle,25.07289881171028,9707.566334624533,20.604231966319386,12.721432272081463,12.949880185422229,31.08827975945384,2025-09-01,19103,41919.65795192823
la thuile,Standard/Fondovalle,24.925009539993894,149465.84626596703,25.101780421603838,11.925404135883097,13.467388926356074,10.311067171929725,2025-09-01,345077,692364.9707939931
bard,Standard/Fondovalle,21.230214752109042,58213.843748316765,17.05445102420859,17.63222049164327,15.350242991982181,18.061069985148592,2025-01-01,242629,117519.37193989399
pontey,Standard/Fondovalle,19.134633143222267,25210.583577970832,22.76987303345647,13.683494557225295,13.262315489574378,16.898941778671198,2025-04-01,127822,89262.24766275604
torgnon,Standard/Fondovalle,18.11672624424591,43781.82610877766,22.440218483943024,14.30971230089702,9.920986719928012,24.241976878007765,2025-09-01,106507,186848.68793491882
emarese,Standard/Fondovalle,17.826610968460628,5787.698104136429,17.57509967724509,12.245079712822308,14.13309649319939,24.895634627097127,2025-09-01,15605,29673.04336123183
verres,Standard/Fondovalle,17.361187556298173,166183.23425684345,14.311313344268202,23.789749629991988,17.615630584291058,19.61098976047889,2025-04-01,899342,665619.3548084022
gressoney saint jean,Standard/Fondovalle,16.96487435994125,54416.07464283662,18.822866982559578,13.41911896147579,10.95385169997161,25.62503322585281,2025-09-01,166729,281696.8235252615
lillianes,Standard/Fondovalle,16.484259722404712,8164.7022575186875,16.151867902436223,13.564923276149964,13.42023035048471,28.639569787537816,2025-09-01,27020,42836.48769458402
ollomont,Standard/Fondovalle,16.34678499760017,6797.281687326277,13.496193957305639,11.166537518718645,13.330453952777344,36.92899705165176,2025-09-01,20058,35917.52928028888
rhemes saint georges,Hub Turistico,15.61486368680332,9933.693770905145,14.90174057343807,18.982966702078727,18.324897881293385,20.472312686826136,2025-09-01,33470,55278.9419510955
roisan,Standard/Fondovalle,15.289465073327538,19471.919589303325,20.419618307001688,11.637494044203542,8.300255768326481,26.097370147400145,2025-09-01,55213,101249.31462871237
saint oyen,Standard/Fondovalle,14.810111978539387,7528.896522474142,13.640845421662826,19.637548751704692,13.528215419022551,22.146292519875562,2025-09-01,25247,42000.91251375648
gressan,Standard/Fondovalle,14.460609089020172,143486.6649332165,27.73706475535341,11.923011809742725,9.898572248459823,23.735201504592382,2025-09-01,485529,701015.4537959561
aymavilles,Standard/Fondovalle,14.188736625809938,41389.48430230609,20.71951226297668,11.764728606625095,12.274703273928143,25.72020417133755,2025-09-01,165722,269286.1256646844
challand saint victor,Standard/Fondovalle,13.273152947919913,11079.423451237806,24.833238054550232,15.46846518423415,16.17940956208053,17.78279536387765,2025-09-01,35197,63427.911683856146
chambave,Standard/Fondovalle,13.255023234381031,18331.586644035604,20.809380152258626,10.428956197998422,11.065793513282545,24.112171084099405,2025-09-01,105413,144680.5291899238
pre saint didier,Standard/Fondovalle,13.251838156078476,37435.371893753836,22.73475843570196,10.053527991452562,8.610392013776966,17.956361232782594,2025-09-01,175919,260292.65754958725
valsavarenche,Hub Turistico,13.056309759866185,8653.172773827546,17.20211408128652,17.80416156215397,10.988965196462022,25.456608590928607,2025-09-01,42267,58574.82931505951
morgex,Standard/Fondovalle,12.932783404126967,146285.0341381651,18.014245897720564,14.649029113314116,15.615005868047447,14.775405364121369,2025-02-01,855066,1124242.5118498933
gaby,Standard/Fondovalle,12.916367289034476,12603.342551566702,22.992219556627287,13.82421081008818,12.12636108078716,22.402824648492377,2025-09-01,53085,80540.40691617319
issime,Standard/Fondovalle,12.810896502020247,9581.189479354134,17.461155534627927,14.875073883481488,11.537139894696722,30.660914141320376,2025-09-01,41567,63053.540141272206
ayas,Standard/Fondovalle,12.413487172538007,145583.23143368217,21.97089828248478,7.825513479452665,8.861091426471539,22.921659435793103,2025-04-01,971146,628124.7521930292
sarre,Standard/Fondovalle,12.109232420069478,68931.8312388791,17.01427703490362,16.990430376831007,8.327952810822035,28.48340517556941,2025-09-01,295231,478614.6944305342
courmayeur,Standard/Fondovalle,11.946069775159769,228012.5749480114,20.665379641257676,15.087601150690075,8.317586956579207,22.378543863222543,2025-09-01,1346192,1778292.0844430046
gignod,Standard/Fondovalle,11.916816207332344,8925.17875751129,20.576982471824536,14.371921783067537,13.104777375584613,20.468620595177434,2025-09-01,48781,72330.8874847783
hone,Standard/Fondovalle,11.890540441430504,20665.876008594587,19.15130364673866,10.866009747860351,15.183402330498161,23.226648100200745,2025-09-01,86678,141382.01342089364
nus,Standard/Fondovalle,11.737056237167739,43392.15914841142,16.36071648366334,10.327135928505381,12.30594773464976,32.38861621222514,2025-09-01,161883,283981.8207373675
champdepraz,Standard/Fondovalle,11.451712422903677,13358.91737435782,23.127657465873618,12.875211111518327,11.256971247364135,22.881733143769583,2025-09-01,48180,82687.44504752105
issogne,Standard/Fondovalle,11.416223717553478,23776.624088887085,14.905803642903004,17.377583158238664,13.776986795106524,21.246866097490678,2025-01-01,213020,182596.4388459871
la salle,Standard/Fondovalle,11.242512238321831,58877.03000876098,16.331665017060523,13.827787615525084,10.107923874186657,27.42627657522523,2025-09-01,268470,399844.37873595924
montjovet,Standard/Fondovalle,11.23094817684493,29103.367174838524,21.226859735511752,13.004132691226273,14.736798734084095,17.772916856670463,2025-09-01,118587,197582.92132505905
fenis,Standard/Fondovalle,11.190447359305566,28814.560035987917,14.681865496542155,15.943350099763622,10.572332007335097,27.455019375877256,2025-09-01,125345,196154.93281743422
champorcher,Standard/Fondovalle,11.176131762837041,24445.233741220407,12.774094930060093,10.992788214390492,12.337041879290672,33.45919212571117,2025-03-01,233257,183148.560398786
etroubles,Standard/Fondovalle,11.06199972266484,12628.168714768617,15.235995430392622,12.13127337376522,10.364142132474056,30.352635049952827,2025-09-01,68646,100664.50724542327
fontainemore,Hub Turistico,10.649224966079359,6859.012326358467,24.484608377189346,13.382038704787144,15.840048026643146,20.375236918194464,2025-09-01,33542,51125.21885378803
pollein,Standard/Fondovalle,10.630361749212122,49087.26491512833,19.055293626683774,17.823948375790817,7.685616810718719,17.873011080554406,2025-06-01,459321,385369.24402995646
quart,Standard/Fondovalle,10.592415204085484,82268.78200503586,19.554634939595505,13.313302944599144,10.176583661268578,28.091079415530178,2025-09-01,400132,617941.0673061777
pontboset,Standard/Fondovalle,10.541556804300452,3282.05320943761,18.879259796333137,15.947951026163729,10.609541000064365,17.585554899074808,2025-09-01,14415,23346.614866188916
brusson,Standard/Fondovalle,10.52706544416939,36910.55970193266,13.151227250777604,12.805246572698252,8.919035455868888,33.02764396607092,2025-09-01,162015,244865.09624401646
cogne,Standard/Fondovalle,10.516110557676818,84464.4101064017,12.277141406668909,10.386814348629617,8.471415992215988,24.315215567377475,2025-07-01,652474,501861.29312942806
challand saint anselme,Standard/Fondovalle,10.419554737408273,15462.672647659458,18.235720978915555,11.69409926267218,12.099072974906568,28.981325192858844,2025-09-01,68941,111254.09174676183
antey saint andre,Standard/Fondovalle,10.399369935378992,21273.925612460018,11.677337346251038,14.06562679983323,12.318991000972249,26.60331166391725,2025-09-01,98546,156003.69881932822
charvensod,Standard/Fondovalle,10.318610839626709,39202.307027988994,22.09487224190321,10.053367714822924,10.692636002378567,21.414273468822422,2025-09-01,175694,286517.02552117355
arvier,Standard/Fondovalle,10.266729430081622,18314.8853959671,19.12115089807311,12.388404451764755,13.587160663687426,30.472922109606536,2025-09-01,80184,128382.61302042977
rhemes notre dame,Standard/Fondovalle,10.248447387498302,8090.586573501174,14.85870916604642,11.845829520927191,8.696297881835129,20.54462166616037,2025-09-01,52530,69842.09454376438
introd,Standard/Fondovalle,10.173014750983402,11121.865477958641,22.375677721247655,16.13576632987144,8.741519240018944,27.647247576715912,2025-09-01,58133,86709.4609053235
chamois,Standard/Fondovalle,10.055598728477156,16097.564532898958,20.619764948391847,15.105235521531275,10.341241872484666,24.828022417271125,2025-02-01,168064,199999.1242244781
jovencan,Standard/Fondovalle,10.023113642274446,13327.503520606895,22.980325757414324,9.965841377791872,9.987793814465336,28.117187846105804,2025-09-01,67793,96792.44709086782
valtournenche,Standard/Fondovalle,9.993526332779528,244669.18330642523,28.244142100795138,9.749062043645095,10.008405136577757,16.14163554603838,2025-01-01,3448600,2894741.5473005706
saint rhemy en bosses,Hub Turistico,9.31064638730813,24989.68546283883,22.250853810379,16.774539733055878,12.380672563201994,21.77201077729545,2025-01-01,321136,264951.98685833527
villeneuve,Standard/Fondovalle,9.248152829189445,18625.54002862578,19.70246656804153,16.737687802491024,11.179481754333255,33.98304836870512,2025-09-01,133573,163521.30665487942
donnas,Standard/Fondovalle,9.103785277944967,34115.139382268775,20.116295620091844,14.46487433270104,11.409029691778475,29.406817868195617,2025-09-01,203943,285132.4580566154
saint christophe,Standard/Fondovalle,8.911400598745324,33769.06581197902,16.021880441572492,15.342179485967167,12.567959356385034,19.31013526941772,2025-05-01,280140,343188.44339529873
perloz,Standard/Fondovalle,8.642128226370678,9491.214154365502,23.097513277625918,14.979727109525419,12.508855465715824,21.525913759025485,2025-09-01,58157,76855.58878240247
saint nicolas,Standard/Fondovalle,8.314802493213241,6267.330818843221,15.94500595270587,13.075031614280176,14.496214498414682,32.22841393699865,2025-09-01,44127,59273.29817890774
chatillon,Standard/Fondovalle,8.241548685932413,71855.58778648244,24.97825920405287,15.726052943164657,11.95678851821396,18.78881363543095,2025-09-01,613374,740818.015105641
oyace,Standard/Fondovalle,8.184910665698496,2753.155491404459,29.369177139786448,15.653637450796285,16.14444277891419,23.12225175514445,2025-09-01,17668,24800.66630674983
gressoney la trinite,Standard/Fondovalle,8.153937050282641,47346.611075126086,23.539524785280058,12.977829927384489,9.175473108042375,20.102598911849054,2025-06-01,347881,443524.05549918127
saint pierre,Standard/Fondovalle,7.254157905984836,43079.4257105401,17.114636352446837,11.239186900740805,12.501985880482417,30.17175770377305,2025-09-01,296120,410673.5114482934
verrayes,Standard/Fondovalle,7.20337085546132,15967.504554703926,18.26273988950852,10.90244236804317,9.668037898921751,28.05424797662063,2025-09-01,118876,161801.99709313744
arnad,Standard/Fondovalle,6.651741872941751,25492.635350127053,17.831612871710373,23.813865573925153,13.360532863760678,15.42986029320092,2025-09-01,282415,335689.3411752738
saint marcel,Standard/Fondovalle,6.63500241922416,24964.225675819558,16.577186263818195,12.688178738002813,9.680360221611032,30.3896815044782,2025-09-01,186113,243497.5645074767
saint vincent,Standard/Fondovalle,6.372437104118711,108644.03329025775,13.082293025185113,14.290433112943552,12.524969488507477,16.637093693831144,2025-09-01,1137935,1398120.608195414
aosta,Standard/Fondovalle,5.214190163848066,462008.4859078693,16.820571944588455,25.030252377682366,13.619398366458855,19.89931825619364,2025-09-01,5314566,6506732.352688895
brissogne,Standard/Fondovalle,4.774027498257119,30347.36867433358,18.504670713589054,16.078691095981522,15.84911856704723,21.496266014653443,2025-09-01,437902,489507.3421985513
