comune_key,Profilo_Zona,MAPE,RMSE,Impatto_Meteo,Impatto_Scenario,Impatto_Punto_t_9,Impatto_Trend_t_9,Worst_Date,Worst_Day_Real_kWh,Worst_Day_Pred_kWh
allein,Standard/Fondovalle,6255.246454772663,505699.54124410887,24.899763212904574,23.725789996905164,21.024643849470237,16.30606723079191,2025-01-01,2721,1519804.8977689855
valpelline,Hub Turistico,247.90656121015485,73073.11773904607,23.44314431714137,28.43175531336567,21.148772254686445,19.368877545637492,2025-01-01,31554,153629.88835853894
gaby,Standard/Fondovalle,194.4047098314331,529477.7324925759,20.358530527360127,23.840663823192564,21.975930496915524,22.489663260621526,2025-01-01,100464,1686514.9219855275
saint denis,Standard/Fondovalle,140.57375578406143,199328.4609939593,22.994588167209105,21.842489429430398,18.220528530546883,25.115396949019384,2025-01-01,62709,658132.5738874406
pont saint martin,Standard/Fondovalle,74.51270030956692,552649.5772621221,20.526833956230753,24.024481097853894,17.103040276847484,23.47623014679026,2025-08-01,705180,1346347.7908709967
avise,Standard/Fondovalle,58.48616903536274,33610.276840901235,29.52652981102929,22.369379257989756,19.664109799690884,18.84617658796461,2025-03-01,55959,105847.24693908187
valgrisenche,Hub Turistico,57.76099783020875,31117.646318516232,19.18728379039282,20.420151920854803,21.796247492755363,24.83359756415297,2025-04-01,41393,79247.49816976895
bionaz,Hub Turistico,44.11607063673159,20735.603892413295,19.310385109286727,24.338097569191326,21.075304157264085,23.16258704991635,2025-03-01,46776,78560.5424830875
la magdeleine,Standard/Fondovalle,34.09180113039076,6027.198263859036,19.04878494903127,33.55203518570137,16.82323174582384,19.09301275265224,2025-09-01,7684,21725.216016883616
verres,Standard/Fondovalle,28.953692818605973,281827.2025082312,25.509565977973327,23.535788818424034,19.681898786529892,14.900546163840902,2025-04-01,899342,479521.4229774047
la thuile,Standard/Fondovalle,25.085290569721707,536940.7632484734,22.2931537297058,24.8343271388712,21.578957037025894,21.14396450076062,2025-01-01,1584910,2935542.013583555
bard,Standard/Fondovalle,21.136430581101944,58742.97544736564,22.623298252818834,19.28278962502893,18.70721110671137,23.586415417610564,2025-01-01,242629,115335.55836058826
gressoney saint jean,Standard/Fondovalle,20.70337859292931,66590.1733396113,24.867003964420917,31.23270447927201,16.38572094688069,18.8383682972406,2025-03-01,350350,467132.01865256915
doues,Piccolo Residenziale,19.859022517629327,3609.7882538357558,19.26163427358978,23.62124591774027,25.762404038085634,18.944135903823412,2025-01-01,16977,9239.47755285926
torgnon,Standard/Fondovalle,18.329683029706445,68984.00895958449,22.83799974138337,21.36187495404913,21.5853054470807,19.490522772980693,2025-01-01,593325,770809.172302689
chatillon,Standard/Fondovalle,17.835356931910958,250393.9678164168,21.827643484555054,23.66211615910321,22.046474772050207,19.293250299868212,2025-02-01,932913,333357.5826062775
lillianes,Standard/Fondovalle,17.53748513919802,8535.506372529007,19.79313651913468,23.44766068181571,25.15559777349496,18.495983097630496,2025-09-01,27020,42950.82467897703
challand saint victor,Standard/Fondovalle,17.019827770700733,12534.850090724334,23.258486435997998,23.925350541017515,18.979394035532216,19.42515634054032,2025-09-01,35197,66495.0281840509
