comune_key,comune_nome,Consumo_Base_kWh_2025,Consumo_Simulato_Turismo_2025,Totale_Arrivi_Bootstrap,Delta_Assoluto_kWh,Variazione_Percentuale
pont saint martin,Pont-Saint-Martin,6678411,11364915.52741146,6198.185471685658,4686504.527411461,70.17394597923759
aosta,Aosta,60423760.99999999,62908475.540533766,121513.23469283323,2484714.5405337736,4.112148101032264
verres,Verrès,7630375,6170854.017556948,1915.8709275803344,-1459520.9824430523,-19.127775272421765
valtournenche,Valtournenche,17981534,16559251.067819841,129118.9907516811,-1422282.9321801588,-7.909686304739956
ayas,Ayas,10477348.999999998,9410628.903439123,66141.60397309905,-1066720.096560875,-10.181202292305764
gressan,Gressan,9367896,8402991.175230375,34587.43602470051,-964904.8247696254,-10.300123152195813
morgex,Morgex,8981689,9793563.064789236,13412.78683122278,811874.0647892356,9.039213724603865
cogne,Cogne,5424387.000000002,4924102.213534166,63879.68767375854,-500284.78646583576,-9.222881524969285
valpelline,Valpelline,197895,676453.6460078467,5133.098569078524,478558.6460078467,241.8245261415633
pollein,Pollein,3859672,3547683.8243766204,28670.72711331888,-311988.17562337965,-8.083282092970068
saint christophe,Saint-Christophe,2927747.9999999995,2620330.1045181113,7021.648736768004,-307417.8954818882,-10.500148765600327
valgrisenche,Valgrisenche,531391,801298.6802702992,10718.650705328286,269907.6802702992,50.79267060795143
avise,Avise,469142.99999999994,730960.9012949179,932.9903311548607,261817.90129491797,55.80769643688982
gressoney la trinite,Gressoney-La-Trinité,5133281.999999999,4888626.911230568,62230.60226784033,-244655.08876943123,-4.766055883339962
la salle,La Salle,3824524,3601522.0592567865,19863.77351620403,-223001.94074321352,-5.830841713719499
bard,Bard,1436107.9999999995,1214708.6956388,6862.0376722054625,-221399.3043611995,-15.416619388040424
bionaz,Bionaz,436609.00000000006,625835.4261508647,9371.729115199234,189226.42615086463,43.340019594388714
quart,Quart,5768788.999999999,5954617.86312192,7234.589625267534,185828.8631219212,3.2212802916161647
chatillon,Châtillon,2314984,2499593.1952369143,9891.17794950992,184609.19523691433,7.974534391465095
la thuile,La Thuile,345077,527719.6652791848,5396.17507463024,182642.66527918482,52.92809004343518
pontey,Pontey,1050433.0000000002,881256.9644477475,922.5173375884914,-169176.03555225278,-16.105361841474206
pre saint didier,Pré-Saint-Didier,2421819,2259646.686182072,45888.09030097693,-162172.31381792808,-6.6963019869745875
champorcher,Champorcher,1463207,1317818.469201418,4999.398326940089,-145388.5307985819,-9.936292732236922
sarre,Sarre,4258040,4391627.434446945,27040.13706029141,133587.43444694486,3.137298720701188
torgnon,Torgnon,2549797.9999999995,2421238.1482671876,13670.648288279252,-128559.85173281189,-5.041962215548523
brissogne,Brissogne,4593609,4470063.281298453,360.62983953917853,-123545.71870154701,-2.6895131627778293
arnad,Arnad,2927598.000000001,2806550.005430118,3543.982323212809,-121047.99456988275,-4.134720496799175
hone,Hône,1269861,1387857.8853303601,1038.4727483990991,117996.88533036015,9.292110343601397
saint marcel,Saint-Marcel,2904715,2798941.9523823317,1059.6812360976453,-105773.04761766829,-3.641426013143055
issogne,Issogne,1710431.9999999993,1625032.4887630474,585.6453733486284,-85399.51123695192,-4.992862109511044
fenis,Fénis,1774624,1691698.8925889633,7049.313154110917,-82925.10741103673,-4.672826886767942
charvensod,Charvensod,2587105.0000000005,2667993.4922771486,19616.51979210103,80888.49227714818,3.12660260318573
gignod,Gignod,540716,461777.56779231224,7225.029598840812,-78938.43220768776,-14.598871164842128
saint rhemy en bosses,Saint-Rhémy-en-Bosses,1739177.0000000002,1660840.2081914793,6582.879769129558,-78336.79180852091,-4.5042449278320085
chambave,Chambave,1159096.9999999998,1229441.4384005694,1316.002884463706,70344.4384005696,6.068900048966533
villeneuve,Villeneuve,1724164,1657876.3974059406,2563.571965768083,-66287.60259405943,-3.844622819758412
aymavilles,Aymavilles,2394398.0000000005,2458988.174836851,5637.06195438026,64590.174836850725,2.697553825088841
rhemes notre dame,Rhêmes-Notre-Dame,699989,759956.8835029523,8299.390524516988,59967.88350295229,8.566975124316565
donnas,Donnas,2621769.9999999995,2565381.6224566544,2394.292206274853,-56388.377543345094,-2.1507751459260387
