comune_key,Consumo_Base_MWh,Mixed_Mediano_q50_MWh,Mixed_Picco_q95_MWh,GAMM_Mediano_q50_MWh,GAMM_Picco_q95_MWh,Prophet_Mediano_q50_MWh,Prophet_Picco_q95_MWh,Delta_Mixed_Picco_MWh,Delta_GAMM_Picco_MWh,Delta_Prophet_Picco_MWh
allein,22.488,141.90230022650107,150.5448550804942,117.2290751142295,126.35103146153449,40.34269473470509,42.00878670246479,128.0568550804942,103.86303146153449,19.52078670246479
antey saint andre,1474.3139999999999,1510.9411512831994,1530.502799839127,1587.4888188312152,1649.5774461959152,1510.688529964213,1538.926817225398,56.188799839127114,175.26344619591532,64.6128172253982
aosta,60423.76099999999,61867.07712072946,61245.9584386012,65676.8982931472,66262.92807674395,61109.31443072271,62276.212290390555,822.197438601208,5839.167076743957,1852.4512903905634
arnad,2927.598000000001,2779.386933527534,2894.0748444417454,3658.5241163869246,3754.7539515026756,2693.596541742434,2634.2687122239263,-33.52315555825544,827.1559515026747,-293.3292877760746
arvier,1154.483,1142.328903480684,1149.7120962105625,1223.6406914576435,1261.9020035200651,1290.0847285060815,1286.5624053056263,-4.770903789437398,107.41900352006519,132.07940530562632
avise,469.1429999999999,711.2963584203376,704.402490892111,741.7390217045906,752.09697758291,689.2291630258272,683.9020603280569,235.2594908921111,282.95397758291006,214.759060328057
ayas,10477.348999999998,10088.802693165993,10769.167560467562,10899.05521929509,11507.428359712334,10328.082292008074,11299.176060808219,291.81856046756366,1030.0793597123356,821.8270608082203
aymavilles,2394.3980000000006,2449.0315635877932,2477.7154828306648,2635.5157634632596,2718.702329717281,2448.8635703222544,2461.9120740368007,83.31748283066418,324.3043297172803,67.51407403680014
bard,1436.1079999999995,1182.0201056932617,1200.9369192586448,1235.1960335685199,1288.6978833892615,1813.7324328895397,1859.8747689482086,-235.17108074135467,-147.410116610738,423.7667689482091
bionaz,436.60900000000004,632.9739331372682,638.4407924883966,641.6552681686601,660.3466011788071,660.5018319586975,665.6540734453142,201.83179248839656,223.73760117880704,229.0450734453142
brissogne,4593.609,4505.436176120513,4504.115782051962,4313.022625966408,4342.008339432972,4425.204898958333,4396.666975584508,-89.49321794803836,-251.60066056702817,-196.9420244154926
brusson,2558.1590000000006,2595.5446221007423,2691.9115646983378,2695.6710685858743,2844.3302584093562,2505.148339434757,2531.1684509229462,133.7525646983372,286.1712584093557,-26.99054907705431
challand saint anselme,969.6660000000002,951.1475329052538,961.42534856518,1037.1809233915621,1080.2327307911821,975.5813873031161,980.5538816329978,-8.240651434820165,110.56673079118195,10.887881632997619
challand saint victor,627.1169999999997,627.75833463264,638.8088707310974,674.5691441697841,687.5739717002227,682.3685272881254,686.4099240587894,11.691870731097652,60.456971700222994,59.29292405878971
chambave,1159.0969999999998,1214.8675708913165,1220.3863074326403,1276.618702112769,1295.112335184062,1287.6923219742089,1289.248578596976,61.2893074326405,136.01533518406222,130.15157859697615
chamois,1116.6010000000003,1109.7710639551797,1137.366972531516,1147.0852741956808,1192.8353454937424,1090.9974225903145,1119.0961997226796,20.765972531515672,76.23434549374201,2.4951997226792173
champdepraz,782.0050000000001,775.2631399222778,777.3832992142366,818.6930107839422,836.2095338098912,839.6727739951762,843.2177082239026,-4.621700785763551,54.20453380989113,61.212708223902496
champorcher,1463.207,1343.361493004864,1387.2860727347252,1423.3585488687718,1472.1871457112247,1443.97250812005,1460.3910545916967,-75.92092726527494,8.980145711224623,-2.815945408303378
charvensod,2587.1050000000005,2661.181015710637,2683.6496373482823,2823.3706245395597,2947.3598290251325,2630.3638609765644,2621.915732012656,96.54463734828187,360.25482902513204,34.810732012655535
chatillon,6800.803,6384.638605726813,6167.317476801883,6758.152741235641,6987.405993462176,7743.507619545485,7186.534552337986,-633.4855231981173,186.60299346217653,385.7315523379857
cogne,5424.3870000000015,5147.527134066028,5383.789926054006,5493.057001324734,5798.477024873015,4886.381832633126,5045.8669234785475,-40.59707394599536,374.09002487301314,-378.52007652145403
courmayeur,18221.977999999996,19360.936268409467,19931.512467533597,18400.28513451599,19095.21756461848,17251.44358211977,18033.153307581237,1709.5344675336019,873.239564618485,-188.8246924187588
donnas,2621.7699999999995,2526.718395327612,2543.4069722743197,2788.2898719002314,2834.9826646530946,2582.589173719433,2578.8496878974825,-78.36302772567979,213.2126646530951,-42.92031210251707
doues,106.635,65.55403892648164,66.99514424798674,82.94156379555092,88.01728581916292,111.79636418744599,111.35892275334075,-39.63985575201326,-18.617714180837083,4.723922753340744
emarese,263.26399999999995,273.9784236925221,274.75642165650845,284.0776878518397,289.4378741268631,256.9404431415354,255.97246942024498,11.492421656508498,26.173874126863154,-7.291530579754976
etroubles,857.7230000000002,832.728163336979,854.0074378735155,947.4470672254341,983.9402560476695,910.5708759445404,925.0615866593639,-3.715562126484656,126.21725604766937,67.33858665936373
fenis,1774.624,1678.318098197852,1690.5861436913135,1784.1614137141269,1856.7335320998848,1971.162088222528,1987.0787196657566,-84.03785630868651,82.10953209988475,212.45471966575656
fontainemore,485.536,487.29934792498085,486.2826670736705,453.29391924892855,463.5405358295029,502.914237209006,502.88776226717755,0.7466670736704941,-21.995464170497087,17.35176226717755
gaby,643.9720000000001,950.589779255842,974.107410183669,1035.085049207793,1086.0925881080307,666.5064024857733,650.1162346459242,330.1354101836689,442.1205881080306,6.1442346459241435
