comune_key,Mediano_MWh,Stress_MWh
allein,74.87568425750321,75.06744456938887
antey saint andre,1525.1003681805937,1535.6656806192354
aosta,61876.293207016446,61951.44638432598
arnad,2604.865539273073,2629.895766484194
arvier,1106.6598325533637,1114.6270685573525
avise,740.8665448131833,743.0607542975683
ayas,9499.590628274042,9575.6693204074
aymavilles,2413.103628797277,2435.684208199265
bard,1092.5103012933719,1098.2004282577461
bionaz,626.9047447615583,629.219524133756
brissogne,4461.077997035044,4495.182101199566
brusson,2526.19138237829,2555.365762484277
challand saint anselme,940.6653265610965,948.6896897859452
challand saint victor,606.6921917575906,615.5394158036037
chambave,1193.7819379030466,1197.6105355444229
chamois,1041.726414157677,1057.2030108147753
champdepraz,771.6542812594013,775.1900845984998
champorcher,1318.8118781360915,1330.5760891287207
charvensod,2667.016859755518,2700.245668927868
chatillon,7249.922059098181,7337.616032787718
cogne,5055.756784928978,5088.052166498908
courmayeur,20074.797059796976,20188.499305862715
donnas,2559.7056761048134,2577.195734147937
doues,92.77189268545106,93.0619277782147
emarese,273.9622924794488,274.4919130022168
etroubles,798.5775035620217,805.4026299532035
fenis,1678.2891429969898,1699.9781262943104
fontainemore,508.081193196182,509.3046848009862
gaby,982.9742415553804,990.1238995632328
gignod,437.2246300955762,440.17256520389793
gressan,8508.326377516549,8577.352729308881
gressoney la trinite,5026.6511886539665,5131.1461908093015
gressoney saint jean,3026.9797909825343,3057.0508058668506
hone,1381.4322556434865,1385.9651018368036
introd,866.718238892688,870.8603580271401
issime,591.204462729148,593.5023441588511
issogne,1593.8675151856419,1601.8580373524612
jovencan,948.3742692525389,955.7864912943139
la magdeleine,213.99852817883638,214.80345345488976
la salle,3650.9119131558923,3682.903440289604
la thuile,7080.150566401227,7136.832393868229
lillianes,373.6430375812843,375.13142929471945
montjovet,1754.827398710478,1775.0614281777985
morgex,9568.255881184537,9692.927639448068
nus,2665.424428378151,2694.218764154721
ollomont,346.7356220259101,347.3393807918888
oyace,245.68291632201226,245.84784679069824
perloz,678.9631161201249,684.4110406155233
pollein,3636.027400797605,3675.9074879701957
pont saint martin,11600.705464958663,11662.299181146594
pontboset,196.51960933395685,196.90422569828436
pontey,877.8768423915475,882.9216778026929
pre saint didier,2303.705763768334,2323.2100379454646
quart,5936.124174329303,5998.860048996847
rhemes notre dame,649.9058795030254,653.5546457311201
rhemes saint georges,540.5686682468568,542.7813439781039
roisan,973.2459630909077,980.9780934538807
saint christophe,2532.12447584666,2565.9774817195434
saint denis,434.74014211702644,438.17136066781006
saint marcel,2905.633258508699,2913.7721685978127
saint nicolas,565.9407160224118,568.9544713117851
saint oyen,333.78211035483463,336.36403292502484
saint pierre,3563.9016837863455,3608.104348092952
saint rhemy en bosses,1631.8373356543223,1644.1657906349105
saint vincent,11708.478974552178,11742.325879733911
sarre,4450.571251570943,4500.778271398398
torgnon,2518.2543393428177,2552.5890820098693
valgrisenche,815.8274074583936,820.4871664058398
valpelline,702.2726228892514,706.558706570467
valsavarenche,537.4878521691201,539.5123740891931
valtournenche,16378.862049747439,16427.969659976996
verrayes,1464.4577902889048,1477.0486633914525
verres,5798.736729262078,5833.036605949014
villeneuve,1641.0387597672484,1655.3538528889533
