comune_key,Consumo_Mediano_q50_MWh,Consumo_Picco_q95_MWh,Consumo_Base_MWh,Delta_Picco_Assoluto_MWh,Variazione_Percentuale_Picco
chatillon,149816.60214617403,148971.6177210191,2314.984,146656.6337210191,6335.103556699273
la thuile,3092.2776921230243,3115.380699246358,345.077,2770.3036992463576,802.8074021874415
valpelline,706.008957102463,730.395110886149,197.895,532.5001108861491,269.08214501940375
valgrisenche,862.4290769284542,876.5249410257869,531.391,345.13394102578695,64.94915063028674
verres,12039.934528264246,12214.84844594415,7630.375,4584.47344594415,60.08188910694625
pont saint martin,10608.911618817085,10296.483614556506,6678.411,3618.072614556506,54.17565068332132
bionaz,660.5018319586975,665.6540734453142,436.60900000000004,229.0450734453142,52.459998178075615
avise,689.2291630258272,683.9020603280569,469.1429999999999,214.759060328057,45.77688686137426
bard,1813.7324328895397,1859.8747689482086,1436.1079999999995,423.7667689482091,29.50800141411435
morgex,10778.623901287703,10728.231176121917,8981.689,1746.5421761219168,19.44558730681854
valtournenche,19526.324880477365,21261.97937806592,17981.534,3280.4453780659205,18.243412258742335
gignod,632.9393695032227,630.7343162577836,540.716,90.01831625778357,16.647984571897922
lillianes,472.5150226731157,474.2878568491106,409.1,65.18785684911057,15.934455352996963
montjovet,2018.7608368534934,2017.0257791866568,1756.116,260.9097791866568,14.857206425239381
fenis,1971.162088222528,1987.0787196657566,1774.624,212.45471966575656,11.971815982752208
torgnon,2730.0543169591924,2853.2648440735966,2549.7979999999993,303.46684407359726,11.901603345582565
valsavarenche,544.4463473528051,555.9679069241051,497.158,58.80990692410512,11.829218663705527
saint vincent,13634.558310973634,13728.93878999711,12291.660000000002,1437.278789997108,11.693121921669716
pontboset,223.1494201283428,222.82093393931206,199.80500000000006,23.015933939311992,11.519198187889184
arvier,1290.0847285060815,1286.5624053056263,1154.483,132.07940530562632,11.440567362674576
issime,667.1549441330372,679.9414351076485,610.619,69.32243510764852,11.352813310370053
perloz,831.51321154701,825.537758409869,742.096,83.44175840986895,11.244065243562687
chambave,1287.6923219742089,1289.248578596976,1159.0969999999998,130.15157859697615,11.228704637918671
saint oyen,378.12165252717205,385.03591685924476,349.21000000000004,35.82591685924473,10.259132573306813
quart,6288.743072524234,6341.628563298518,5768.788999999999,572.8395632985194,9.929979468802195
challand saint victor,682.3685272881254,686.4099240587894,627.1169999999997,59.29292405878971,9.454842407204673
gressoney la trinite,5455.991048368507,5609.330177545608,5133.281999999999,476.0481775456092,9.273758533928376
pre saint didier,2482.7560501196276,2635.86926423222,2421.819,214.0502642322199,8.838408825441533
roisan,1056.1791723580886,1061.4016676158806,983.246,78.15566761588059,7.948739950722464
etroubles,910.5708759445404,925.0615866593639,857.7230000000002,67.33858665936373,7.850854723420466
ayas,10328.082292008074,11299.176060808219,10477.348999999998,821.8270608082203,7.8438454308262555
champdepraz,839.6727739951762,843.2177082239026,782.0050000000001,61.212708223902496,7.82766200010262
villeneuve,1853.3263728627273,1855.9393983053449,1724.164,131.77539830534488,7.642857541703972
saint rhemy en bosses,1916.1141115330843,1869.5987187803858,1739.1770000000001,130.42171878038562,7.499048042860824
hone,1383.5698099357137,1360.4511360990768,1269.861,90.59013609907674,7.133862375415635
verrayes,1487.6602331708111,1511.4240155243954,1415.2100000000005,96.21401552439488,6.798568094091678
la magdeleine,215.20251357934424,214.75555285289752,202.00999999999996,12.74555285289756,6.309367285232198
jovencan,1010.4174166403174,1018.2598350294573,963.4770000000002,54.782835029457146,5.685951509943375
gressoney saint jean,3031.276865242769,3025.3694940887085,2882.788,142.5814940887085,4.9459583600566015
doues,111.79636418744599,111.35892275334075,106.635,4.723922753340744,4.429992735350255
antey saint andre,1510.688529964213,1538.926817225398,1474.3139999999999,64.6128172253982,4.382568247021883
introd,871.1677736272445,880.1960445948666,844.5780000000002,35.61804459486643,4.217259340743711
saint pierre,3582.682600407123,3712.6563067609527,3571.2050000000004,141.45130676095232,3.9608845406789115
ollomont,353.594758449072,352.5277905699783,339.802,12.725790569978301,3.7450605264178263
fontainemore,502.914237209006,502.88776226717755,485.536,17.35176226717755,3.5737334136248493
nus,2700.002515748093,2712.6107161684085,2626.3569999999995,86.25371616840903,3.284158100685057
aosta,61109.31443072271,62276.212290390555,60423.76099999999,1852.4512903905634,3.065766280901587
issogne,1775.7038441834138,1761.4822639282254,1710.4319999999993,51.05026392822606,2.9846415366542534
aymavilles,2448.8635703222544,2461.9120740368007,2394.3980000000006,67.51407403680014,2.819667993240895
charvensod,2630.3638609765644,2621.915732012656,2587.1050000000005,34.810732012655535,1.3455477072888626
sarre,4351.174387057309,4314.110656778654,4258.04,56.070656778653756,1.3168184605746718
challand saint anselme,975.5813873031161,980.5538816329978,969.6660000000002,10.887881632997619,1.1228486543817786
chamois,1090.9974225903145,1119.0961997226796,1116.6010000000003,2.4951997226792173,0.22346386244318397
la salle,3756.5420991658284,3825.982362431791,3824.524,1.4583624317911017,0.03813186769885878
champorcher,1443.97250812005,1460.3910545916967,1463.207,-2.815945408303378,-0.1924502417158596
saint christophe,2954.4343474705793,2918.3091244348093,2927.7479999999996,-9.438875565190301,-0.322393715756626
saint nicolas,556.5930377985401,561.1889125072721,563.208,-2.019087492727863,-0.35849765854317817
courmayeur,17251.44358211977,18033.153307581237,18221.977999999996,-188.8246924187588,-1.0362469563883725
brusson,2505.148339434757,2531.1684509229462,2558.1590000000006,-26.99054907705431,-1.0550770721074922
rhemes saint georges,495.10800787956407,496.30534883691803,504.1909999999999,-7.885651163081889,-1.5640206118478692
donnas,2582.589173719433,2578.8496878974825,2621.7699999999995,-42.92031210251707,-1.6370738891099172
gressan,8782.981154919938,9142.505091081632,9367.896,-225.39090891836895,-2.4059928602790737
emarese,256.9404431415354,255.97246942024498,263.26399999999995,-7.291530579754976,-2.76966489142267
oyace,226.3464458582306,226.32137060246635,233.55,-7.228629397533666,-3.095109996803111
brissogne,4425.204898958333,4396.666975584508,4593.609,-196.9420244154926,-4.287304914621435
pontey,999.7659039991676,997.7158144092493,1050.4330000000002,-52.71718559075089,-5.018614760841565
pollein,3695.8534538716403,3617.1830555444226,3859.672,-242.48894445557744,-6.282630867482456
cogne,4886.381832633126,5045.8669234785475,5424.3870000000015,-378.52007652145403,-6.978117094548267
saint marcel,2643.0148461517,2631.3113589450927,2904.715,-273.40364105490744,-9.412408482584606
arnad,2693.596541742434,2634.2687122239263,2927.598000000001,-293.3292877760746,-10.019452389845686
rhemes notre dame,464.25476289064255,551.7267353751308,699.989,-148.2622646248692,-21.18065635672406
allein,50.503916144516346,50.503916144516346,NA,NA,NA
gaby,1229.5609224706448,1229.5609224706448,NA,NA,NA
saint denis,625.3411286493781,625.3411286493781,NA,NA,NA
