comune_key,comune_nome,Consumo_Base_MWh,Consumo_Mediano_q50_MWh,Consumo_Picco_q95_MWh,Delta_Picco_Assoluto_MWh,Variazione_Percentuale_Picco
valpelline,Valpelline,197.895,709.7889171344092,721.6189864706345,523.7239864706345,264.6474071960557
pont saint martin,Pont-Saint-Martin,6678.411,11374.13995946122,11370.395296665305,4691.984296665305,70.25599797115369
la thuile,La Thuile,345.077,560.9149286040588,574.3153560975707,229.23835609757066,66.43107367270802
valgrisenche,Valgrisenche,531.391,806.0881843818856,814.0660443947858,282.6750443947858,53.195301462536214
avise,Avise,469.1429999999999,711.8895937049997,704.9543067372776,235.81130673727773,50.264270539532255
bionaz,Bionaz,436.60900000000004,631.9370170526157,636.8452097201688,200.23620972016874,45.86167708869234
rhemes notre dame,Rhêmes-Notre-Dame,699.989,784.1011212037015,824.8521771968451,124.86317719684507,17.837877051902968
la magdeleine,La Magdeleine,202.00999999999996,224.00380351566346,230.78702376041886,28.7770237604189,14.245346151388002
morgex,Morgex,8981.689,9901.797721426068,10088.949206585388,1107.260206585388,12.327973130503494
chatillon,Châtillon,2314.984,2648.6684465651256,2574.898341951239,259.9143419512393,11.227478978309971
valsavarenche,Valsavarenche,497.158,540.4787309302797,550.7989875522218,53.64098755222176,10.789525171519267
torgnon,Torgnon,2549.7979999999993,2675.23449829865,2823.391437431902,273.59343743190266,10.730004393756005
courmayeur,Courmayeur,18221.977999999996,19310.547323054427,19872.875116070227,1650.8971160702313,9.059922671788055
hone,Hône,1269.861,1374.2664407603556,1370.9007487231934,101.03974872319327,7.9567565838460474
gressoney saint jean,Gressoney-Saint-Jean,2882.788,2989.5728588645848,3099.627390876529,216.8393908765288,7.5218639343763325
rhemes saint georges,Rhêmes-Saint-Georges,504.1909999999999,536.6673383931115,539.2584391581155,35.067439158115576,6.955189433789097
valtournenche,Valtournenche,17981.534,17884.700377747446,19010.53895127148,1029.0049512714795,5.722564889466491
ollomont,Ollomont,339.802,351.4165142961118,358.680613896571,18.878613896570982,5.555768917360987
chambave,Chambave,1159.0969999999998,1217.9269122023707,1222.667775382898,63.57077538289832,5.484508663459429
brusson,Brusson,2558.1590000000006,2601.8773750480054,2695.097331618753,136.93833161875227,5.35300314088187
emarese,Emarèse,263.26399999999995,275.09803006549146,275.6817307860709,12.417730786070933,4.716835870483976
charvensod,Charvensod,2587.1050000000005,2670.2220868777194,2692.737914878777,105.63291487877632,4.0830547998158675
