comune_key,GAM,LM,MixedModel,QuantileGBM,RF,XGB
antey saint andre,15805.265445636345,12352.094382330768,14976.8252646669,13290.357722648176,13031.853965144852,13151.473435121574
aosta,639346.9281142643,454983.5779940901,618044.730354817,553115.365802241,323662.2636914811,437361.97565786703
arnad,57858.8027725867,50264.50616744368,77251.28935039227,15619.506037301771,20207.26625815849,16011.916871142897
arvier,11976.671170686923,5891.140047321901,7691.84200403402,9982.360522069655,7899.856066160777,7840.812543465367
avise,31624.1047661883,31846.054216579054,29041.28162101164,32015.079314743576,29012.202876421135,29117.94371235689
ayas,96320.37259113534,130140.18116387672,49482.46270363046,64155.08123832457,81667.27736216033,94846.05753240349
aymavilles,27471.86730843193,12919.112179676986,23999.949313620273,24431.18680940941,20174.328160323483,24872.98111977718
bard,28917.972540275343,29958.764483777035,29856.47452820414,33373.831330901914,31752.213607080706,31462.12625736933
bionaz,23514.167486736245,23870.04020869862,21787.46620572877,20493.556196187572,21665.852937130414,22111.698626684345
brissogne,31725.32405743319,24426.205681449235,31787.119510314795,30383.73411371002,22920.20389037069,26720.261010027996
brusson,21727.51023471786,23327.10603978624,20481.467728055464,27340.8961258334,20675.741478637352,25186.874494490217
challand saint anselme,8705.53277541742,7792.073205337491,8658.933428623508,8991.890280246624,9084.19100477597,7956.109172268594
challand saint victor,6635.264782517137,5374.689986518004,6851.3759561798615,6570.342506142116,5151.092190717877,5393.989402701869
chambave,16738.744054798004,8015.981515495036,13245.514591159874,12763.978782259603,11653.402982932199,13761.370673954638
chamois,9210.403045291523,5522.776621651085,8260.445089339832,6723.929679564038,9978.426155874047,10568.377020922948
champdepraz,6894.972247140892,5633.529331407492,6018.848557022988,6254.743921520288,6220.900140881398,5556.519087665283
champorcher,11461.968580329272,17694.05045800996,12347.993110227782,17182.237340734795,17103.249310006322,14253.56132648507
charvensod,23661.43619917869,18495.985100107388,21052.4072397265,26243.616517767372,32332.91904417797,28370.6702975811
chatillon,101672.8231552005,77763.7031124081,29508.324812628638,24373.926584292785,176019.0430749372,186123.67946481518
cogne,66697.4907151541,77579.47445801186,55013.49236306493,59709.59828694729,41726.19612613155,47781.25698817645
courmayeur,181598.29542085037,263183.3574858401,189925.68450691752,170485.55588304542,124263.57116830778,151246.6740424292
donnas,22846.58000021003,20536.88237157311,19678.141764737647,19050.217733371228,18910.962582865846,18145.999953177336
doues,2916.1419989243745,4089.81814258766,2091.606816178233,1992.0938128658415,3198.2068386401306,3041.5753444109155
emarese,4048.2933887603494,3724.975602099088,4076.874414148341,3322.4624165049754,3537.573778770769,3459.0978640045014
etroubles,4389.845705829003,8884.091717861338,8898.80597386374,8327.801605224518,5474.616877768197,7166.266558949788
fenis,12334.577252265932,18160.64071863449,14055.75326333486,20218.91700645228,18585.636425660123,17776.032264579302
fontainemore,3373.835638190014,3279.2361747902323,4813.6980882942535,4921.24095479395,3949.9968452383782,4018.6541237947117
gignod,7568.43567611936,8686.324103787241,4693.983596659298,5153.544679631195,4893.943496250645,5952.043360636057
gressan,111130.48612363059,113602.65521475914,63033.85873658951,97628.35815572596,113905.0121658168,130809.63482969624
gressoney la trinite,63355.671181712096,46006.128210741685,42071.67191189045,36891.814448831494,49111.28890800555,36339.91590860365
gressoney saint jean,43977.38110807244,40526.636045010855,46460.84586320392,47985.73964393695,48435.925771124064,45768.7331534571
hone,18481.875806632957,14473.843455132232,15370.271459874328,13218.635119880311,14146.33689059755,14393.655917412108
introd,9061.652776270925,4979.2413030582375,7191.683317437238,7237.0051362599415,7410.687683287073,7552.836922724334
issime,5788.895453802835,5196.656316897896,6197.9934370219535,8363.744125026942,8426.744407379207,7489.10358885831
issogne,13090.559660475048,11204.563892009386,13410.263048737375,17845.43055528852,14699.512679202926,18526.56758672444
jovencan,6206.594777963881,7489.601067456024,8016.764957969168,7646.925654922315,6207.152887777385,6284.295937003078
la magdeleine,4370.628589306265,3672.956602049653,3991.00264547053,4519.431849781406,4459.789467671859,5369.667820659861
la salle,27208.11749793915,41183.12822242134,29573.1704552919,24698.893698413638,32334.468318422456,22116.242235184673
