"comune_key","Prophet","GAMM","Mixed"
"allein","2246.46029867145","12308.3427586216","15796.2279663545"
"antey saint andre","11129.8326897176","13481.132033035","14138.2741002095"
"aosta","325742.277900446","596388.599954006","298861.98335899"
"arnad","27381.2187413601","82694.4503773791","16744.146947699"
"arvier","17980.7433519914","7966.39091358345","8678.94273144725"
"avise","24418.2071143376","30268.3091128332","26855.5770919986"
"ayas","62948.9258734362","79923.5133785178","74703.7366983477"
"aymavilles","18657.8198183126","27251.5217194225","15524.5934360686"
"bard","61118.8559817458","28761.6876527045","31992.1514890127"
"bionaz","24878.864212495","22541.8919173793","21825.4096546397"
"brissogne","27738.1291663502","33689.4805816265","18943.9315253778"
"brusson","17885.8402957979","26449.5586969454","22773.6559133651"
"challand saint anselme","6523.56817636063","9041.91085612125","9286.90125345487"
"challand saint victor","8269.8431891007","6522.97440161524","5185.08150604587"
"chambave","16335.2228749995","13101.6797452668","9214.95923858599"
"chamois","11227.3345372633","11590.2816843302","11990.3567231485"
"champdepraz","10495.0660562167","6530.16545315389","7359.85340764483"
"champorcher","12686.8556187879","12940.3935831436","18096.4133580348"
"charvensod","21242.7668959438","26652.4320004628","19145.1110814559"
"chatillon","134200.321728456","89742.0979373578","92643.2003449175"
"cogne","74047.3843305202","51204.5555019917","62233.6646389274"
"courmayeur","248007.590858192","171762.30231098","203938.945629347"
"donnas","22156.6491739801","20670.8593192747","23001.1079781823"
"doues","3313.17181707679","2955.72965842185","4557.45581676749"
"emarese","3529.4473418912","3483.42456028095","2997.08991081774"
"etroubles","7260.88527062385","9623.11121068601","7144.1730904326"
"fenis","25352.7087341842","14044.6906905768","21084.4961758768"
"fontainemore","3426.49296962171","6086.8626018537","4101.9585596264"
"gaby","11853.5199180072","49491.1375452123","52578.6207239331"
"gignod","10233.7072790593","5834.69649526051","8415.16545503005"
"gressan","108898.889094481","37238.6769125369","77949.6443076196"
"gressoney la trinite","58402.3373513712","53939.9450719317","41542.3018415669"
"gressoney saint jean","41560.4786995124","47083.0305072418","39569.8605789525"
"hone","13363.5009555415","15440.594630653","12275.4098830053"
"introd","5246.22269678476","8473.31178970634","5236.79487083546"
"issime","6906.44705021053","7243.09824357615","6934.94073454478"
"issogne","15834.193415246","15792.8443915556","15978.5378218072"
"jovencan","8580.78922284002","7433.88791635692","7985.90814264169"
"la magdeleine","4329.0615694889","3938.93045344887","4019.24627931968"
"la salle","31421.0606579659","30349.3161998256","47141.8784089558"
"la thuile","162775.168410004","147359.599159964","153103.801841603"
"lillianes","7051.30085668051","6833.8938272813","6335.13438481886"
"montjovet","29173.4460726706","13817.5137218253","14916.6104849846"
"morgex","199392.719654744","134313.865370369","111945.052469541"
"nus","22777.8106678161","23149.5158543544","23647.983409278"
"ollomont","3342.14863077563","4257.0172144811","2690.19462947517"
"oyace","1890.88163889979","2243.24497707241","1739.60235128579"
"perloz","9957.74079540845","6543.16793165922","7504.58779955767"
"pollein","28316.9401238133","25612.499124433","40299.3893877811"
"pont saint martin","435227.623800531","493792.814025026","514142.765017849"
"pontboset","2592.95561198321","1232.93325122247","1736.19972717683"
"pontey","12259.8249878392","20035.2533918364","20925.8287246404"
"pre saint didier","11120.9666847056","13446.1915889604","24603.8988469284"
"quart","58016.8547727642","45682.6534762054","41658.357090497"
"rhemes notre dame","23097.219868033","13582.5900374928","13777.2616896126"
"rhemes saint georges","5423.94299783814","8110.28909816584","6937.4495739596"
"roisan","10540.2941916783","11944.9647074303","8891.38617121996"
"saint christophe","22658.645876063","14354.3549307531","34269.1940732287"
"saint denis","18110.7100211459","22268.3772040326","19392.6037099185"
"saint marcel","37452.3752780228","26549.7214322534","34879.5703332009"
"saint nicolas","4170.93131959378","4267.81669048415","5091.90160209056"
"saint oyen","4636.85125959032","3148.92169006574","3594.7766940957"
"saint pierre","22125.137983012","17103.4161713425","23114.1591734388"
"saint rhemy en bosses","19265.9256117247","16814.3961345067","25702.3082004005"
"saint vincent","149079.907687121","128434.026988083","46871.1137567917"
"sarre","38087.3938691047","48295.081443246","35601.3719961616"
"torgnon","25055.4728405271","51540.19377267","24322.2512133105"
"valgrisenche","36866.9084672421","33312.9156240746","30616.8908763013"
"valpelline","56777.4424109136","58428.1635072571","56902.0603543593"
"valsavarenche","7000.62287902058","9389.20583771474","9850.27354036347"
"valtournenche","223998.967822439","149380.705909698","43671.8424942195"
"verrayes","16695.4921295793","9057.00881496327","10652.8313103133"
"verres","490582.620500559","99888.4782026081","167991.885512732"
"villeneuve","16279.0884232415","16843.0264837434","15039.8067759388"
