comune_key,best_model,best_RMSE_kwh,best_MAPE_pct
allein,Prophet,2910.1582374262016,80.89678242485611
antey saint andre,Prophet,17271.40130590613,8.638799182738701
aosta,Mixed,411186.3589824567,4.872625103686841
arnad,Mixed,21024.128618563213,4.948412721365856
arvier,Mixed,13085.805177588456,8.001242253085007
avise,Prophet,26633.69187273311,49.70359597493129
ayas,Prophet,68338.5471821989,6.213747861905721
aymavilles,Mixed,26424.27242515751,7.433687164203932
bard,GAMM,41847.97146050744,15.423576239706549
bionaz,Mixed,22651.828464395476,49.233619305241355
brissogne,Mixed,21260.46370116951,3.7392010099142086
brusson,Prophet,22987.221979747035,7.986380759237896
challand saint anselme,Prophet,10216.377036410682,7.3494150395249465
challand saint victor,Mixed,7663.96797427052,10.362353754264197
chambave,Mixed,10750.016233569691,7.528264982489802
chamois,Mixed,13718.240401876677,11.438006057079502
champdepraz,Mixed,11549.036594221869,10.765896593464328
champorcher,GAMM,17439.04981706963,8.053729408926403
charvensod,Mixed,32846.61569652133,8.728506016808888
chatillon,GAMM,123032.27684221642,10.226060691222404
cogne,GAMM,62828.114842656934,9.338881530187559
courmayeur,GAMM,184368.61121021246,9.729876700954078
donnas,Mixed,29373.512714257162,8.287048807794559
doues,GAMM,3510.2975995801467,23.338971204060808
emarese,Mixed,4725.378009742521,13.85306707561334
etroubles,Mixed,8656.408354946752,8.112401498521853
fenis,GAMM,21416.1972141591,8.685333215893627
fontainemore,Mixed,5517.737936494542,9.106052982239115
gaby,Prophet,13823.33140913869,15.709934016634698
gignod,GAMM,6591.8603509271825,9.40174319300177
gressan,GAMM,54758.145514564974,5.011150976237017
gressoney la trinite,Mixed,48433.723789696145,9.945113455847823
gressoney saint jean,Mixed,46815.87278625956,15.943933992087956
hone,Mixed,18400.38610305669,11.07042536426064
introd,Mixed,9034.86740238429,7.344813991789037
issime,GAMM,8701.58711480681,11.84662846451726
issogne,Mixed,17267.93505423368,8.467385013815084
jovencan,GAMM,10508.902274039605,8.399872127493346
la magdeleine,GAMM,5054.847483681985,31.677756314006505
la salle,GAMM,39104.307610832926,8.331637110914295
la thuile,GAMM,185653.07923573937,23.23707030223104
lillianes,Mixed,7103.7904768837525,14.773439465453958
montjovet,Mixed,21604.630930724263,9.200583404527931
morgex,Mixed,137753.30651562024,12.014831477915413
nus,Mixed,35871.843758534415,10.614812777685337
ollomont,Prophet,4696.8489295267545,11.12901681226745
oyace,Prophet,2471.732318930299,7.92582617038215
perloz,GAMM,8131.538466510093,8.18802795324942
pollein,GAMM,29893.82174208424,6.20652094240684
pont saint martin,Prophet,438310.9645211173,59.63093599487592
pontboset,GAMM,2173.596640635245,7.140495218919867
pontey,Prophet,14151.138309944827,10.40536649200661
pre saint didier,GAMM,19013.099254442153,5.877252304475206
quart,Mixed,64319.10963291139,8.266190961956768
rhemes notre dame,Mixed,14280.252922079637,23.089686322392467
rhemes saint georges,Prophet,7158.131921090153,11.117888442407915
roisan,Mixed,15059.161073894094,11.30984026207707
saint christophe,GAMM,16692.05807949534,4.374734543799328
saint denis,Prophet,19783.95735276108,56.98953990615463
saint marcel,GAMM,32747.67365269638,9.541061815043298
saint nicolas,Prophet,5951.480967993731,7.310978291003117
saint oyen,GAMM,4674.83873246818,10.127653869176099
saint pierre,GAMM,28446.972224978002,5.121600659116277
saint rhemy en bosses,Prophet,25167.56701694215,12.72223678075288
saint vincent,Mixed,56999.988171899364,3.5210333615510425
sarre,Mixed,58503.75145083904,9.581329984702492
torgnon,Mixed,32823.62178183471,11.083337298372163
valgrisenche,Mixed,31602.63411665105,59.75304453601805
valpelline,Mixed,73486.09021444569,241.6231550689416
valsavarenche,Prophet,8299.020044936695,15.313547451822357
valtournenche,Mixed,55196.70651533844,2.4101075070960376
verrayes,GAMM,11827.320036498757,5.9940035908097755
verres,GAMM,111345.04634117238,11.54025278235928
villeneuve,Mixed,17563.057674133794,8.107507254785238
