"comune_key","n_obs","MAE_kwh","RMSE_kwh","Bias_kwh","MAPE_pct","model","best_RMSE_kwh","delta_from_best_RMSE","underperform_flag"
"valtournenche","9","43671.842494219454","55196.70651533844","-31211.463788573823","2.4101075070960376","Mixed","55196.70651533844","0","ok"
"saint vincent","9","46871.11375679169","56999.988171899364","-1577.2299677474011","3.5210333615510425","Mixed","56999.988171899364","0","ok"
"brissogne","9","18943.931525377808","21260.46370116951","-9805.57494121572","3.7392010099142086","Mixed","21260.46370116951","0","ok"
"saint christophe","9","14354.354930753083","16692.05807949534","-10315.63976905852","4.374734543799328","GAMM","16692.05807949534","0","ok"
"aosta","9","298861.9833589896","411186.3589824567","157831.23190003633","4.872625103686841","Mixed","411186.3589824567","0","ok"
"arnad","9","16744.146947699035","21024.128618563213","-16240.149578940789","4.948412721365856","Mixed","21024.128618563213","0","ok"
"gressan","9","37238.67691253694","54758.145514564974","18419.89133991016","5.011150976237017","GAMM","54758.145514564974","0","ok"
"saint pierre","9","17103.416171342535","28446.972224978002","10541.715239011824","5.121600659116277","GAMM","28446.972224978002","0","ok"
"pre saint didier","9","11120.966684705632","22203.005543741663","7727.07116041693","5.469657841684957","Prophet","19013.099254442153","3189.90628929951","ok"
"verrayes","9","9057.008814963272","11827.320036498757","-4104.444801103486","5.9940035908097755","GAMM","11827.320036498757","0","ok"
"pollein","9","25612.499124433016","29893.82174208424","1947.6835521842845","6.20652094240684","GAMM","29893.82174208424","0","ok"
"ayas","9","62948.92587343619","68338.5471821989","-9603.413601710616","6.213747861905721","Prophet","68338.5471821989","0","ok"
"champorcher","9","12686.855618787875","19139.345525279834","-1996.2234945860628","6.953594186101057","Prophet","17439.04981706963","1700.2957082102039","ok"
"pontboset","9","1232.9332512224748","2173.596640635245","750.4669191526658","7.140495218919867","GAMM","2173.596640635245","0","ok"
"saint nicolas","9","4170.931319593785","5951.480967993731","-706.8230669657044","7.310978291003117","Prophet","5951.480967993731","0","ok"
"introd","9","5236.794870835463","9034.86740238429","1505.6978345276698","7.344813991789037","Mixed","9034.86740238429","0","ok"
"challand saint anselme","9","6523.568176360628","10216.377036410682","663.3249693450327","7.3494150395249465","Prophet","10216.377036410682","0","ok"
"aymavilles","9","15524.593436068619","26424.27242515751","6256.311734302613","7.433687164203932","Mixed","26424.27242515751","0","ok"
"chambave","9","9214.959238585994","10750.016233569691","6211.191931765454","7.528264982489802","Mixed","10750.016233569691","0","ok"
"chamois","9","11227.33453726334","20142.43329268799","-2634.5138371162593","7.682149929796957","Prophet","13718.240401876677","6424.192890811313","high_gap"
