comune_key,model,n_obs,RMSE_kwh,MAE_kwh,MAPE_pct,delta_from_best_RMSE,underperform_flag
verres,Prophet,9,509003.3214995125,490582.62050055887,58.15803097009699,397658.2751583401,high_gap
aosta,GAMM,9,696460.4724824933,596388.5999540063,9.371932498632015,285274.1135000366,high_gap
valtournenche,Prophet,9,234694.6408574195,223998.9678224388,14.112937350810247,179497.93434208105,high_gap
valtournenche,GAMM,9,173979.77087283318,149380.70590969812,9.449069543674568,118783.06435749473,ok
saint vincent,Prophet,9,168855.87723242122,149079.90768712075,11.35207972558583,111855.88906052185,high_gap
gaby,Mixed,8,118236.54936948801,52578.62072393307,55.26398985880142,104413.21796034933,high_gap
courmayeur,Prophet,9,283956.42393775407,248007.59085819212,12.034535756598363,99587.8127275416,high_gap
gaby,GAMM,8,104591.9840033254,49491.137545212325,54.77919669323271,90768.65259418671,ok
saint vincent,GAMM,9,140775.7059892727,128434.02698808297,9.859789976407294,83775.71781737334,ok
pont saint martin,Mixed,9,516021.22088822315,514142.76501784933,70.36403930284469,77710.25636710587,high_gap
morgex,Prophet,9,213412.49471079934,199392.71965474365,20.952727001706755,75659.1881951791,high_gap
verres,Mixed,9,180859.0995783413,167991.8855127324,19.289817104582536,69514.05323716892,ok
gressan,Prophet,9,123553.1833312285,108898.8890944812,11.018898644247344,68795.03781666353,high_gap
chatillon,Prophet,8,188880.221655847,134200.32172845586,15.450938348666247,65847.94481363059,high_gap
arnad,GAMM,9,84799.2102560432,82694.45037737908,25.741765678415053,63775.08163747998,high_gap
aosta,Prophet,9,474755.450311998,325742.27790044557,5.2982990011621185,63569.09132954135,ok
pont saint martin,GAMM,9,495702.44974190934,493792.81402502593,67.65402836725792,57391.48522079206,ok
courmayeur,Mixed,9,234152.72909958064,203938.945629347,11.3733681990859,49784.11788936818,ok
chatillon,Mixed,8,163885.51599700114,92643.20034491752,10.482791985755608,40853.23915478472,ok
allein,Mixed,8,42483.86529585264,15796.227966354498,580.0573068822546,39573.707058426444,high_gap
morgex,GAMM,9,170723.1059504459,134313.8653703687,14.437890194649029,32969.79943482566,ok
gressan,Mixed,9,86423.80356552804,77949.64430761964,9.701053866686744,31665.658050963066,ok
ayas,GAMM,9,97670.93799394098,79923.51337851785,7.3794642349199915,29332.39081174208,high_gap
cogne,Prophet,9,91655.64728079188,74047.38433052016,11.182093637902272,28827.532438134942,high_gap
allein,GAMM,8,31114.562059196352,12308.342758621558,451.5773311365512,28204.403821770153,ok
torgnon,GAMM,9,60763.15238110955,51540.193772670034,20.818879144105303,27939.53059927484,high_gap
la thuile,Mixed,9,210546.63298640744,153103.80184160284,22.340449111400883,24893.55375066807,high_gap
la thuile,Prophet,9,209563.26272710192,162775.16841000394,20.96842171223083,23910.18349136255,ok
saint denis,Mixed,8,43409.95774289183,19392.603709918538,39.9327926919195,23626.000390130746,high_gap
saint christophe,Mixed,9,39248.93708887691,34269.1940732287,10.230851122131671,22556.879009381573,high_gap
bard,Prophet,9,64183.381006018964,61118.855981745815,43.83488425506336,22335.409545511524,high_gap
quart,Prophet,9,85127.46752501183,58016.85477276417,11.388192023991527,20808.357892100437,high_gap
ayas,Mixed,9,88135.63971433652,74703.73669834765,7.881744016088392,19797.092532137613,ok
brissogne,GAMM,9,39503.31873746002,33689.480581626456,6.449580913392548,18242.855036290508,high_gap
pollein,Mixed,9,47178.399111458166,40299.38938778112,8.953003260878658,17284.577369373925,high_gap
saint denis,GAMM,8,36400.58001617792,22268.377204032586,52.63634876409318,16616.622663416838,ok
cogne,Mixed,9,78751.4705784289,62233.66463892736,10.07110891813551,15923.355735771962,ok
gressoney la trinite,Prophet,9,64294.417843058145,58402.33735137118,13.975640372633267,15860.694053362,high_gap
gressoney la trinite,GAMM,9,63951.06755531938,53939.94507193166,14.924450516999741,15517.343765623235,ok
montjovet,Prophet,9,36793.019090856375,29173.44607267058,17.96070876884815,15188.388160132112,high_gap
fenis,Prophet,9,35988.66916080798,25352.70873418417,15.771473978086378,14572.471946648879,high_gap
la salle,Mixed,9,52015.51328829408,47141.8784089558,11.592029881550628,12911.205677461156,high_gap
sarre,GAMM,9,71042.56962589346,48295.08144324596,12.97203107407585,12538.818175054425,high_gap
verrayes,Prophet,9,24082.641123577978,16695.492129579306,11.667647814780826,12255.32108707922,high_gap
rhemes notre dame,Prophet,9,26430.647916098387,23097.219868033,30.079555166290646,12150.39499401875,high_gap
saint christophe,Prophet,9,27734.787426754116,22658.645876063027,6.786829514251746,11042.729347258777,ok
brissogne,Prophet,9,32030.66330804456,27738.129166350227,5.434813583234723,10770.199606875052,ok
arvier,Prophet,9,23353.14916115569,17980.743351991405,16.848819184227576,10267.343983567232,high_gap
gressoney saint jean,GAMM,9,56958.34586309832,47083.03050724183,19.21791310887679,10142.47307683876,high_gap
brusson,GAMM,9,32903.59034414729,26449.558696945365,10.692744867132102,9916.368364400256,high_gap
pontey,Mixed,9,23781.027659711737,20925.828724640425,17.724747628924682,9629.88934976691,high_gap
charvensod,GAMM,9,42378.92756002446,26652.43200046279,12.195179291599743,9532.311863503128,high_gap
arnad,Prophet,9,30398.160543323003,27381.218741360062,8.37957617571763,9374.03192475979,ok
pontey,GAMM,9,23145.06353301635,20035.253391836417,16.98305579784673,8993.925223071523,ok
aymavilles,GAMM,9,35413.8012812909,27251.521719422457,12.514695480478952,8989.528856133391,high_gap
chambave,Prophet,9,19711.97277258722,16335.222874999545,13.676305228769925,8961.95653901753,high_gap
brusson,Mixed,9,31787.53431181587,22773.655913365143,9.565886915422714,8800.312332068836,ok
pre saint didier,Mixed,9,26893.851599483984,24603.898846928365,9.51333134139477,7880.75234504183,high_gap
saint marcel,Prophet,9,40281.46589347983,37452.37527802278,11.939719761757276,7533.7922407834485,high_gap
champorcher,Mixed,9,24214.484923476415,18096.413358034795,9.718941523349157,6775.435106406785,high_gap
quart,GAMM,9,70989.40515826335,45682.6534762054,9.192729698457198,6670.295525351961,ok
saint pierre,Prophet,9,35071.296047339965,22125.137983012013,6.244896686463689,6624.323822361963,high_gap
issogne,Prophet,9,23890.23352769019,15834.193415245965,9.253886358345337,6622.298473456511,high_gap
saint rhemy en bosses,Mixed,9,31649.224728256628,25702.308200400472,13.623294478291664,6481.657711314478,high_gap
chamois,Prophet,9,20142.43329268799,11227.33453726334,7.682149929796957,6424.192890811313,high_gap
avise,GAMM,9,32729.278522779125,30268.309112833245,59.98944260372229,6095.586650046014,high_gap
nus,Prophet,9,41856.94996895947,22777.81066781614,10.996057323706513,5985.106210425052,high_gap
perloz,Prophet,9,13871.423336122658,9957.740795408447,14.241074341963156,5739.884869612565,high_gap
valgrisenche,Prophet,9,37333.498110015345,36866.90846724213,69.47591510219972,5730.863993364295,high_gap
saint marcel,Mixed,9,38204.18141598898,34879.570333200885,11.666067435576245,5456.507763292597,ok
la salle,Prophet,9,44284.259197354826,31421.060657965885,8.647625619085584,5179.9515865219,ok
villeneuve,Prophet,9,22100.680137306194,16279.088423241545,10.026761050060099,4537.6224631724,high_gap
chambave,GAMM,9,15140.847231664839,13101.679745266818,10.996741460678551,4390.830998095147,ok
challand saint victor,Prophet,9,11917.294618058133,8269.8431891007,16.073862901084258,4253.326643787613,high_gap
gignod,Prophet,9,10814.104841462606,10233.707279059254,17.829253603747322,4222.244490535423,high_gap
etroubles,GAMM,9,12858.638386244957,9623.111210686011,11.375473983967574,4202.230031298204,high_gap
pollein,Prophet,9,33670.45216004628,28316.940123813267,6.612942237310122,3776.630417962042,ok
aymavilles,Prophet,9,29983.42696177337,18657.819818312564,8.759987177917795,3559.1545366158607,ok
nus,GAMM,9,39412.6452021466,23149.515854354362,11.248182638104156,3540.8014436121885,ok
champdepraz,Prophet,9,15028.137730327519,10495.066056216694,15.923365776244216,3479.10113610565,high_gap
pre saint didier,Prophet,9,22203.005543741663,11120.966684705632,5.469657841684957,3189.90628929951,ok
fenis,Mixed,9,24494.256631361113,21084.496175876808,11.621955440505207,3078.0594172020137,ok
charvensod,Prophet,9,35918.91133857442,21242.766895943758,9.465770774613725,3072.29564205309,ok
valsavarenche,Mixed,9,11370.693446314084,9850.273540363467,20.28002737624269,3071.6734013773894,high_gap
verrayes,Mixed,9,14716.562955791725,10652.83131031334,7.320130677764075,2889.2429192929685,ok
roisan,GAMM,9,17936.279653540394,11944.964707430301,16.20626498163943,2877.1185796462996,high_gap
valsavarenche,GAMM,9,11101.316201737507,9389.205837714742,20.766039976349813,2802.2961568008122,ok
jovencan,Prophet,9,13284.724797399302,8580.789222840016,10.061838111425198,2775.822523359697,high_gap
etroubles,Prophet,9,11410.857521024398,7260.8852706238495,8.721393259781449,2754.4491660776457,ok
bionaz,Prophet,9,25380.78499394167,24878.86421249501,55.57598512484362,2728.9565295461944,high_gap
challand saint anselme,GAMM,9,12910.173935639446,9041.910856121249,10.37114460751912,2693.7968992287642,high_gap
introd,GAMM,9,11717.993275612645,8473.311789706337,11.21524323200843,2683.125873228355,high_gap
rhemes saint georges,GAMM,9,9804.444868498585,8110.289098165839,16.90111939343813,2646.3129474084326,high_gap
lillianes,Prophet,9,9685.866342390189,7051.300856680507,19.63659219294385,2582.0758655064365,high_gap
avise,Mixed,9,29058.223866369397,26855.577091998617,53.56216076242958,2424.5319936362866,ok
issime,Prophet,9,11069.314876083648,6906.447050210534,13.394388450704914,2367.7277612768376,high_gap
valgrisenche,GAMM,9,33936.77707043011,33312.91562407459,62.80563613847787,2334.1429537790573,ok
gignod,Mixed,9,8803.90989100211,8415.16545503005,14.15097167397975,2212.049540074927,ok
saint pierre,Mixed,9,30439.50858904658,23114.1591734388,6.069727832696568,1992.5363640685791,ok
antey saint andre,GAMM,9,19173.36749960845,13481.132033035048,10.694763731326033,1901.9661937023193,high_gap
sarre,Prophet,9,60370.058903538775,38087.39386910472,10.131035685677006,1866.307452699737,ok
challand saint anselme,Mixed,9,12035.629707698456,9286.901253454867,9.430121241042984,1819.2526712877734,ok
donnas,Prophet,9,31126.91043085519,22156.64917398007,8.462541392835163,1753.3977165980286,high_gap
rhemes saint georges,Mixed,9,8898.90763390874,6937.4495739596005,15.149206131727077,1740.7757128185876,ok
champorcher,Prophet,9,19139.345525279834,12686.855618787875,6.953594186101057,1700.2957082102039,ok
montjovet,GAMM,9,23303.73692282387,13817.513721825306,9.409610703360919,1699.1059920996086,ok
hone,GAMM,9,20077.282649314508,15440.594630653028,12.907130013885237,1676.8965462578162,high_gap
roisan,Prophet,9,16725.924033658423,10540.294191678284,14.4340845894607,1666.7629597643281,ok
challand saint victor,GAMM,9,9214.126021098898,6522.974401615241,12.673158689653881,1550.1580468283782,ok
donnas,GAMM,9,30911.95086021705,20670.859319274656,8.501097449111715,1538.438145959888,ok
bard,Mixed,9,43370.4473994058,31992.15148901273,17.28282307543231,1522.4759388983584,ok
antey saint andre,Mixed,9,18757.94674476728,14138.274100209504,10.413963688820598,1486.5454388611506,ok
pontboset,Prophet,9,3591.1398771473964,2592.9556119832096,13.979112868635788,1417.5432365121515,high_gap
doues,Mixed,9,4915.75608684455,4557.455816767487,37.12196744703641,1405.4584872644032,high_gap
villeneuve,GAMM,9,18800.84391820573,16843.02648374337,8.955356119062035,1237.7862440719364,ok
gressoney saint jean,Prophet,9,48031.94135035462,41560.478699512445,15.84275681895379,1216.0685640950542,ok
issogne,GAMM,9,18419.49664495547,15792.844391555605,8.54781426548606,1151.5615907217907,ok
ollomont,GAMM,9,5830.687815006626,4257.017214481102,14.632597584123053,1133.8388854798714,high_gap
saint oyen,Prophet,9,5723.438839206364,4636.851259590324,13.80951140781333,1048.600106738184,high_gap
fontainemore,GAMM,9,6531.730763509567,6086.862601853695,12.129937340012505,1013.9928270150249,high_gap
chamois,GAMM,9,14723.223090704745,11590.281684330186,9.793941749315147,1004.9826888280677,ok
introd,Prophet,9,10019.659356127755,5246.222696784764,7.5827905198883165,984.7919537434645,ok
valpelline,Prophet,9,74356.01376284393,56777.442410913616,239.91043493443448,869.9235483982338,high_gap
perloz,Mixed,9,8952.959945786764,7504.587799557668,9.08986584300268,821.4214792766716,ok
jovencan,Mixed,9,11304.019476898227,7985.908142641685,8.340947749775689,795.1172028586225,ok
hone,Prophet,9,19164.201147039163,13363.500955541487,11.665336570199761,763.8150439824713,ok
oyace,GAMM,9,3104.157444765881,2243.244977072413,10.262230115389437,632.4251258355821,high_gap
rhemes notre dame,GAMM,9,14894.679611157662,13582.590037492824,22.016935860191094,614.4266890780254,ok
torgnon,Prophet,9,33432.9188519073,25055.472840527065,12.635041806205184,609.2970700725928,ok
