"comune_key","MAPE","RMSE","MAE","Bias"
"brissogne",3.35070250564802,23510.3233344477,16538.1313473697,-0.696689827663049
"arnad",4.19912068832414,16583.7429381873,13256.316860552,1.25658986728129
"aosta",4.58827423495398,429981.84008399,277218.157203575,2.11437656776765
"saint christophe",4.85174110655803,17897.9643160689,15310.3592732327,2.26480347802901
"saint vincent",5.47561099257254,100033.478055845,72503.6986029423,-0.136803341063278
"verrayes",5.70316530145341,12767.6176320447,7839.96458036421,4.12166661655309
"gignod",5.7352023427484,4292.12615931467,3207.286818459,1.27613922786089
"chatillon",5.8252120095917,60170.7225360462,44498.4947922157,-0.725889004852382
"saint marcel",6.11186630589314,24126.0053990078,15575.8031142399,1.01660967244862
"saint pierre",6.26506148595394,39962.6036477626,22356.3736260201,1.53659341154164
"pollein",6.43383381407587,29963.4144516347,26259.5684640721,-1.99073935924635
"chambave",6.56785839616585,12533.2842968794,7971.65846897009,4.48292354614035
"valtournenche",6.81380222517044,232949.543747015,151678.07052854,-5.56556045017894
"oyace",6.87720085855184,2410.81099844628,1462.66018553097,4.38477694418775
"gressoney la trinite",7.21095154898157,48481.4015043401,37507.0814892019,-0.704647968673611
"saint nicolas",7.23300315474455,5835.27804271916,4077.35446571435,3.96798551867541
"villeneuve",7.3690562264619,16070.3128620672,13208.2057435,-2.01620468664834
"donnas",7.42274664109008,30299.6605834976,19526.7216757336,1.57301251198537
"ayas",7.89083291585003,101516.05052052,78832.5461109435,-3.07260083587563
"fontainemore",8.07939947406862,5728.34134673163,3276.34325730328,7.45097879446095
"jovencan",8.12065424928954,11368.261721211,7479.80995002831,1.8726879211535
"chamois",8.34089555276232,18170.8960661649,11501.8483162704,-5.03423533648036
"perloz",8.52442377324122,9580.55252792903,6912.68224482469,-2.11684629422394
"charvensod",8.53706104982125,35244.8976815972,18065.440477979,6.73359215390777
"saint rhemy en bosses",8.60256517273806,22151.6424979852,16748.7944156615,-1.6553151923015
"rhemes notre dame",8.61183619750777,7743.5290141142,4872.26241792959,5.07456160778297
"champorcher",8.64459033396096,19101.5606563681,13367.2989657054,0.0195933718517386
"etroubles",8.6477098398826,10575.7982597673,7439.89283188001,2.55855312139445
"introd",8.70374074984371,10808.0608050107,6585.2091364465,5.64256183153806
"la salle",8.75149445028859,50305.8751398826,32377.0025035507,1.66612248168962
"quart",8.82678530726508,73897.3134099858,45954.6047384031,6.19636413902903
"torgnon",8.84640227647247,26656.0793424785,17836.9840610548,2.3168359223017
"challand saint anselme",8.85360533196067,14009.3440581425,7864.36518145801,3.55381106161891
"arvier",8.90431668849023,17830.7857488929,9284.49715238502,4.06346284179516
"issogne",8.98164643428871,19606.3022013985,16981.5481600926,-4.97000338018542
"gaby",9.02437628240527,10838.5351434333,6482.73875205742,7.65792706111684
"fenis",9.08668244744114,25506.6431016257,14710.4889697245,2.74034718682832
"aymavilles",9.42557045259472,34237.4158040654,20366.1899233329,5.98948299486826
"hone",9.43134777535768,18274.9960803526,10181.0082868079,8.0986770088141
"pontboset",9.63050138794289,3174.57344805409,1704.77620474068,4.22034329714039
"antey saint andre",9.6391934468156,21281.3666042826,12101.3894423641,6.88885567238748
"brusson",9.67926234643991,33324.8980440298,21690.5873599361,5.01080967823342
"gressan",9.71750273541236,92339.4819572256,77507.4500099683,-1.77595694214077
"champdepraz",9.72881039277149,12612.0553374702,6189.82654067869,5.47845508087852
"montjovet",9.78714961934662,25757.4065230376,14944.0212409895,3.95997869339076
"cogne",9.89533364631141,81514.396787394,59391.0563052304,-2.08997268985005
"sarre",10.4502121890525,67135.3885402626,38879.359810397,6.0077811645874
"nus",10.5949787204912,39772.5338443293,21993.7709313664,7.64544752356853
"saint oyen",10.6174041546356,5510.3480218772,3747.69491073487,1.43126726503807
"morgex",10.6478845071821,121747.168456416,99488.6941950652,7.33706118445893
"pre saint didier",10.9082657939448,32505.3430193552,25329.8064067967,-1.01219978823608
"courmayeur",11.2158460270477,223295.819394144,170141.974602085,10.342143081914
"challand saint victor",11.3888243658907,10410.1617420388,5637.60657627446,6.59436336687359
"valsavarenche",11.8273974697628,8465.53852275259,6180.96900787054,8.27917932884079
"issime",12.1789762230768,9338.8632473839,7033.09623568454,1.32182548023172
"roisan",12.2684020981328,17909.7087221562,9909.4173875785,7.20666733284532
"verres",12.2949802083337,118184.378722111,105317.514993163,-9.72488295540287
"gressoney saint jean",12.2981919058874,49938.2324236717,30458.6346902432,7.23062320482807
"ollomont",12.8814266971542,5448.1574380871,3552.03568319745,9.98553782197943
"rhemes saint georges",12.968949433575,8287.5653668366,6032.60300989592,7.98537615170306
"lillianes",13.7007345915308,6879.76765364065,5467.78078570986,-1.3691118961985
"pontey",13.7543095160573,19064.053570769,16482.3665058848,-11.3692895058027
"la thuile",15.1099612825909,89465.3708803592,68388.8776898316,11.3210633680108
"emarese",15.2892086705135,5176.00385414668,3314.57563298705,10.0184037820528
"bard",18.1188940516391,50706.561535838,34683.7181262285,-11.9091354851658
