"method","n_comuni","median_mape","mean_mape","median_abs_rel_total","mean_abs_rel_total","total_mae","pct_rel_gt_50","pct_rel_gt_100","pct_mape_gt_75","pct_implausible"
"BASE_static_share",74,0.206992236934855,0.332679361371378,0.0973990209791565,0.151204159013184,20222.4687278988,0.0405405405405405,0,0.0945945945945946,0.108108108108108
"METHOD_A_expw_weather",74,0.322084074558286,0.520070720680831,0.15456590995376,0.307699445947493,38328.6648999562,0.148648648648649,0.0540540540540541,0.135135135135135,0.189189189189189
"METHOD_B_ets_reconcile",74,0.407113152750887,0.578089409719398,0.220201799906121,0.345273092221106,48527.998544193,0.202702702702703,0.0540540540540541,0.202702702702703,0.256756756756757
"METHOD_C_base+shrunkA_l0.10",74,0.212135143076821,0.333970562884494,0.0935507736534859,0.147910512342559,20294.7062132078,0.0540540540540541,0,0.0945945945945946,0.121621621621622
"METHOD_D_base+meteoOnly_l0.10",74,0.222554856419091,0.331750882904132,0.096461395223902,0.155325662693739,21183.41727245,0.0405405405405405,0,0.0945945945945946,0.108108108108108
"METHOD_E_nnetar_per_comune",74,0.261434101405107,0.539004329838031,0.117236326448898,0.23305164466984,25185.0575863549,0.135135135135135,0.0405405405405405,0.189189189189189,0.22972972972973
"METHOD_F+meteo_l0.10",74,0.221828689916832,0.322857740026891,0.0971175532978365,0.14944196873821,21017.114474819,0.0405405405405405,0.0135135135135135,0.0675675675675676,0.0675675675675676
"METHOD_F_expw_median_3yr",74,0.215777074249767,0.323715197315224,0.103705514237255,0.144513118727157,19990.8322925448,0.0405405405405405,0.0135135135135135,0.0675675675675676,0.0810810810810811
"METHOD_G+meteo_l0.10",74,0.213278985513149,0.336544565347079,0.0925212848372578,0.144879338107306,20477.2262146211,0.027027027027027,0.0135135135135135,0.0810810810810811,0.0810810810810811
"METHOD_G_adaptive_winsor",74,0.205673112525775,0.33769237117053,0.096359445688631,0.140999977194374,19664.0365001897,0.027027027027027,0.0135135135135135,0.0810810810810811,0.0810810810810811
"METHOD_H+meteo_l0.10",74,0.230069920522897,0.384494471342087,0.102579246493713,0.155811060980655,20524.6961023795,0.0540540540540541,0,0.0945945945945946,0.121621621621622
"METHOD_H_volume_shrinkage",74,0.220433883061922,0.397046498280927,0.097271334375136,0.152586654912322,19855.1661125577,0.0540540540540541,0.0135135135135135,0.0945945945945946,0.121621621621622
