comune_key,nn_mae,nn_mape,gbm_mae,gbm_mape,best_model
allein,76258.74106568404,27.17648555372429,125827.35732009806,41.31736198501205,NN
antey saint andre,24540.666666666668,0.16229066514533083,11692.773652477781,0.08599632568132637,QGBRT
aosta,749758.600249125,0.10865856782052961,306384.90346696175,0.05016495900668923,QGBRT
arnad,80466.97101449281,0.23764956680921087,29087.685821277744,0.08821315909362715,QGBRT
arvier,23716.597793092904,0.17568692835047386,10710.902003759553,0.08804946317243639,QGBRT
avise,29999.270531378064,0.5660338793946715,17760.655728277103,0.3150337971136816,QGBRT
ayas,343954.84487301274,0.2597849446456242,81938.84684171714,0.07079777123655415,QGBRT
aymavilles,40565.029718144484,0.1482552353810791,17793.82146082179,0.07721553284885609,QGBRT
bard,49260.755467903,0.2577897569065075,42616.650918036394,0.2207045389660294,QGBRT
bionaz,18518.998792269023,0.4062144543465485,16044.14519246627,0.34992239142561554,QGBRT
brissogne,30865.372528108226,0.06392662625394309,21323.21204012532,0.043609533178277475,QGBRT
brusson,73756.66666666667,0.2779259235996318,32365.971464429258,0.13191836168351054,QGBRT
challand saint anselme,17112.715812988245,0.1565495281743715,9868.772438104408,0.10350251458793608,QGBRT
challand saint victor,13166.466456941524,0.20788931232692,6702.775691108706,0.12085130730180906,QGBRT
chambave,16200.40700432872,0.11464856759389458,8091.241658665516,0.06341177869014389,QGBRT
chamois,61369.95956110823,0.4563095419418144,21651.46579200641,0.13915498672098803,QGBRT
champdepraz,16131.132850548214,0.18831402738130135,10240.093984567315,0.12829839027535814,QGBRT
champorcher,41369.12517640806,0.24872986444109355,12822.24384382582,0.0914241300484149,QGBRT
charvensod,42837.27901230067,0.1537283495709658,21752.557844848838,0.09098076993586489,QGBRT
chatillon,98097.9690076736,0.11376461978620334,172219.61838167667,0.19315894607955508,NN
cogne,151940.75,0.24235903397982,46265.635289636346,0.07256221512897382,QGBRT
courmayeur,785280.3663231066,0.414839176488009,310393.08660687774,0.1670440416168475,QGBRT
donnas,47576.891240682984,0.15597986782381162,22626.872749086124,0.08273642206627355,QGBRT
doues,5138.435174986008,0.41191712307979655,2035.328053534961,0.15295675614848653,QGBRT
emarese,4390.646822079164,0.17789554426001256,3275.8883011941466,0.13952484386724479,QGBRT
etroubles,17616.048432251177,0.17611638412045222,8589.04449119697,0.09079835837055503,QGBRT
fenis,34816.58179316628,0.16878791798648704,25583.437456952943,0.12956676595902908,QGBRT
fontainemore,7207.146640772226,0.15756806629893183,4019.1782255846397,0.08910776319945007,QGBRT
gaby,32783.72637536683,0.4561981353834655,67919.89843492267,0.6804490207095669,NN
gignod,8804.892328862305,0.1306037416742646,8496.3700412689,0.13737133529837992,QGBRT
