"rep","date","arrivals"
1,2025-01-01,172412.075728069
1,2025-02-01,157852.989658293
1,2025-03-01,142138.86073051
1,2025-04-01,71987.7175795192
1,2025-05-01,57588.9835481254
1,2025-06-01,130788.794239561
1,2025-07-01,250167.633468191
1,2025-08-01,258547.14344462
1,2025-09-01,108095.407732529
2,2025-01-01,118926.357182986
2,2025-02-01,130730.853131337
2,2025-03-01,110130.382106543
2,2025-04-01,86813.8550653001
2,2025-05-01,59009.0883320899
2,2025-06-01,98810.7533193044
2,2025-07-01,168940.938472851
2,2025-08-01,215586.691829392
2,2025-09-01,140623.593478841
3,2025-01-01,163352.560714204
3,2025-02-01,244182.773086667
3,2025-03-01,122801.35191711
3,2025-04-01,71167.1405612236
3,2025-05-01,53859.474252366
3,2025-06-01,125424.268058689
3,2025-07-01,238567.790837237
3,2025-08-01,310211.35501563
3,2025-09-01,180043.391044448
4,2025-01-01,138759.676980319
4,2025-02-01,186713.083171026
4,2025-03-01,115364.370905092
4,2025-04-01,64073.9444965365
4,2025-05-01,52663.7018486277
4,2025-06-01,132781.877582059
4,2025-07-01,309286.934547418
4,2025-08-01,322212.092153814
4,2025-09-01,261882.523380792
5,2025-01-01,168694.810025623
5,2025-02-01,159928.093896053
5,2025-03-01,130975.689508184
5,2025-04-01,107087.307409365
5,2025-05-01,79082.4677553342
5,2025-06-01,135211.830160582
5,2025-07-01,173088.7892752
5,2025-08-01,170984.076323733
5,2025-09-01,171012.514739526
6,2025-01-01,99964.2864861307
6,2025-02-01,119047.717277817
6,2025-03-01,115277.962177723
6,2025-04-01,69837.3921767674
6,2025-05-01,52477.7217652387
6,2025-06-01,114645.245616546
6,2025-07-01,175892.129785331
6,2025-08-01,271730.205627569
6,2025-09-01,108407.852117452
7,2025-01-01,138666.042755535
7,2025-02-01,154783.249053369
7,2025-03-01,67372.5809609334
7,2025-04-01,77056.3878031827
7,2025-05-01,100173.60639472
7,2025-06-01,303449.173245961
7,2025-07-01,428795.266974243
7,2025-08-01,371042.894977144
7,2025-09-01,262177.854287238
8,2025-01-01,179758.026142721
8,2025-02-01,172004.280625744
8,2025-03-01,137687.311123977
8,2025-04-01,109820.417434971
8,2025-05-01,57435.1312434541
