"rep","date","arrivals"
1,2025-10-01,57113.3418559919
1,2025-11-01,59860.7566802575
1,2025-12-01,145627.110855874
1,2026-01-01,218227.427239561
1,2026-02-01,159964.142280746
1,2026-03-01,165593.701727496
1,2026-04-01,82466.5767720192
1,2026-05-01,61154.1919807274
1,2026-06-01,144614.869502637
1,2026-07-01,278239.642122396
1,2026-08-01,254095.718424194
1,2026-09-01,111307.733288726
2,2025-10-01,94465.1525344642
2,2025-11-01,59481.6038019552
2,2025-12-01,97679.8584337572
2,2026-01-01,105814.52470002
2,2026-02-01,122269.052141349
2,2026-03-01,114658.566026622
2,2026-04-01,95830.0592963744
2,2026-05-01,66363.6246335545
2,2026-06-01,86957.4857979072
2,2026-07-01,128509.921784058
2,2026-08-01,186164.902673743
2,2026-09-01,156021.671251587
3,2025-10-01,109711.819066676
3,2025-11-01,67676.0064183842
3,2025-12-01,130311.895388042
3,2026-01-01,227463.834416219
3,2026-02-01,302792.025652169
3,2026-03-01,157135.328868272
3,2026-04-01,101680.169193587
3,2026-05-01,62355.346406573
3,2026-06-01,129374.645254755
3,2026-07-01,242419.557418742
3,2026-08-01,309013.685091218
3,2026-09-01,304845.044394346
4,2025-10-01,132174.091339277
4,2025-11-01,61251.3590300658
4,2025-12-01,131705.55844514
4,2026-01-01,229268.425737497
4,2026-02-01,286550.182153387
4,2026-03-01,235126.145711668
4,2026-04-01,100832.803435062
4,2026-05-01,61997.9177763645
4,2026-06-01,148146.300295048
4,2026-07-01,305921.292635261
4,2026-08-01,323168.474066597
4,2026-09-01,316987.038538272
5,2025-10-01,162045.64668226
5,2025-11-01,125418.940025759
5,2025-12-01,173144.207169344
5,2026-01-01,173867.396660308
5,2026-02-01,173217.392164061
5,2026-03-01,170033.991140896
5,2026-04-01,164364.068931885
5,2026-05-01,129240.740149763
5,2026-06-01,164353.576321242
5,2026-07-01,173391.801751825
5,2026-08-01,174068.229269748
5,2026-09-01,174132.525887449
6,2025-10-01,76997.6155810674
6,2025-11-01,46559.8230263827
6,2025-12-01,78298.6169664569
6,2026-01-01,107466.115008107
6,2026-02-01,127612.972387497
6,2026-03-01,141720.384624595
6,2026-04-01,108555.186147728
6,2026-05-01,71977.1767827704
6,2026-06-01,111502.769301305
6,2026-07-01,138300.773394096
6,2026-08-01,208562.209535736
6,2026-09-01,137862.89349904
7,2025-10-01,117980.537330044
7,2025-11-01,56070.9065601551
7,2025-12-01,171731.001930458
7,2026-01-01,208337.6668726
7,2026-02-01,234820.152514703
7,2026-03-01,112764.080244317
7,2026-04-01,102534.914390976
7,2026-05-01,130236.873375212
7,2026-06-01,351206.006859371
7,2026-07-01,404213.16385867
7,2026-08-01,373645.912804808
7,2026-09-01,331098.817023085
8,2025-10-01,89569.7077756353
8,2025-11-01,57007.2667992538
8,2025-12-01,199888.025658769
8,2026-01-01,211754.942818442
8,2026-02-01,209512.262646484
8,2026-03-01,178142.996764813
8,2026-04-01,143136.707252697
8,2026-05-01,76371.6911491705
8,2026-06-01,164341.306898194
8,2026-07-01,222737.867001818
8,2026-08-01,225103.523579212
8,2026-09-01,208464.183467926
9,2025-10-01,105747.054799807
9,2025-11-01,69290.4762772653
9,2025-12-01,103034.053822006
9,2026-01-01,98358.5558462265
9,2026-02-01,99234.604027586
9,2026-03-01,90636.640197596
9,2026-04-01,70800.8992535588
9,2026-05-01,56765.1025521819
9,2026-06-01,124179.677023128
9,2026-07-01,334103.267251893
9,2026-08-01,495803.638104393
9,2026-09-01,245617.751572972
10,2025-10-01,76878.4348720321
10,2025-11-01,55315.3978340235
10,2025-12-01,128189.831922495
10,2026-01-01,258314.989894615
10,2026-02-01,267347.229022026
10,2026-03-01,188306.052728603
10,2026-04-01,92741.2582002753
10,2026-05-01,82011.5391182902
10,2026-06-01,151182.921385462
10,2026-07-01,267162.035820113
10,2026-08-01,268755.679457461
10,2026-09-01,162764.370307518
11,2025-10-01,81845.0508842977
11,2025-11-01,56466.4017863103
11,2025-12-01,132183.903256828
11,2026-01-01,180790.452628629
11,2026-02-01,213242.187221558
11,2026-03-01,92299.1368819437
11,2026-04-01,60478.4534992025
11,2026-05-01,58021.9168250168
11,2026-06-01,139540.246561233
11,2026-07-01,198882.136061734
11,2026-08-01,229782.158328468
11,2026-09-01,237465.549860821
12,2025-10-01,61187.5696030562
12,2025-11-01,51566.5247550192
12,2025-12-01,169860.191160005
12,2026-01-01,164048.180616781
12,2026-02-01,125561.470848986
12,2026-03-01,93791.7582015495
12,2026-04-01,67447.7960782242
