"date","bagged_mean","q05","q50","q95"
2025-10-01,92531.6092685556,57672.6624679938,91311.8717355715,133822.210255032
2025-11-01,60927.2151557771,45746.0950880742,57448.4752018383,85078.4363453233
2025-12-01,135480.848583933,98075.9730593205,131430.889527567,172508.264811845
2026-01-01,168297.388650539,95802.4543080858,173828.983144709,238949.363077472
2026-02-01,188919.70941132,105008.452973217,184224.331916613,282340.613290432
2026-03-01,154593.492760393,89144.4479498645,148936.413673037,271290.652593933
2026-04-01,101465.210618868,57913.1418823199,95667.4014092911,165769.177405914
2026-05-01,78168.4112430007,48888.1708380374,66824.9353251055,132336.570425106
2026-06-01,157904.923204367,117165.14776105,148347.061050608,223943.462998876
2026-07-01,256934.522251461,146747.009030312,239963.629517694,397098.533065649
2026-08-01,284823.872682381,178649.765581931,263479.939475384,468922.190316599
2026-09-01,200518.850905725,106361.215829205,188971.425762405,311523.141173505
