"term","estimate"
"(Intercept)","-10.5690544471221"
"log_totale_arrivi_lag1","0.527412026733117"
"log_totale_arrivi_lag12","0.170516655407024"
"temperatura","0.0702033139174713"
"log_precipitazione","0.0448376096905328"
"pressione","0.0137886155094497"
"umidit_relativa","-0.00631044122477635"
"t_global","0.0034403536777617"
"sin_m1","0.371603290489046"
"cos_m1","0.319609091654436"
"sin_m2","0.249549444033674"
"cos_m2","0.409275784386613"
"sin_m3","-0.0991518580921227"
"cos_m3","0.18727047920472"
"sigma_eps","0.817896132952028"
"aic","8950.04988886789"
"bic","9048.85414653368"
"training_start","2021-01-01"
"bootstrap_baseline_model","nnetar"
"bootstrap_replications","50"
"train_end","2024-12-01"
"validation_start","2025-01-01"
"validation_end","2025-09-01"
