"model","comune_key","comune_nome","n_obs","actual_total","pred_total","mae","rmse","bias","mape","coverage_90","total_rel_error"
"multilevel","allein","Allein",9,221,1908.44747000407,187.494163333786,264.793590385495,187.494163333786,9.08738693454741,0.111111111111111,7.63550891404559
"multilevel","antey saint andre","Antey-Saint-André",9,16799,44237.0289297025,3048.66988107806,3994.69044571643,3048.66988107806,1.71581354274618,0.888888888888889,1.63331322874591
"multilevel","aosta","Aosta",9,121478,108403.690980343,3899.09809441198,4247.71655719978,-1452.70100218417,0.300801263472505,1,-0.107626969654238
"multilevel","arnad","Arnad",9,3474,10738.1855206393,807.131724515476,1118.85078936144,807.131724515476,1.81073849242579,0.777777777777778,2.09101483035097
"multilevel","arvier","Arvier",9,8747,4239.39271924745,500.84525341695,687.178309754854,-500.84525341695,0.476872653256083,1,-0.515331802989888
"multilevel","avise","Avise",9,916,1338.10300095177,55.9942851452954,79.7559944938725,46.9003334390855,0.505998998225871,1,0.460811136410228
"multilevel","ayas","Ayas",9,66587,9868.02175041025,6302.10869439886,7075.25385441932,-6302.10869439886,0.846357758936738,0.111111111111111,-0.851802577824346
"multilevel","aymavilles","Aymavilles",9,5712,3331.55735031592,264.493627742675,323.603086400124,-264.493627742675,0.422895669417359,1,-0.416744161359257
"multilevel","bard","Bard",9,6889,36293.4762868977,3267.16403187752,4139.23942805143,3267.16403187752,3.8606552972438,0.444444444444444,4.26832287514845
"multilevel","bionaz","Bionaz",9,8769,2088.96656955738,760.490942740077,1120.16710344354,-742.225936715847,0.679014680894346,0.444444444444444,-0.76177824500429
"multilevel","brissogne","Brissogne",9,365,2290.71970421397,213.968856023774,275.058530646003,213.968856023774,4.77638814121464,0.333333333333333,5.27594439510677
"multilevel","brusson","Brusson",9,24069,8975.7061517561,1677.03264980488,1901.83868918087,-1677.03264980488,0.618434137271504,0.777777777777778,-0.627084376095554
"multilevel","challand saint anselme","Challand-Saint-Anselme",9,4865,7851.34598964142,331.816221071269,521.123638220796,331.816221071269,0.490872379628075,1,0.613842957788575
"multilevel","challand saint victor","Challand-Saint-Victor",9,341,3858.14676330464,390.794084811627,487.021756368557,390.794084811627,15.6150931103385,0.111111111111111,10.3142133821251
"multilevel","chambave","Chambave",9,1334,6182.77170841855,538.752412046505,702.654887854913,538.752412046505,3.33227371397117,0.555555555555556,3.63476140061361
"multilevel","chamois","Chamois",9,3080,1895.85599675515,164.139165088119,211.448117413283,-131.571555916094,2.99835801378056,0.777777777777778,-0.38446233871586
"multilevel","champdepraz","Champdepraz",9,2921,2540.2866946396,114.657619571998,134.588198067537,-42.3014783733775,0.36832492834755,1,-0.130336633125778
"multilevel","champorcher","Champorcher",9,5002,2381.42435486211,296.705760039024,446.7556200884,-291.175071681988,0.419581707604287,1,-0.523905566800858
"multilevel","charvensod","Charvensod",9,19464,10628.2195366196,981.75338482005,1056.64146785558,-981.75338482005,0.479046102560857,1,-0.453955017641823
"multilevel","chatillon","Châtillon",9,25773,23159.8918378783,908.983800986508,999.91880368982,-290.345351346851,0.316847383762497,1,-0.101389367249512
"multilevel","cogne","Cogne",9,62861,4958.28444078596,6433.63506213489,7182.56943400915,-6433.63506213489,0.916659552013022,0,-0.921123042255358
"multilevel","courmayeur","Courmayeur",9,231129,13602.9593664165,24169.5600703982,29807.3921732556,-24169.5600703982,0.922909659978817,0,-0.941145596760179
"multilevel","donnas","Donnas",9,2348,6100.99568873422,416.999520970469,569.065206062122,416.999520970469,1.41137253895613,0.888888888888889,1.598379765219
"multilevel","doues","Doues",9,2301,3324.09127218019,130.394134103411,174.015619668036,113.676808020021,0.717286782844027,1,0.444628975306471
"multilevel","emarese","Emarèse",9,403,3973.57757462036,396.730841624485,519.406917476307,396.730841624485,28.1755691191668,0.111111111111111,8.85999398168824
"multilevel","etroubles","Etroubles",9,13645,2937.95335191453,1189.67184978727,1479.6055294689,-1189.67184978727,0.753293401357804,0.222222222222222,-0.784686452772845
"multilevel","fenis","Fénis",9,7013,4362.91848450665,294.453501721483,320.243794659345,-294.453501721483,0.407093787078382,1,-0.377881294095729
"multilevel","fontainemore","Fontainemore",9,1900,3409.20728738619,167.689698598466,201.464037707432,167.689698598466,2.45807086094119,0.777777777777778,0.794319624940103
"multilevel","gaby","Gaby",9,5410,5415.31662656666,94.7145442311479,116.401202523199,0.590736285183902,0.295759244276724,1,0.000982740585333647
"multilevel","gignod","Gignod",9,7182,6102.2268748262,132.56991020082,179.286134292536,-119.974791685978,0.162001350299868,1,-0.150344350483681
"multilevel","gressan","Gressan",9,36832,13437.5486542347,2663.99937917973,3591.84898316468,-2599.38348286281,0.505450387353305,0.777777777777778,-0.635166467901968
"multilevel","gressoney la trinite","Gressoney-La-Trinité",9,60507,7541.48054684524,5885.0577170172,7982.94940560636,-5885.0577170172,0.816554717340932,0.111111111111111,-0.875361849920749
"multilevel","gressoney saint jean","Gressoney-Saint-Jean",9,29157,8415.7886321267,2304.57904087481,2488.66803372675,-2304.57904087481,0.716875239556889,0.555555555555556,-0.711363012925654
"multilevel","hone","Hône",9,1030,6991.91096928483,662.434552142759,854.201233471408,662.434552142759,5.79989201639452,0.222222222222222,5.78826307697557
"multilevel","introd","Introd",9,4684,5122.24070449102,116.228106958824,182.612467250996,48.6934116101135,0.201010858559943,1,0.0935612093277159
"multilevel","issime","Issime",9,851,1849.66629936277,114.689107505328,175.748715233465,110.962922151419,1.29280224387863,0.777777777777778,1.17352091581994
"multilevel","issogne","Issogne",9,561,3700.25848782464,348.806498647182,478.873413754048,348.806498647182,5.46388043561679,0.222222222222222,5.5958261815056
"multilevel","jovencan","Jovençan",9,5539,26909.8078603761,2374.53420670845,3185.84124434069,2374.53420670845,3.69995657402296,0.555555555555556,3.85824297894495
"multilevel","la magdeleine","La Magdeleine",9,979,990.04374419951,28.3411758499511,32.7375644762341,1.22708268883446,0.409563551122226,1,0.0112806375888765
"multilevel","la salle","La Salle",9,20341,5614.94138022322,1636.22873553075,1746.62785738674,-1636.22873553075,0.737395835320057,0.333333333333333,-0.723959422829595
"multilevel","la thuile","La Thuile",9,63799,6793.87259830171,6338.3360174905,7449.96254419943,-6333.90304463314,0.816486980443836,0.111111111111111,-0.893511299576769
"multilevel","lillianes","Lillianes",9,1777,5805.50028486386,447.611142762651,604.653755507978,447.611142762651,2.5373524400902,0.777777777777778,2.26702323290032
"multilevel","montjovet","Montjovet",9,4725,40940.4528512203,4023.93920569115,5122.60998752293,4023.93920569115,7.7011383595375,0.111111111111111,7.66464610607838
"multilevel","morgex","Morgex",9,13505,4800.11151879828,967.209831244635,1073.72426434668,-967.209831244635,0.65377142948877,0.888888888888889,-0.644567825338891
"multilevel","nus","Nus",9,13998,6956.9161087271,782.342654585877,833.81848913089,-782.342654585877,0.516205057081538,0.888888888888889,-0.503006421722596
"multilevel","ollomont","Ollomont",9,861,742.186396270125,48.294051569479,68.7651595356991,-13.2015115255417,2.40653084655786,0.777777777777778,-0.13799489399521
"multilevel","oyace","Oyace",9,65,335.811213092246,30.0901347880273,35.4261010569482,30.0901347880273,3.49168743482656,0.222222222222222,4.16632635526532
"multilevel","perloz","Perloz",9,884,4294.99904898884,378.999894332093,497.607490554273,378.999894332093,3.43975632376032,0.555555555555556,3.85859620926339
