"scenario","date","mean_arrivals","q05","q25","q50","q75","q95"
"baseline",2025-10-01,77703.6313622411,51522.3240321112,67196.3608430523,77103.7739790996,83770.8510617561,110730.504624581
"baseline",2025-11-01,194116.724749899,133121.207055901,152384.804304114,180447.79087714,228062.203746764,287322.374838139
"baseline",2025-12-01,442856.418257502,313731.572075605,361358.56709515,419690.638345197,517415.996390995,643960.406589736
"baseline",2026-01-01,284671.431923255,191432.829112097,220697.573258556,267449.759445121,301080.431164681,425775.694764327
"baseline",2026-02-01,258413.530994818,192178.880021785,212543.280934297,262633.895545405,280791.111442181,359210.368491373
"baseline",2026-03-01,122087.56335034,82117.2369899438,102104.386060025,121804.832153197,139096.566078155,179025.62599308
"baseline",2026-04-01,58031.4889227378,42388.3482903725,51663.1641027381,55957.118440864,61867.6207714647,77917.5708214433
"baseline",2026-05-01,36022.918587312,24900.9740823105,29864.4179456024,34450.9783615143,39581.3389610139,53144.0051452698
"baseline",2026-06-01,34533.6212112164,25205.7555516719,27414.138681647,33472.6111523463,38851.7028768048,51477.6557390497
"baseline",2026-07-01,62290.6273147805,45168.6272905809,51525.49191102,62215.1116092973,70509.2954455393,84447.4864943833
"baseline",2026-08-01,81744.3439850489,60667.7381754988,70981.6921233441,80445.0410206311,86367.062194079,103441.859496701
"baseline",2026-09-01,64415.8307357932,47184.339577268,55540.77342377,64864.5822575756,70654.0764340727,87493.6649565925
"high_tourism",2025-10-01,89570.4396711495,64094.4019096809,72713.0285556475,89620.0909682064,100936.360496653,118224.175691122
"high_tourism",2025-11-01,217462.52486191,155214.854190596,188262.04684303,215649.429680207,248386.912954683,284932.0454706
"high_tourism",2025-12-01,553838.611991,396942.660233346,462897.824659321,529016.52465413,598739.544733676,770169.529569611
"high_tourism",2026-01-01,345656.808910207,228673.109841831,272310.795672704,307483.758250629,376202.819492694,510992.671217245
"high_tourism",2026-02-01,328582.235358508,232640.388068848,267143.075082225,300155.457205851,374349.369542875,496571.232643503
"high_tourism",2026-03-01,153023.171502579,113947.261158052,128898.69137194,144816.139026705,165547.53217058,224635.28643015
"high_tourism",2026-04-01,71143.6646171329,50803.6506586128,60671.7836511544,71186.220523437,77091.2405370408,104202.291842263
"high_tourism",2026-05-01,43795.0840716392,34025.8943051946,38124.5100974749,41633.5734920887,46333.059554727,62413.3911472157
"high_tourism",2026-06-01,45546.1267359382,31382.9336493093,38656.2672313565,43660.7013854538,48767.8860277223,66065.8848147157
"high_tourism",2026-07-01,79784.6515136122,57123.7049642829,65475.5232547106,74970.3022713245,82967.542826981,125309.635215513
"high_tourism",2026-08-01,100555.622573571,72834.0939005088,84263.168122366,96339.3726259438,110206.550925253,147313.563864191
"high_tourism",2026-09-01,82394.9388307847,57456.1404462321,67534.0896389346,79749.0870506426,91471.5637546076,128235.386908447
"low_tourism",2025-10-01,69157.8894824022,53676.2293898729,59361.5693826862,64779.2039549476,73537.1474568403,102224.288001404
"low_tourism",2025-11-01,154667.022887655,109509.240441006,133355.088274419,148636.15661484,167197.415647829,205242.860021192
"low_tourism",2025-12-01,355392.998541242,258613.109733037,297859.70053074,330173.868339498,395842.24577417,448222.800314734
"low_tourism",2026-01-01,220705.695237638,159908.07659391,182066.331784212,203383.045527654,235413.549726882,329396.391772238
"low_tourism",2026-02-01,208490.680791698,141772.370997212,165509.695901242,202198.306357245,232763.263206621,298369.342064898
"low_tourism",2026-03-01,101621.176890458,73006.8176418531,84703.6270717292,91564.5645256759,107553.28401383,167650.492563269
"low_tourism",2026-04-01,47198.4878823374,31737.8790721907,37528.5650347838,43885.2826210464,53330.6905907137,70394.7201426832
"low_tourism",2026-05-01,28726.6282315806,21043.1715661499,24376.9126938318,27883.2938470685,31889.839687164,39244.04292189
"low_tourism",2026-06-01,28681.8959050589,21632.9962909687,24325.2803589169,26544.869621624,30727.0419814836,43756.8286198724
"low_tourism",2026-07-01,51618.1026864965,32414.5913660929,40441.8882979165,47206.5663885313,55414.2495560775,86189.9823525237
"low_tourism",2026-08-01,66760.5998859956,47626.1542906679,55727.2779030268,62185.8603354702,75063.8437363148,97113.8865610079
"low_tourism",2026-09-01,53539.0641318415,37257.4242081537,45921.338092524,51793.3424501727,58156.0803520202,74555.7005474059
"shock",2025-10-01,103222.822475498,71672.8669710173,87490.5260248342,96780.6517525737,118529.31213153,143128.941056878
"shock",2025-11-01,293754.575649908,189718.403198107,222733.15916085,273304.017662434,331908.004876833,517307.314923365
"shock",2025-12-01,704665.034754102,472286.786341814,566869.007669352,689340.037742025,801232.029355198,927108.472706468
"shock",2026-01-01,416656.439113629,311917.620362423,368316.490933935,415236.693503863,458805.634585637,523664.850014304
"shock",2026-02-01,404865.814623613,272924.037964765,338714.375917148,383183.37486655,445597.920375711,608375.484584659
"shock",2026-03-01,201014.943374491,126608.042149479,160128.115104262,195922.727294785,226477.702098164,347472.22726867
"shock",2026-04-01,98818.2640381407,70874.4892964856,79917.4179699981,94216.6610971685,111472.830848962,134835.223506514
"shock",2026-05-01,60369.5749083826,38986.1733457986,48238.7193399933,59496.8205205992,69533.2769003746,84298.0044798061
"shock",2026-06-01,63724.435159529,40464.0556181133,48733.8299035307,58748.6521623445,68557.53189132,96972.2706954725
"shock",2026-07-01,106475.067945139,65901.9928027613,85498.3248183397,98050.4238198285,119986.628447364,173492.654566763
"shock",2026-08-01,136584.542314183,96516.121602532,116275.956857618,129054.9878773,148057.110498451,203057.278040653
"shock",2026-09-01,104854.212265635,75715.1604665323,89394.065731948,101065.012406243,111685.127630312,149664.14966373
