comune_key,n_obs,MAE_kwh,RMSE_kwh,Bias_kwh,MAPE_pct,model,best_RMSE_kwh,delta_from_best_RMSE,underperform_flag
allein,8,2246.460298671451,2910.1582374262016,2246.460298671451,80.89678242485611,Prophet,2910.1582374262016,0,ok
allein,8,12308.342758621558,31114.562059196352,12247.75833247856,451.5773311365512,GAMM,2910.1582374262016,28204.403821770153,ok
allein,8,15796.227966354498,42483.86529585264,15324.191532250237,580.0573068822546,Mixed,2910.1582374262016,39573.707058426444,high_gap
antey saint andre,9,11129.83268971763,17271.40130590613,4237.7837401832785,8.638799182738701,Prophet,17271.40130590613,0,ok
antey saint andre,9,14138.274100209504,18757.94674476728,4209.331566643702,10.413963688820598,Mixed,17271.40130590613,1486.5454388611506,ok
antey saint andre,9,13481.132033035048,19173.36749960845,12952.438498960004,10.694763731326033,GAMM,17271.40130590613,1901.9661937023193,high_gap
aosta,9,298861.9833589896,411186.3589824567,157831.23190003633,4.872625103686841,Mixed,411186.3589824567,0,ok
aosta,9,325742.27790044557,474755.450311998,80254.41101413759,5.2982990011621185,Prophet,411186.3589824567,63569.09132954135,ok
aosta,9,596388.5999540063,696460.4724824933,578149.3152186021,9.371932498632015,GAMM,411186.3589824567,285274.1135000366,high_gap
arnad,9,16744.146947699035,21024.128618563213,-16240.149578940789,4.948412721365856,Mixed,21024.128618563213,0,ok
arnad,9,27381.218741360062,30398.160543323003,-26120.171922880192,8.37957617571763,Prophet,21024.128618563213,9374.03192475979,ok
arnad,9,82694.45037737908,84799.2102560432,82694.45037737908,25.741765678415053,GAMM,21024.128618563213,63775.08163747998,high_gap
arvier,9,8678.942731447249,13085.805177588456,-1307.6876150315236,8.001242253085007,Mixed,13085.805177588456,0,ok
arvier,9,7966.390913583455,13351.448918659666,7730.248550933171,8.183142258575247,GAMM,13085.805177588456,265.64374107120966,ok
arvier,9,17980.743351991405,23353.14916115569,15050.407025155228,16.848819184227576,Prophet,13085.805177588456,10267.343983567232,high_gap
avise,9,24418.2071143376,26633.69187273311,24418.2071143376,49.70359597493129,Prophet,26633.69187273311,0,ok
avise,9,26855.577091998617,29058.223866369397,26855.577091998617,53.56216076242958,Mixed,26633.69187273311,2424.5319936362866,ok
avise,9,30268.309112833245,32729.278522779125,30268.309112833245,59.98944260372229,GAMM,26633.69187273311,6095.586650046014,high_gap
ayas,9,62948.92587343619,68338.5471821989,-9603.413601710616,6.213747861905721,Prophet,68338.5471821989,0,ok
ayas,9,74703.73669834765,88135.63971433652,-38893.03553540245,7.881744016088392,Mixed,68338.5471821989,19797.092532137613,ok
ayas,9,79923.51337851785,97670.93799394098,49195.48911338826,7.3794642349199915,GAMM,68338.5471821989,29332.39081174208,high_gap
aymavilles,9,15524.593436068619,26424.27242515751,6256.311734302613,7.433687164203932,Mixed,26424.27242515751,0,ok
aymavilles,9,18657.819818312564,29983.42696177337,6133.935668475884,8.759987177917795,Prophet,26424.27242515751,3559.1545366158607,ok
aymavilles,9,27251.521719422457,35413.8012812909,27251.521719422457,12.514695480478952,GAMM,26424.27242515751,8989.528856133391,high_gap
bard,9,28761.687652704517,41847.97146050744,-22138.028411063176,15.423576239706549,GAMM,41847.97146050744,0,ok
bard,9,31992.15148901273,43370.4473994058,-28122.17287524548,17.28282307543231,Mixed,41847.97146050744,1522.4759388983584,ok
bard,9,61118.855981745815,64183.381006018964,42140.251448680705,43.83488425506336,Prophet,41847.97146050744,22335.409545511524,high_gap
bionaz,9,21825.40965463965,22651.828464395476,21825.40965463965,49.233619305241355,Mixed,22651.828464395476,0,ok
bionaz,9,22541.891917379282,23164.52812348242,22541.891917379282,50.18921044794802,GAMM,22651.828464395476,512.6996590869458,ok
bionaz,9,24878.86421249501,25380.78499394167,24878.86421249501,55.57598512484362,Prophet,22651.828464395476,2728.9565295461944,high_gap
brissogne,9,18943.931525377808,21260.46370116951,-9805.57494121572,3.7392010099142086,Mixed,21260.46370116951,0,ok
brissogne,9,27738.129166350227,32030.66330804456,-18892.956448587298,5.434813583234723,Prophet,21260.46370116951,10770.199606875052,ok
brissogne,9,33689.480581626456,39503.31873746002,-30858.9237537582,6.449580913392548,GAMM,21260.46370116951,18242.855036290508,high_gap
brusson,9,17885.840295797927,22987.221979747035,-5732.20272575962,7.986380759237896,Prophet,22987.221979747035,0,ok
brusson,9,22773.655913365143,31787.53431181587,4697.542380047914,9.565886915422714,Mixed,22987.221979747035,8800.312332068836,ok
brusson,9,26449.558696945365,32903.59034414729,16025.426540543085,10.692744867132102,GAMM,22987.221979747035,9916.368364400256,high_gap
challand saint anselme,9,6523.568176360628,10216.377036410682,663.3249693450327,7.3494150395249465,Prophet,10216.377036410682,0,ok
challand saint anselme,9,9286.901253454867,12035.629707698456,-2042.5734658684216,9.430121241042984,Mixed,10216.377036410682,1819.2526712877734,ok
challand saint anselme,9,9041.910856121249,12910.173935639446,7430.195136177765,10.37114460751912,GAMM,10216.377036410682,2693.7968992287642,high_gap
challand saint victor,9,5185.081506045872,7663.96797427052,145.13334419922063,10.362353754264197,Mixed,7663.96797427052,0,ok
challand saint victor,9,6522.974401615241,9214.126021098898,5390.436313063922,12.673158689653881,GAMM,7663.96797427052,1550.1580468283782,ok
challand saint victor,9,8269.8431891007,11917.294618058133,6161.987465761623,16.073862901084258,Prophet,7663.96797427052,4253.326643787613,high_gap
chambave,9,9214.959238585994,10750.016233569691,6211.191931765454,7.528264982489802,Mixed,10750.016233569691,0,ok
chambave,9,13101.679745266818,15140.847231664839,13101.679745266818,10.996741460678551,GAMM,10750.016233569691,4390.830998095147,ok
chambave,9,16335.222874999545,19711.97277258722,14290.931834000952,13.676305228769925,Prophet,10750.016233569691,8961.95653901753,high_gap
chamois,9,11990.356723148509,13718.240401876677,-581.8196049143257,11.438006057079502,Mixed,13718.240401876677,0,ok
chamois,9,11590.281684330186,14723.223090704745,3713.713033110744,9.793941749315147,GAMM,13718.240401876677,1004.9826888280677,ok
chamois,9,11227.33453726334,20142.43329268799,-2634.5138371162593,7.682149929796957,Prophet,13718.240401876677,6424.192890811313,high_gap
champdepraz,9,7359.853407644826,11549.036594221869,-737.5595008118083,10.765896593464328,Mixed,11549.036594221869,0,ok
champdepraz,9,6530.165453153886,11875.888345214946,4036.9497475816793,10.846106181173392,GAMM,11549.036594221869,326.8517509930771,ok
champdepraz,9,10495.066056216694,15028.137730327519,6425.194116617015,15.923365776244216,Prophet,11549.036594221869,3479.10113610565,high_gap
champorcher,9,12940.393583143572,17439.04981706963,-3968.061879680413,8.053729408926403,GAMM,17439.04981706963,0,ok
champorcher,9,12686.855618787875,19139.345525279834,-1996.2234945860628,6.953594186101057,Prophet,17439.04981706963,1700.2957082102039,ok
champorcher,9,18096.413358034795,24214.484923476415,-12970.012429314704,9.718941523349157,Mixed,17439.04981706963,6775.435106406785,high_gap
charvensod,9,19145.111081455878,32846.61569652133,8340.75548525962,8.728506016808888,Mixed,32846.61569652133,0,ok
charvensod,9,21242.766895943758,35918.91133857442,4765.661723711848,9.465770774613725,Prophet,32846.61569652133,3072.29564205309,ok
charvensod,9,26652.43200046279,42378.92756002446,26652.43200046279,12.195179291599743,GAMM,32846.61569652133,9532.311863503128,high_gap
chatillon,8,89742.09793735782,123032.27684221642,-2512.904764653067,10.226060691222404,GAMM,123032.27684221642,0,ok
chatillon,8,92643.20034491752,163885.51599700114,-55939.56967960727,10.482791985755608,Mixed,123032.27684221642,40853.23915478472,ok
chatillon,8,134200.32172845586,188880.221655847,108250.13239734498,15.450938348666247,Prophet,123032.27684221642,65847.94481363059,high_gap
cogne,9,51204.55550199167,62828.114842656934,9052.00373408684,9.338881530187559,GAMM,62828.114842656934,0,ok
cogne,9,62233.66463892736,78751.4705784289,-30288.394862705973,10.07110891813551,Mixed,62828.114842656934,15923.355735771962,ok
cogne,9,74047.38433052016,91655.64728079188,-59486.70640038858,11.182093637902272,Prophet,62828.114842656934,28827.532438134942,high_gap
courmayeur,9,171762.30231097998,184368.61121021246,25949.644421684658,9.729876700954078,GAMM,184368.61121021246,0,ok
courmayeur,9,203938.945629347,234152.72909958064,130577.96606019165,11.3733681990859,Mixed,184368.61121021246,49784.11788936818,ok
courmayeur,9,248007.59085819212,283956.42393775407,-102999.03076705424,12.034535756598363,Prophet,184368.61121021246,99587.8127275416,high_gap
donnas,9,23001.107978182325,29373.512714257162,-10564.495301459208,8.287048807794559,Mixed,29373.512714257162,0,ok
donnas,9,20670.859319274656,30911.95086021705,18415.954058930038,8.501097449111715,GAMM,29373.512714257162,1538.438145959888,ok
donnas,9,22156.64917398007,31126.91043085519,-4351.3126618387505,8.462541392835163,Prophet,29373.512714257162,1753.3977165980286,high_gap
doues,9,2955.729658421848,3510.2975995801467,-2689.232484118141,23.338971204060808,GAMM,3510.2975995801467,0,ok
doues,9,3313.171817076794,3767.7822527153285,572.5359061093849,27.861089696698464,Prophet,3510.2975995801467,257.4846531351818,ok
doues,9,4557.455816767487,4915.75608684455,-4557.455816767487,37.12196744703641,Mixed,3510.2975995801467,1405.4584872644032,high_gap
emarese,9,2997.0899108177423,4725.378009742521,1192.5760493239607,13.85306707561334,Mixed,4725.378009742521,0,ok
emarese,9,3483.4245602809533,4863.841730915625,2313.1507974497877,15.682207981507517,GAMM,4725.378009742521,138.4637211731042,ok
emarese,9,3529.4473418911953,4959.433731456214,-704.6014601779173,15.423717077666458,Prophet,4725.378009742521,234.05572171369386,high_gap
etroubles,9,7144.173090432602,8656.408354946752,-2753.1412983097316,8.112401498521853,Mixed,8656.408354946752,0,ok
etroubles,9,7260.8852706238495,11410.857521024398,5876.655064438473,8.721393259781449,Prophet,8656.408354946752,2754.4491660776457,ok
etroubles,9,9623.111210686011,12858.638386244957,9623.111210686011,11.375473983967574,GAMM,8656.408354946752,4202.230031298204,high_gap
fenis,9,14044.690690576752,21416.1972141591,1082.2602612903186,8.685333215893627,GAMM,21416.1972141591,0,ok
fenis,9,21084.496175876808,24494.256631361113,-10651.071640596605,11.621955440505207,Mixed,21416.1972141591,3078.0594172020137,ok
fenis,9,25352.70873418417,35988.66916080798,21886.862137049953,15.771473978086378,Prophet,21416.1972141591,14572.471946648879,high_gap
fontainemore,9,4101.9585596264005,5517.737936494542,191.89214155457012,9.106052982239115,Mixed,5517.737936494542,0,ok
fontainemore,9,3426.492969621711,5800.681773344144,1930.830753408404,8.385214723910698,Prophet,5517.737936494542,282.9438368496021,ok
fontainemore,9,6086.862601853695,6531.730763509567,-3789.137976599621,12.129937340012505,GAMM,5517.737936494542,1013.9928270150249,high_gap
gaby,8,11853.519918007176,13823.33140913869,2679.7169653122182,15.709934016634698,Prophet,13823.33140913869,0,ok
gaby,8,49491.137545212325,104591.9840033254,49491.137545212325,54.77919669323271,GAMM,13823.33140913869,90768.65259418671,ok
gaby,8,52578.62072393307,118236.54936948801,38682.250299065454,55.26398985880142,Mixed,13823.33140913869,104413.21796034933,high_gap
gignod,9,5834.696495260512,6591.8603509271825,-5678.828299570682,9.40174319300177,GAMM,6591.8603509271825,0,ok
gignod,9,8415.16545503005,8803.90989100211,-8415.16545503005,14.15097167397975,Mixed,6591.8603509271825,2212.049540074927,ok
gignod,9,10233.707279059254,10814.104841462606,10233.707279059254,17.829253603747322,Prophet,6591.8603509271825,4222.244490535423,high_gap
gressan,9,37238.67691253694,54758.145514564974,18419.89133991016,5.011150976237017,GAMM,54758.145514564974,0,ok
gressan,9,77949.64430761964,86423.80356552804,-42486.438351898294,9.701053866686744,Mixed,54758.145514564974,31665.658050963066,ok
gressan,9,108898.8890944812,123553.1833312285,-59827.60821570326,11.018898644247344,Prophet,54758.145514564974,68795.03781666353,high_gap
gressoney la trinite,9,41542.3018415669,48433.723789696145,-7421.57687820283,9.945113455847823,Mixed,48433.723789696145,0,ok
gressoney la trinite,9,53939.94507193166,63951.06755531938,48025.60689739908,14.924450516999741,GAMM,48433.723789696145,15517.343765623235,ok
gressoney la trinite,9,58402.33735137118,64294.417843058145,37884.26237132584,13.975640372633267,Prophet,48433.723789696145,15860.694053362,high_gap
gressoney saint jean,9,39569.86057895254,46815.87278625956,10965.90570016974,15.943933992087956,Mixed,46815.87278625956,0,ok
gressoney saint jean,9,41560.478699512445,48031.94135035462,16452.024850394482,15.84275681895379,Prophet,46815.87278625956,1216.0685640950542,ok
gressoney saint jean,9,47083.03050724183,56958.34586309832,45149.92094453054,19.21791310887679,GAMM,46815.87278625956,10142.47307683876,high_gap
hone,9,12275.409883005292,18400.38610305669,11335.579580294834,11.07042536426064,Mixed,18400.38610305669,0,ok
hone,9,13363.500955541487,19164.201147039163,12480.819559680707,11.665336570199761,Prophet,18400.38610305669,763.8150439824713,ok
hone,9,15440.594630653028,20077.282649314508,15440.594630653028,12.907130013885237,GAMM,18400.38610305669,1676.8965462578162,high_gap
introd,9,5236.794870835463,9034.86740238429,1505.6978345276698,7.344813991789037,Mixed,9034.86740238429,0,ok
introd,9,5246.222696784764,10019.659356127755,2994.3883645371793,7.5827905198883165,Prophet,9034.86740238429,984.7919537434645,ok
introd,9,8473.311789706337,11717.993275612645,8473.311789706337,11.21524323200843,GAMM,9034.86740238429,2683.125873228355,high_gap
issime,9,7243.098243576145,8701.58711480681,-3343.4977463124433,11.84662846451726,GAMM,8701.58711480681,0,ok
issime,9,6934.940734544778,8816.701732393662,-2548.1651432832855,11.411733415565369,Mixed,8701.58711480681,115.11461758685073,ok
issime,9,6906.447050210534,11069.314876083648,6329.369181161878,13.394388450704914,Prophet,8701.58711480681,2367.7277612768376,high_gap
issogne,9,15978.537821807236,17267.93505423368,-10391.081028315604,8.467385013815084,Mixed,17267.93505423368,0,ok
issogne,9,15792.844391555605,18419.49664495547,-7758.9403749700705,8.54781426548606,GAMM,17267.93505423368,1151.5615907217907,ok
issogne,9,15834.193415245965,23890.23352769019,7232.6002315821825,9.253886358345337,Prophet,17267.93505423368,6622.298473456511,high_gap
jovencan,9,7433.88791635692,10508.902274039605,2483.332046183376,8.399872127493346,GAMM,10508.902274039605,0,ok
jovencan,9,7985.908142641685,11304.019476898227,-873.0574470467077,8.340947749775689,Mixed,10508.902274039605,795.1172028586225,ok
jovencan,9,8580.789222840016,13284.724797399302,5253.031455666141,10.061838111425198,Prophet,10508.902274039605,2775.822523359697,high_gap
la magdeleine,9,3938.930453448871,5054.847483681985,3127.3214376827673,31.677756314006505,GAMM,5054.847483681985,0,ok
la magdeleine,9,4329.061569488897,5319.664501571614,1465.212608599105,31.100259114727578,Prophet,5054.847483681985,264.8170178896289,ok
la magdeleine,9,4019.246279319679,5331.527695186967,2445.310778105227,33.043669658230776,Mixed,5054.847483681985,276.68021150498225,high_gap
la salle,9,30349.31619982562,39104.307610832926,-4727.233359506787,8.331637110914295,GAMM,39104.307610832926,0,ok
la salle,9,31421.060657965885,44284.259197354826,-7042.366207617115,8.647625619085584,Prophet,39104.307610832926,5179.9515865219,ok
la salle,9,47141.8784089558,52015.51328829408,-28886.13611087708,11.592029881550628,Mixed,39104.307610832926,12911.205677461156,high_gap
la thuile,9,147359.5991599643,185653.07923573937,69604.07219886767,23.23707030223104,GAMM,185653.07923573937,0,ok
la thuile,9,162775.16841000394,209563.26272710192,-114323.45590206186,20.96842171223083,Prophet,185653.07923573937,23910.18349136255,ok
la thuile,9,153103.80184160284,210546.63298640744,48435.030016299264,22.340449111400883,Mixed,185653.07923573937,24893.55375066807,high_gap
lillianes,9,6335.134384818863,7103.7904768837525,-3861.500502288895,14.773439465453958,Mixed,7103.7904768837525,0,ok
lillianes,9,6833.893827281296,7565.252194685713,-4660.561825164164,15.613298315832658,GAMM,7103.7904768837525,461.46171780196073,ok
lillianes,9,7051.300856680507,9685.866342390189,7051.300856680507,19.63659219294385,Prophet,7103.7904768837525,2582.0758655064365,high_gap
montjovet,9,14916.61048498457,21604.630930724263,-2110.3501622163426,9.200583404527931,Mixed,21604.630930724263,0,ok
montjovet,9,13817.513721825306,23303.73692282387,10726.797404103883,9.409610703360919,GAMM,21604.630930724263,1699.1059920996086,ok
montjovet,9,29173.44607267058,36793.019090856375,29173.44607267058,17.96070876884815,Prophet,21604.630930724263,15188.388160132112,high_gap
morgex,9,111945.05246954113,137753.30651562024,96899.22274870993,12.014831477915413,Mixed,137753.30651562024,0,ok
morgex,9,134313.8653703687,170723.1059504459,117200.18216614236,14.437890194649029,GAMM,137753.30651562024,32969.79943482566,ok
morgex,9,199392.71965474365,213412.49471079934,199392.71965474365,20.952727001706755,Prophet,137753.30651562024,75659.1881951791,high_gap
nus,9,23647.98340927801,35871.843758534415,-1310.0729617405968,10.614812777685337,Mixed,35871.843758534415,0,ok
nus,9,23149.515854354362,39412.6452021466,23149.515854354362,11.248182638104156,GAMM,35871.843758534415,3540.8014436121885,ok
nus,9,22777.81066781614,41856.94996895947,8236.364115525377,10.996057323706513,Prophet,35871.843758534415,5985.106210425052,high_gap
ollomont,9,3342.148630775629,4696.8489295267545,1535.1390072155955,11.12901681226745,Prophet,4696.8489295267545,0,ok
ollomont,9,2690.194629475172,4964.413851290558,1128.1024821892352,10.264414753533595,Mixed,4696.8489295267545,267.5649217638038,ok
ollomont,9,4257.017214481102,5830.687815006626,4067.7363833239306,14.632597584123053,GAMM,4696.8489295267545,1133.8388854798714,high_gap
oyace,9,1890.881638899788,2471.732318930299,-800.4395285579526,7.92582617038215,Prophet,2471.732318930299,0,ok
oyace,9,1739.6023512857873,2629.802886200454,893.9191687211803,7.948435971366181,Mixed,2471.732318930299,158.07056727015515,ok
oyace,9,2243.244977072413,3104.157444765881,1910.2053858096176,10.262230115389437,GAMM,2471.732318930299,632.4251258355821,high_gap
perloz,9,6543.167931659216,8131.538466510093,-3280.342158163111,8.18802795324942,GAMM,8131.538466510093,0,ok
perloz,9,7504.587799557668,8952.959945786764,-4789.63994813564,9.08986584300268,Mixed,8131.538466510093,821.4214792766716,ok
perloz,9,9957.740795408447,13871.423336122658,9914.020045637883,14.241074341963156,Prophet,8131.538466510093,5739.884869612565,high_gap
pollein,9,25612.499124433016,29893.82174208424,1947.6835521842845,6.20652094240684,GAMM,29893.82174208424,0,ok
pollein,9,28316.940123813267,33670.45216004628,-18594.00038686047,6.612942237310122,Prophet,29893.82174208424,3776.630417962042,ok
pollein,9,40299.38938778112,47178.399111458166,-36690.807147618696,8.953003260878658,Mixed,29893.82174208424,17284.577369373925,high_gap
pont saint martin,9,435227.62380053086,438310.9645211173,435227.62380053086,59.63093599487592,Prophet,438310.9645211173,0,ok
pont saint martin,9,493792.81402502593,495702.44974190934,493792.81402502593,67.65402836725792,GAMM,438310.9645211173,57391.48522079206,ok
pont saint martin,9,514142.76501784933,516021.22088822315,514142.76501784933,70.36403930284469,Mixed,438310.9645211173,77710.25636710587,high_gap
pontboset,9,1232.9332512224748,2173.596640635245,750.4669191526658,7.140495218919867,GAMM,2173.596640635245,0,ok
pontboset,9,1736.1997271768334,2380.9332724836154,-499.08457659197603,8.805007919174876,Mixed,2173.596640635245,207.33663184837042,ok
pontboset,9,2592.9556119832096,3591.1398771473964,2592.9556119832096,13.979112868635788,Prophet,2173.596640635245,1417.5432365121515,high_gap
pontey,9,12259.824987839245,14151.138309944827,-5635.217087955379,10.40536649200661,Prophet,14151.138309944827,0,ok
pontey,9,20035.253391836417,23145.06353301635,-20035.253391836417,16.98305579784673,GAMM,14151.138309944827,8993.925223071523,ok
pontey,9,20925.828724640425,23781.027659711737,-20925.828724640425,17.724747628924682,Mixed,14151.138309944827,9629.88934976691,high_gap
pre saint didier,9,13446.191588960362,19013.099254442153,427.78454368750357,5.877252304475206,GAMM,19013.099254442153,0,ok
pre saint didier,9,11120.966684705632,22203.005543741663,7727.07116041693,5.469657841684957,Prophet,19013.099254442153,3189.90628929951,ok
pre saint didier,9,24603.898846928365,26893.851599483984,-15790.556343826562,9.51333134139477,Mixed,19013.099254442153,7880.75234504183,high_gap
quart,9,41658.35709049703,64319.10963291139,19776.747311105028,8.266190961956768,Mixed,64319.10963291139,0,ok
quart,9,45682.6534762054,70989.40515826335,39304.27745739697,9.192729698457198,GAMM,64319.10963291139,6670.295525351961,ok
quart,9,58016.85477276417,85127.46752501183,58016.85477276417,11.388192023991527,Prophet,64319.10963291139,20808.357892100437,high_gap
rhemes notre dame,9,13777.261689612646,14280.252922079637,6750.525810347065,23.089686322392467,Mixed,14280.252922079637,0,ok
rhemes notre dame,9,13582.590037492824,14894.679611157662,10156.068607494373,22.016935860191094,GAMM,14280.252922079637,614.4266890780254,ok
rhemes notre dame,9,23097.219868033,26430.647916098387,-20703.223849780876,30.079555166290646,Prophet,14280.252922079637,12150.39499401875,high_gap
rhemes saint georges,9,5423.942997838144,7158.131921090153,-1004.7291493331998,11.117888442407915,Prophet,7158.131921090153,0,ok
