comune_key,Prophet_MAPE_pct,GAMM_MAPE_pct,Mixed_MAPE_pct,Best_Model,Best_MAPE_pct,Rank,assignment_status
valpelline,239.910434934434,251.518342111704,241.623155068942,Prophet,239.910434934434,74,anomalous_excluded
allein,80.8967824248561,451.577331136551,580.057306882255,Prophet,80.8967824248561,73,anomalous_excluded
valgrisenche,69.4759151021997,62.8056361384779,59.7530445360181,Mixed,59.7530445360181,72,anomalous_excluded
pont saint martin,59.6309359948759,67.6540283672579,70.3640393028447,Prophet,59.6309359948759,71,anomalous_excluded
avise,49.7035959749313,59.9894426037223,53.5621607624296,Prophet,49.7035959749313,70,anomalous_excluded
bionaz,55.5759851248436,50.189210447948,49.2336193052414,Mixed,49.2336193052414,69,anomalous_excluded
saint denis,56.9895399061546,52.6363487640932,39.9327926919195,Mixed,39.9327926919195,68,anomalous_excluded
la magdeleine,31.1002591147276,31.6777563140065,33.0436696582308,Prophet,31.1002591147276,67,anomalous_excluded
doues,27.8610896966985,23.3389712040608,37.1219674470364,GAMM,23.3389712040608,66,anomalous_excluded
rhemes notre dame,30.0795551662906,22.0169358601911,23.0896863223925,GAMM,22.0169358601911,65,anomalous_excluded
la thuile,20.9684217122308,23.237070302231,22.3404491114009,Prophet,20.9684217122308,64,anomalous_excluded
