comune_key,tourism_elasticity,n_hist,elasticity_source
allein,0.24099938655523945,47,town
antey saint andre,0.07805022997642334,48,town
aosta,0.04120177834953159,48,town
arnad,0.17926016662257369,48,town
arvier,0.04184666382643597,48,town
avise,0.018580502397518593,48,town
ayas,0.2807083170774212,48,town
aymavilles,0.0645596401354011,48,town
bard,0.07130123004544142,48,town
bionaz,0.04812034290664097,48,town
brissogne,0.016232784324025504,48,town
brusson,0.18745102605710698,48,town
challand saint anselme,0.05010415193251134,48,town
challand saint victor,0.07377717175694597,48,town
chambave,0.0464810186466306,48,town
chamois,0.11130622713871428,48,town
champdepraz,0.01918930100310561,48,town
champorcher,0.14174718815115572,48,town
charvensod,0.04985600069135686,48,town
chatillon,-0.06516363743081618,46,town
cogne,0.18694891112015108,48,town
courmayeur,0.15884405868929827,48,town
donnas,0.0400601506615029,48,town
doues,0.06922358625657649,48,town
emarese,0.04322142443633403,48,town
etroubles,0.09235690193852661,48,town
fenis,0.04138532061407965,48,town
fontainemore,0.009260954285227887,48,town
gaby,0.1254253488273903,47,town
gignod,0.12061006541466293,48,town
gressan,0.16781207977572535,48,town
gressoney la trinite,0.12966160893866424,48,town
gressoney saint jean,0.2002513822100991,48,town
hone,0.04366775923170358,48,town
introd,0.05659943985367014,48,town
issime,0.030828992403662762,48,town
issogne,-0.00734731183187622,48,town
jovencan,0.09399119924323454,48,town
la magdeleine,0.13676668936686306,48,town
la salle,0.08066975785795177,48,town
la thuile,0.13614309217520507,47,town
lillianes,0.020746512525750823,48,town
montjovet,0.040097141116774454,48,town
morgex,0.07050929238591855,48,town
nus,0.05269178886975229,48,town
ollomont,0.15916112211330682,48,town
oyace,0.018197000327854884,48,town
perloz,0.035050095530017346,48,town
pollein,0.22687793714662147,48,town
pont saint martin,-0.034637927798875576,48,town
pontboset,0.0782586005708812,48,town
pontey,0.02301126557597672,48,town
pre saint didier,0.1415753865251415,48,town
quart,0.10434123708130856,48,town
rhemes notre dame,0.21249238651619048,47,town
rhemes saint georges,0.04860744215271172,48,town
roisan,0.0349069911851384,48,town
saint christophe,0.05584771249611498,48,town
saint denis,0.09923021891070566,47,town
saint marcel,0.006315264046226668,48,town
saint nicolas,0.04935390353815445,48,town
saint oyen,0.06354547490158557,48,town
saint pierre,0.07246937888076406,48,town
saint rhemy en bosses,0.0930078567131133,48,town
saint vincent,0.11740093454517615,48,town
sarre,0.046359428225557865,48,town
torgnon,0.23866093269974717,48,town
valgrisenche,0.07355325471695637,48,town
valpelline,0.09477637950328872,48,town
valsavarenche,0.07456427697757045,48,town
valtournenche,0.21637664737664913,48,town
verrayes,-0.006209540612334499,48,town
verres,0.1947178263176697,48,town
villeneuve,0.015470012169811328,48,town
