comune_key,date,assigned_model,actual_kwh,pred_kwh_mixed_actual,pred_kwh_gamm_actual,pred_kwh_mixed_q95,pred_kwh_gamm_q95,pred_kwh_prophet_actual,pred_kwh_prophet_q95,arrivals_actual,arrivals_q95,arrivals_multiplier_q95,load_actual_assigned,load_q95_assigned,delta_kwh_q95_minus_actual,delta_pct_q95_minus_actual,comune_key_norm,comune_nome,istat_muni_code,risk_score,p_energy_given_tourism_upper_95,lift_upper_95,p_energy_given_tourism_upper_90,lift_upper_90,tourism_intensity_rank,risk_rank,scenario_tail_impact_kwh,scenario_tail_impact_weighted,abs_shock_kwh,abs_tail_impact_kwh
ayas,2025-02-01,Prophet,1621093.999999999,1703329.976341394,1811258.8070695456,1845255.0487356675,1953813.5068402104,1582961.9003162123,1768091.195940295,8920.000000000004,15401.7922139803,1.7266583199529475,1582961.9003162123,1768091.195940295,185129.29562408268,11.695120115468429,ayas,Ayas,7007,0.383172767896169,0.333333333333333,6.66666666666667,0.272727272727273,2.72727272727273,8,3,61709.76520802749,23645.501540982605,185129.29562408268,61709.76520802749
ayas,2025-09-01,Prophet,618501.9999999995,691593.4089012229,731898.6416116962,789108.8933905308,844195.4641543423,660553.695453968,792640.3050940679,4283.000000000001,10537.2717665422,2.4602549069675925,660553.695453968,792640.3050940679,132086.60964009992,19.99634708716949,ayas,Ayas,7007,0.383172767896169,0.333333333333333,6.66666666666667,0.272727272727273,2.72727272727273,8,3,44028.869880033264,16870.663939272614,132086.60964009992,44028.869880033264
ayas,2025-01-01,Prophet,2253727.9999999995,2231421.571960283,2304419.7699570195,2319409.7131491955,2393254.5064613484,2371600.2616324234,2501802.0731212855,9503.999999999998,12374.6198823111,1.3020433377852592,2371600.2616324234,2501802.0731212855,130201.81148886216,5.49004035778109,ayas,Ayas,7007,0.383172767896169,0.333333333333333,6.66666666666667,0.272727272727273,2.72727272727273,8,3,43400.603829620675,16629.929497760826,130201.81148886216,43400.603829620675
ayas,2025-03-01,Prophet,1601644.9999999988,1607465.769990634,1723907.9976004935,1700421.4105674636,1822147.503066264,1560885.478465401,1686987.089668792,8728.000000000002,12809.6530976271,1.467650446565891,1560885.478465401,1686987.089668792,126101.61120339089,8.078850943463767,ayas,Ayas,7007,0.383172767896169,0.333333333333333,6.66666666666667,0.272727272727273,2.72727272727273,8,3,42033.870401130254,16106.23446698993,126101.61120339089,42033.870401130254
ayas,2025-08-01,Prophet,1115685.000000001,974311.4915402826,1048677.2464642206,1048770.970621674,1114877.0323577933,1048205.0810770364,1160501.6834620608,12096.00000000001,19994.3223685996,1.6529697725363417,1048205.0810770364,1160501.6834620608,112296.60238502432,10.71322820431655,ayas,Ayas,7007,0.383172767896169,0.333333333333333,6.66666666666667,0.272727272727273,2.72727272727273,8,3,37432.200795008066,14342.999987068419,112296.60238502432,37432.200795008066
valtournenche,2025-02-01,Mixed,3013468.0000000023,2993647.6722038393,3241240.1545621664,3237905.547946628,3389552.87983812,NA,NA,21295.999999999996,37211.3854806653,1.74734154210487,2993647.6722038393,3237905.547946628,244257.8757427889,8.159205841446692,valtournenche,Valtournenche,7071,0.27967474493287,0.142857142857143,2.85714285714286,0.354838709677419,3.54838709677419,6,10,34893.98224896987,9758.965585172742,244257.8757427889,34893.98224896987
ayas,2025-07-01,Prophet,1006716.9999999994,862928.7244663207,956167.634642277,923328.0701906828,1012347.22620778,924397.6175927058,1014992.4613373115,12017.000000000004,19068.0376807165,1.586755236807564,924397.6175927058,1014992.4613373115,90594.84374460578,9.800419432119556,ayas,Ayas,7007,0.383172767896169,0.333333333333333,6.66666666666667,0.272727272727273,2.72727272727273,8,3,30198.281248201896,11571.159011580497,90594.84374460578,30198.281248201896
valtournenche,2025-03-01,Mixed,3071191.0000000014,2963618.606340252,3253956.0125953546,3139610.043740127,3362364.737569886,NA,NA,24193.00000000002,36471.7072640595,1.5075314042929555,2963618.606340252,3139610.043740127,175991.4373998749,5.938396965903969,valtournenche,Valtournenche,7071,0.27967474493287,0.142857142857143,2.85714285714286,0.354838709677419,3.54838709677419,6,10,25141.633914267866,7031.480052168459,175991.4373998749,25141.633914267866
valtournenche,2025-01-01,Mixed,3448599.999999999,3454611.268161157,3528584.851173933,3602341.2352547366,3614498.988580449,NA,NA,21084.000000000007,28402.2825910056,1.3471012422218551,3454611.268161157,3602341.2352547366,147729.96709357947,4.276312314937081,valtournenche,Valtournenche,7071,0.27967474493287,0.142857142857143,2.85714285714286,0.354838709677419,3.54838709677419,6,10,21104.281013368516,5902.33440940545,147729.96709357947,21104.281013368516
ayas,2025-04-01,Prophet,971146,862692.9063743213,970148.0735904432,902645.43218747,1016433.1931522536,903262.6879915172,961579.1828302094,2174.0000000000005,2961.27633981529,1.3621326310097928,903262.6879915172,961579.1828302094,58316.49483869213,6.456205444328034,ayas,Ayas,7007,0.383172767896169,0.333333333333333,6.66666666666667,0.272727272727273,2.72727272727273,8,3,19438.831612897357,7448.430913781432,58316.49483869213,19438.831612897357
saint vincent,2025-09-01,Mixed,1137935.0000000002,1230425.664534731,1373063.0822877605,1323257.1357180236,1455791.4298907537,NA,NA,5782.000000000003,14202.2234251612,2.4562821558563117,1230425.664534731,1323257.1357180236,92831.47118329255,7.544663107981875,saint vincent,Saint-Vincent,7065,0.280098913072602,0.2,4,0.210526315789474,2.10526315789474,23,9,18566.294236658512,5200.398835474164,92831.47118329255,18566.294236658512
valtournenche,2025-09-01,Mixed,966361.9999999997,991736.3187849931,1117630.329313523,1118870.2759888547,1263891.9602691818,NA,NA,3819.9999999999977,9012.57010464711,2.35931154571914,991736.3187849931,1118870.2759888547,127133.95720386144,12.819330581703126,valtournenche,Valtournenche,7071,0.27967474493287,0.142857142857143,2.85714285714286,0.354838709677419,3.54838709677419,6,10,18161.993886265936,5079.451007613769,127133.95720386144,18161.993886265936
gressan,2025-02-01,GAMM,1581001.999999999,1510567.587825006,1606924.6488371894,1569407.6919757733,1658805.072958937,NA,NA,7785.000000000004,12745.9832875821,1.6372489772102885,1606924.6488371894,1658805.072958937,51880.42412174749,3.2285536325109776,gressan,Gressan,7031,0.375662509191696,0.333333333333333,6.66666666666667,0.25,2.5,28,4,17293.474707249145,6496.510101168345,51880.42412174749,17293.474707249145
gressan,2025-09-01,GAMM,485529.0000000003,625647.229223228,617594.4303136127,664725.0612035701,668089.9862675635,NA,NA,596.0000000000001,1303.43012335194,2.186963294214664,617594.4303136127,668089.9862675635,50495.555953950854,8.176167639385824,gressan,Gressan,7031,0.375662509191696,0.333333333333333,6.66666666666667,0.25,2.5,28,4,16831.851984650268,6323.095750896949,50495.555953950854,16831.851984650268
valtournenche,2025-04-01,Mixed,2416713,2335380.650003407,2732063.1060543456,2452927.397917448,2812471.662202507,NA,NA,17182.000000000015,24368.4260307513,1.4182531737138446,2335380.650003407,2452927.397917448,117546.74791404093,5.033301441196292,valtournenche,Valtournenche,7071,0.27967474493287,0.142857142857143,2.85714285714286,0.354838709677419,3.54838709677419,6,10,16792.39255914872,4696.408105792542,117546.74791404093,16792.39255914872
courmayeur,2025-02-01,GAMM,2779209,2651660.3952144636,2670616.29873929,2740421.121227254,2784329.127516914,NA,NA,19195.000000000007,31745.7039119049,1.6538527695704552,2670616.29873929,2784329.127516914,113712.8287776243,4.2579246158013895,courmayeur,Courmayeur,7022,0.221425714882891,0.125,2.5,0.170731707317073,1.70731707317073,4,13,14214.103597203037,3147.368050430155,113712.8287776243,14214.103597203037
ayas,2025-05-01,Prophet,594766.0000000002,559648.0944279222,621013.1526297416,584425.4244625007,649013.9146338233,674896.848136373,716535.9642616246,2018.000000000001,2712.45968825992,1.3441326502774622,674896.848136373,716535.9642616246,41639.11612525163,6.169700783198473,ayas,Ayas,7007,0.383172767896169,0.333333333333333,6.66666666666667,0.272727272727273,2.72727272727273,8,3,13879.705375083862,5318.325126154218,41639.11612525163,13879.705375083862
saint vincent,2025-08-01,Mixed,1522075.999999999,1494889.7133861298,1598436.117479153,1563752.6012686214,1653259.4502014092,NA,NA,8222.000000000004,14342.3806781037,1.7443907416813056,1494889.7133861298,1563752.6012686214,68862.88788249157,4.606553063135865,saint vincent,Saint-Vincent,7065,0.280098913072602,0.2,4,0.210526315789474,2.10526315789474,23,9,13772.577576498315,3857.684009385269,68862.88788249157,13772.577576498315
courmayeur,2025-09-01,GAMM,1346192.0000000012,1641079.745479271,1472747.290925252,1740635.314319698,1582519.2788384112,NA,NA,26245.000000000025,64547.1759069421,2.459408493310804,1472747.290925252,1582519.2788384112,109771.9879131592,7.453552187096202,courmayeur,Courmayeur,7022,0.221425714882891,0.125,2.5,0.170731707317073,1.70731707317073,4,13,13721.4984891449,3038.2926122234185,109771.9879131592,13721.4984891449
valtournenche,2025-08-01,Mixed,1563543.9999999995,1510171.0506770855,1589787.9336481376,1605836.6079462566,1646743.3441747795,NA,NA,20702,32049.3754146876,1.5481294278179694,1510171.0506770855,1605836.6079462566,95665.55726917111,6.334749777270554,valtournenche,Valtournenche,7071,0.27967474493287,0.142857142857143,2.85714285714286,0.354838709677419,3.54838709677419,6,10,13666.508181310171,3822.177189730903,95665.55726917111,13666.508181310171
gressan,2025-03-01,GAMM,1549229.9999999993,1425501.5055784786,1545579.578109243,1465068.477192816,1583708.6756525266,NA,NA,6626.999999999999,9434.68650715281,1.423673835393513,1545579.578109243,1583708.6756525266,38129.0975432836,2.4669773128037864,gressan,Gressan,7031,0.375662509191696,0.333333333333333,6.66666666666667,0.25,2.5,28,4,12709.69918109452,4774.557485441612,38129.0975432836,12709.69918109452
gressan,2025-04-01,GAMM,957896,853131.4424914313,902654.9567041834,877434.0281114997,939918.5486404556,NA,NA,881.9999999999998,1267.61147486002,1.4372012186621546,902654.9567041834,939918.5486404556,37263.5919362721,4.128221050525305,gressan,Gressan,7031,0.375662509191696,0.333333333333333,6.66666666666667,0.25,2.5,28,4,12421.197312090688,4666.178149425138,37263.5919362721,12421.197312090688
torgnon,2025-02-01,Mixed,444064.9999999997,473942.2518679303,529926.2109485207,508413.4959555795,555448.962706649,NA,NA,2458.9999999999995,4260.64565910362,1.7326741191962671,473942.2518679303,508413.4959555795,34471.24408764922,7.273300481606992,torgnon,Torgnon,7067,0.355804909779965,0.333333333333333,6.66666666666667,0.166666666666667,1.66666666666667,18,5,11490.41469588306,4088.345964203056,34471.24408764922,11490.41469588306
courmayeur,2025-03-01,GAMM,2767055.999999999,2871132.4269453506,2714711.8695966844,2944137.538488601,2804925.398983533,NA,NA,16975,24913.7457378707,1.467672797518156,2714711.8695966844,2804925.398983533,90213.52938684868,3.3231345984519267,courmayeur,Courmayeur,7022,0.221425714882891,0.125,2.5,0.170731707317073,1.70731707317073,4,13,11276.691173356085,2496.949404573958,90213.52938684868,11276.691173356085
valtournenche,2025-07-01,Mixed,1427576.9999999988,1359323.543526749,1480414.8336921565,1438118.7530285332,1529776.991928591,NA,NA,18270.999999999996,27283.0566198525,1.4932437534810632,1359323.543526749,1438118.7530285332,78795.20950178453,5.796648625488476,valtournenche,Valtournenche,7071,0.27967474493287,0.142857142857143,2.85714285714286,0.354838709677419,3.54838709677419,6,10,11256.458500254943,3148.1471599062374,78795.20950178453,11256.458500254943
saint vincent,2025-02-01,Mixed,1321205.000000001,1318836.2744545524,1451863.0334264094,1375093.9576059105,1499959.3331274686,NA,NA,6950.999999999996,11646.1876014651,1.6754693715242566,1318836.2744545524,1375093.9576059105,56257.68315135781,4.265706383806056,saint vincent,Saint-Vincent,7065,0.280098913072602,0.2,4,0.210526315789474,2.10526315789474,23,9,11251.536630271563,3151.5431805356316,56257.68315135781,11251.536630271563
