"comune_key","comune_nome","risk_rank","delta_kwh_mean","delta_kwh_lo","delta_kwh_hi","i_tail_mean","i_tail_lo","i_tail_hi","i_w_mean","i_w_lo","i_w_hi"
"saint vincent","Saint-Vincent",9,29631.5181134605,-169216.354834795,343361.379597246,5926.30362269211,-33843.270966959,68672.2759194491,1659.95120325428,-9479.46341266677,19235.0298432595
"cogne","Cogne",12,13252.4737713755,-158115.895072375,302769.585121713,1656.55922142194,-19764.4868840468,37846.1981402141,449.52645229235,-5363.32148918764,10270.0024017979
"gressoney saint jean","Gressoney-Saint-Jean",1,185.08239052944,-3608.12928981727,2610.65615719719,61.6941301764799,-1202.70976327242,870.21871906573,23.8830010843427,-465.592407222811,336.878639047342
"bard","Bard",14,715.757394231645,-28334.8335121727,45274.3809117468,71.5757394231645,-2833.48335121727,4527.43809117468,13.6612738082972,-540.811624220582,864.127592842369
"valsavarenche","Valsavarenche",16,1331.58739221999,-3145.99731882691,7603.56654895235,55.4828080091664,-131.083221617788,316.815272873015,9.16607894681443,-21.6557020285078,52.3397049808807
"antey saint andre","Antey-Saint-André",21,-504.867807765222,-11170.0077520004,16565.6121881065,0,0,0,0,0,0
"aosta","Aosta",30,38807.9474437486,-951038.627874576,1606476.73264531,0,0,0,0,0,0
"arnad","Arnad",54,2998.30615397471,-36053.352593292,66147.4581127752,0,0,0,0,0,0
"arvier","Arvier",68,-164.299457043156,-9660.98446280894,15508.3394793632,0,0,0,0,0,0
"aymavilles","Aymavilles",52,-796.258977775105,-26936.5380584626,42317.6435435073,0,0,0,0,0,0
"brissogne","Brissogne",43,-1575.29918471544,-51180.3628280718,76785.0002942768,0,0,0,0,0,0
"challand saint anselme","Challand-Saint-Anselme",36,153.937080117149,-1718.75842867561,3159.0610171304,0,0,0,0,0,0
"challand saint victor","Challand-Saint-Victor",60,-81.1570562953473,-6667.71749437124,10603.9218463951,0,0,0,0,0,0
"chambave","Chambave",51,750.889218770521,-11588.0371453098,20747.5828601743,0,0,0,0,0,0
"champdepraz","Champdepraz",66,-62.3548578970521,-5109.89568489801,8312.31871829982,0,0,0,0,0,0
"champorcher","Champorcher",15,-643.675579850335,-7735.4118678908,10088.3910402825,0,0,0,0,0,0
"charvensod","Charvensod",41,178.023207760271,-27356.9463001662,45956.8107385085,0,0,0,0,0,0
"chatillon","Châtillon",32,-40593.5497342644,-256553.520896777,305037.78787912,0,0,0,0,0,0
"donnas","Donnas",53,3449.04515953769,-23428.3085762323,46498.1322566383,0,0,0,0,0,0
"emarese","Emarèse",48,324.524417566746,-2233.63476242133,4410.68044661373,0,0,0,0,0,0
"etroubles","Etroubles",22,1045.53691266289,-9912.77067187469,18500.5284709373,0,0,0,0,0,0
"fenis","Fénis",44,3146.8064737414,-37538.1620747547,68804.6888516383,0,0,0,0,0,0
"fontainemore","Fontainemore",62,-0.311928663662111,-16.5369621064961,9.67518676437903,0,0,0,0,0,0
"gaby","Gaby",42,997.208282393909,-15867.267680822,12101.980601602,0,0,0,0,0,0
"gignod","Gignod",35,382.736716665896,-9745.81584687502,15719.0865473368,0,0,0,0,0,0
"hone","Hône",65,-419.600020131958,-12884.1760964846,20069.9991791522,0,0,0,0,0,0
"introd","Introd",59,102.804777016086,-7722.8788100081,13100.3514768579,0,0,0,0,0,0
"issime","Issime",72,104.164750217272,-5670.95292853296,9497.39696801282,0,0,0,0,0,0
"issogne","Issogne",23,1026.45971947347,-16534.5518038468,28918.1865885462,0,0,0,0,0,0
"jovencan","Jovençan",18,2.79527608679959,-10044.7645837148,16583.719711113,0,0,0,0,0,0
"la salle","La Salle",49,-4027.27346701962,-110701.780864996,176872.372338278,0,0,0,0,0,0
"lillianes","Lillianes",70,48.1349681166986,-2624.92679260211,4439.0650006866,0,0,0,0,0,0
"montjovet","Montjovet",45,-66.5316639937065,-17554.7340970017,28422.9900633621,0,0,0,0,0,0
"morgex","Morgex",27,-388.261539650264,-135943.381254653,215239.603460178,0,0,0,0,0,0
"nus","Nus",55,378.602100144539,-26294.824175005,44500.8333027501,0,0,0,0,0,0
"ollomont","Ollomont",28,508.945954717949,-3570.96834920439,7026.8454762396,0,0,0,0,0,0
"oyace","Oyace",50,-0.540558020479439,-15.0688552605725,11.6155593151699,0,0,0,0,0,0
"perloz","Perloz",47,266.617712306816,-7197.00463696139,11799.6494947654,0,0,0,0,0,0
"pollein","Pollein",19,4129.98774834847,-113802.900672971,194857.095140178,0,0,0,0,0,0
"pontboset","Pontboset",29,312.954831680154,-3068.5068762741,4978.30293933299,0,0,0,0,0,0
"pontey","Pontey",71,-30.9236786023935,-1361.42828047255,806.301297157716,0,0,0,0,0,0
"quart","Quart",26,790.389936744428,-72886.2885313773,122591.569372856,0,0,0,0,0,0
"rhemes saint georges","Rhêmes-Saint-Georges",40,9.74606271661542,-442.522186998609,708.60594018227,0,0,0,0,0,0
"roisan","Roisan",64,279.247724924353,-6885.44257410817,11809.3443700404,0,0,0,0,0,0
"saint christophe","Saint-Christophe",24,2390.27592148982,-67491.3600814739,107126.776641682,0,0,0,0,0,0
"saint marcel","Saint-Marcel",57,-795.635062688526,-29221.5971796292,44315.6603993048,0,0,0,0,0,0
"saint nicolas","Saint-Nicolas",39,-59.90474753888,-1781.58660182675,2666.0723765515,0,0,0,0,0,0
"saint oyen","Saint-Oyen",33,171.52120864444,-3595.85826568894,6098.85726712256,0,0,0,0,0,0
"saint pierre","Saint-Pierre",34,123.32263510323,-90199.6471599505,148908.966103988,0,0,0,0,0,0
"saint rhemy en bosses",NA,NA,3228.2584359705,-32246.2259806468,57345.9049105244,0,0,0,0,0,0
"sarre","Sarre",46,1003.22723446467,-47365.8160034771,79416.4291007083,0,0,0,0,0,0
"verrayes","Verrayes",67,1284.46514627446,-21985.8774303154,35283.6968252345,0,0,0,0,0,0
