"obs_id","comune_key","energy_residual","tourism_shock","u_energy","u_tourism","energy_upper_90","tourism_upper_90","joint_upper_90","energy_upper_95","tourism_upper_95","joint_upper_95"
1,"allein",-0.149363120792284,-0.734688152072802,0.0890887493636518,0.211606991345664,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,"allein",-0.271832252175736,-0.876332477582495,0.0334294926183608,0.174444255896827,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,"allein",-0.164098561585453,-1.10710586340921,0.0789071780078059,0.128796877651451,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,"allein",-0.210444917830266,-0.79460759750092,0.0534532496181911,0.196164941455965,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,"allein",-0.103338675390904,-0.584847627467322,0.15085694892245,0.252333276769048,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,"allein",-0.104022503615999,-0.180260982947036,0.14848124893942,0.409468861360937,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,"allein",-0.170628118467094,-1.37355709949038,0.0761920923129136,0.0895978279314441,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,"allein",-0.190723399109732,-0.527262338154593,0.0626166638384524,0.273035805192601,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,"allein",0.0612568656478043,-0.280540878098176,0.725267266248091,0.363482097403699,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,"allein",0.243267210123116,-1.19150324642257,0.971491600203631,0.113524520617682,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
11,"allein",-0.266397697253977,-1.20014568340046,0.0349567283217377,0.112506363482097,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,"allein",-0.165112392403968,-0.667838504675008,0.0782284065840828,0.229424741218395,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,"allein",-0.0828181619989756,-0.26782962607841,0.19294077719328,0.369081961649415,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,"allein",-0.0707935460374767,0.0895060684501337,0.22620057695571,0.526047853385373,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15,"allein",0.0629920895421261,-1.30911241226299,0.732224673341252,0.096894620736467,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16,"allein",-0.000277246503204154,-0.671836834307741,0.486000339385712,0.227558119803156,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17,"allein",0.0991514701472296,-0.867434281624069,0.836246394026811,0.177159341591719,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18,"allein",-0.205344021480958,-1.83400657071753,0.0571864924486679,0.0459867639572374,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19,"allein",-0.186354203510617,-0.402932262948452,0.0660105209570677,0.317495333446462,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
20,"allein",-0.0222003653486524,-0.38101106530046,0.394366197183099,0.324792126251485,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21,"allein",0.138482672120315,-0.320138535951412,0.906499236382148,0.347530968946207,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
22,"allein",0.140491202090274,-0.634282842941584,0.908874936365179,0.238927541150518,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
23,"allein",-0.221125188890523,-0.937406138381312,0.0485321567961989,0.157814356015612,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
24,"allein",-0.121158388299873,-1.3430819657933,0.119294077719328,0.0926522993381979,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
25,"allein",-0.224088813735347,-1.92026548175922,0.0464958425250297,0.0405565925674529,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
26,"allein",0.17092388416664,-1.20813689314297,0.940777193280163,0.111318513490582,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
27,"allein",0.0641634300864631,-1.38898037059548,0.737315459019175,0.0877312065162057,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28,"allein",-0.0314556894735247,-1.10683009484301,0.358561004581707,0.128966570507382,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
29,"allein",-0.511547306436177,-1.44183758655834,0.00610894281350755,0.0828101136942135,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30,"allein",-0.128743741407236,-1.7055086372594,0.108773120651621,0.0561683353130833,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
31,"allein",-0.31686714683071,-0.450463502207685,0.0240963855421687,0.300695740709316,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32,"allein",-0.222309711613617,-0.266123787187681,0.0476836925165451,0.370609197352791,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33,"allein",-0.126459009516603,-1.52706340730775,0.112676056338028,0.0731376209061599,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
34,"allein",0.578538828528973,-1.52965742576104,0.996606142881385,0.0729679280502291,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
35,"allein",0.152294863132637,-1.19183079649466,0.92245036483964,0.113354827761751,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
36,"allein",0.00180020078510168,-0.660984590969368,0.494994060750042,0.230782284065841,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
37,"allein",0.218573102721113,-1.27690479771397,0.965212964534193,0.101306634990667,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
38,"allein",0.0373845052731667,-1.38630065264691,0.639232988291193,0.0879008993721364,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39,"allein",0.191088798251338,-2.29029124943115,0.956219243169863,0.0210419141354149,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
40,"allein",0.127370224044773,-0.672999643561729,0.890548107924656,0.227049041235364,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41,"allein",0.156241944164577,-0.393585010831847,0.926522993381979,0.321228576276939,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
42,"allein",-0.451167827971873,-0.912550099742216,0.0103512642117767,0.164432377396912,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
43,"allein",-0.120107600452173,-0.757783198284829,0.121160699134566,0.206007127099949,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
44,"allein",-0.121089199434095,-1.32456007243481,0.11963346343119,0.0951976921771593,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
45,"allein",0.0689068341270493,-2.92081131669463,0.752587816052944,0.00407262854233837,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
46,"allein",0.026381910897034,-1.89084782169715,0.594094688613609,0.041914135414899,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
