"family","n_obs","logLik","AIC","BIC","n_parameters","lower_tail","upper_tail","sample"
"gumbel",5892,6.4913560129107,-10.9827120258214,-4.30136124823888,1,0,0.0300986010438458,"all_comuni"
"student_t",5892,5.04475196661131,-6.08950393322262,7.27319762194242,2,6.57556277196742e-05,6.57556277196742e-05,"all_comuni"
"clayton",5892,2.88961323633984,-3.77922647267969,2.90212430490283,1,0,0,"all_comuni"
"frank",5892,0.266892039012113,1.46621592197577,8.1475666995583,1,0,0,"all_comuni"
"gaussian",5892,0.0383519924827231,1.92329601503455,8.60464679261707,1,0,0,"all_comuni"
"gumbel",804,14.8554268984935,-27.7108537969871,-23.0212545278081,1,0,0.0869905665921176,"top10_tail_risk"
"student_t",804,10.7453279235332,-17.4906558470663,-8.11145730870841,2,0.00252594205782501,0.00252594205782501,"top10_tail_risk"
"gaussian",804,7.49386806421282,-12.9877361284256,-8.29813685924666,1,0,0,"top10_tail_risk"
"frank",804,6.52405105637322,-11.0481021127464,-6.35850284356748,1,0,0,"top10_tail_risk"
"clayton",804,-10.7711644420704,23.5423288841409,28.2319281533199,1,0.0288831744314511,0,"top10_tail_risk"
"gumbel",804,13.2305216855468,-24.4610433710936,-19.7714441019146,1,0,0.0653572815034009,"top10_tourism_intensity"
"student_t",804,10.3069466667756,-16.6138933335513,-7.23469479519337,2,0.000225363608903051,0.000225363608903051,"top10_tourism_intensity"
"gaussian",804,8.11449845742219,-14.2289969148444,-9.53939764566542,1,0,0,"top10_tourism_intensity"
"frank",804,6.95715672392038,-11.9143134478408,-7.2247141786618,1,0,0,"top10_tourism_intensity"
"clayton",804,-14.0586209383304,30.1172418766607,34.8068411458397,1,0.0289848906630741,0,"top10_tourism_intensity"
