"comune_key","comune_nome","risk_rank_point","p_top10","p_top20"
"la thuile","La Thuile",7,0.921,1
"rhemes notre dame","Rhêmes-Notre-Dame",8,0.871,1
"ayas","Ayas",3,0.861,0.999
"gressoney la trinite","Gressoney-La-Trinité",11,0.838,1
"saint vincent","Saint-Vincent",9,0.756,0.998
"valtournenche","Valtournenche",10,0.755,1
"gressoney saint jean","Gressoney-Saint-Jean",1,0.635,0.998
"chamois","Chamois",6,0.635,0.994
"brusson","Brusson",2,0.621,0.988
"torgnon","Torgnon",5,0.62,0.948
"cogne","Cogne",12,0.619,1
"gressan","Gressan",4,0.619,0.953
"courmayeur","Courmayeur",13,0.497,1
"champorcher","Champorcher",15,0.295,0.987
"bard","Bard",14,0.29,1
"valsavarenche","Valsavarenche",16,0.127,0.999
"pre saint didier","Pré-Saint-Didier",17,0.035,0.973
"pollein","Pollein",19,0.002,0.996
"jovencan","Jovençan",18,0.002,0.992
"valgrisenche","Valgrisenche",20,0.001,0.952
"antey saint andre","Antey-Saint-André",21,0,0.906
"allein","Allein",61,0,0.682
"aosta","Aosta",30,0,0.682
"arnad","Arnad",54,0,0.682
"arvier","Arvier",68,0,0.682
"avise","Avise",73,0,0.682
"aymavilles","Aymavilles",52,0,0.682
"bionaz","Bionaz",37,0,0.682
"brissogne","Brissogne",43,0,0.682
"challand saint anselme","Challand-Saint-Anselme",36,0,0.682
"challand saint victor","Challand-Saint-Victor",60,0,0.682
"chambave","Chambave",51,0,0.682
"champdepraz","Champdepraz",66,0,0.682
"charvensod","Charvensod",41,0,0.682
"chatillon","Châtillon",32,0,0.682
"donnas","Donnas",53,0,0.682
"doues","Doues",63,0,0.682
"emarese","Emarèse",48,0,0.682
"etroubles","Etroubles",22,0,0.682
"fenis","Fénis",44,0,0.682
"fontainemore","Fontainemore",62,0,0.682
"gaby","Gaby",42,0,0.682
"gignod","Gignod",35,0,0.682
"hone","Hône",65,0,0.682
"introd","Introd",59,0,0.682
"issime","Issime",72,0,0.682
"issogne","Issogne",23,0,0.682
"la magdeleine","La Magdeleine",31,0,0.682
"la salle","La Salle",49,0,0.682
"lillianes","Lillianes",70,0,0.682
"montjovet","Montjovet",45,0,0.682
"morgex","Morgex",27,0,0.682
"nus","Nus",55,0,0.682
"ollomont","Ollomont",28,0,0.682
"oyace","Oyace",50,0,0.682
"perloz","Perloz",47,0,0.682
"pont saint martin","Pont-Saint-Martin",25,0,0.682
"pontboset","Pontboset",29,0,0.682
"pontey","Pontey",71,0,0.682
"quart","Quart",26,0,0.682
"rhemes saint georges","Rhêmes-Saint-Georges",40,0,0.682
"roisan","Roisan",64,0,0.682
"saint christophe","Saint-Christophe",24,0,0.682
"saint denis","Saint-Denis",56,0,0.682
"saint marcel","Saint-Marcel",57,0,0.682
"saint nicolas","Saint-Nicolas",39,0,0.682
"saint oyen","Saint-Oyen",33,0,0.682
"saint pierre","Saint-Pierre",34,0,0.682
"sarre","Sarre",46,0,0.682
"valpelline","Valpelline",38,0,0.682
"verrayes","Verrayes",67,0,0.682
"verres","Verrès",58,0,0.682
"villeneuve","Villeneuve",69,0,0.682
