"comune_key","n_obs","n_tourism_upper_90","n_energy_upper_90","n_joint_upper_90","share_joint_upper_90","p_energy_given_tourism_upper_90","lift_upper_90","mean_joint_severity_90","kendall_tau","n_tourism_upper_95","n_energy_upper_95","n_joint_upper_95","share_joint_upper_95","p_energy_given_tourism_upper_95","lift_upper_95","mean_joint_severity_95","risk_score"
"gressoney saint jean",81,14,12,4,0.0493827160493827,0.285714285714286,2.85714285714286,0.952973867300187,0.0339506172839506,3,6,1,0.0123456790123457,0.333333333333333,6.66666666666667,0.990242660783981,0.387119504173636
"brusson",81,7,10,2,0.0246913580246914,0.285714285714286,2.85714285714286,0.949473952146615,0.0617283950617284,3,2,1,0.0123456790123457,0.333333333333333,6.66666666666667,0.982776175123027,0.386372855607541
"ayas",81,22,22,6,0.0740740740740741,0.272727272727273,2.72727272727273,0.948370948583065,0.0728395061728395,6,13,2,0.0246913580246914,0.333333333333333,6.66666666666667,0.983242830476837,0.383172767896169
"gressan",81,4,10,1,0.0123456790123457,0.25,2.5,0.964958425250297,-0.0265432098765432,3,10,1,0.0123456790123457,0.333333333333333,6.66666666666667,0.964958425250297,0.375662509191696
"torgnon",81,6,21,1,0.0123456790123457,0.166666666666667,1.66666666666667,0.974715764466316,0.0679012345679012,3,10,1,0.0123456790123457,0.333333333333333,6.66666666666667,0.974715764466316,0.355804909779965
"chamois",81,10,21,3,0.037037037037037,0.3,3,0.9544940324679,-0.0203703703703704,4,17,1,0.0123456790123457,0.25,5,0.9823519429832,0.33573519429832
"la thuile",78,34,21,11,0.141025641025641,0.323529411764706,3.23529411764706,0.951228730543171,0.13020313020313,18,12,4,0.0512820512820513,0.222222222222222,4.44444444444444,0.979785338537248,0.323305331239346
"rhemes notre dame",78,38,23,14,0.179487179487179,0.368421052631579,3.68421052631579,0.960770647984291,0.13020313020313,26,16,4,0.0512820512820513,0.153846153846154,3.07692307692308,0.977473273375191,0.289852590495414
"saint vincent",81,19,8,4,0.0493827160493827,0.210526315789474,2.10526315789474,0.959464619039538,0.167901234567901,10,4,2,0.0246913580246914,0.2,4,0.974673341252333,0.280098913072602
"valtournenche",81,31,21,11,0.135802469135802,0.354838709677419,3.54838709677419,0.955656171420638,0.230246913580247,14,13,2,0.0246913580246914,0.142857142857143,2.85714285714286,0.98107924656372,0.27967474493287
"gressoney la trinite",81,42,21,10,0.123456790123457,0.238095238095238,2.38095238095238,0.957737994230443,0.0549382716049383,27,16,5,0.0617283950617284,0.185185185185185,3.7037037037037,0.975360597318853,0.277430239626065
"cogne",81,22,18,8,0.0987654320987654,0.363636363636364,3.63636363636364,0.950046665535381,0.159259259259259,8,10,1,0.0123456790123457,0.125,2.5,0.992024435771254,0.271361534486216
"courmayeur",81,41,13,7,0.0864197530864197,0.170731707317073,1.70731707317073,0.948231558022836,0.101851851851852,16,8,2,0.0246913580246914,0.125,2.5,0.974927880536229,0.221425714882891
"bard",81,71,10,8,0.0987654320987654,0.112676056338028,1.12676056338028,0.967387154250806,0.0759259259259259,50,7,5,0.0617283950617284,0.1,2,0.976955710164602,0.190864585100967
"champorcher",81,3,25,2,0.0246913580246914,0.666666666666667,6.66666666666667,0.939546920074665,0.10679012345679,2,8,0,0,0,0,NA,0.166666666666667
"valsavarenche",81,37,8,6,0.0740740740740741,0.162162162162162,1.62162162162162,0.954267775326659,0.146913580246914,24,3,1,0.0123456790123457,0.0416666666666667,0.833333333333333,0.975818768029866,0.16520575067686
"pre saint didier",81,49,3,2,0.0246913580246914,0.0408163265306122,0.408163265306122,0.951934498557611,-0.0135802469135802,27,1,1,0.0123456790123457,0.037037037037037,0.740740740740741,0.954013236042763,0.129679479311003
"jovencan",81,9,2,2,0.0246913580246914,0.222222222222222,2.22222222222222,0.929832004072629,0.108641975308642,1,1,0,0,0,0,NA,0.0555555555555556
"pollein",81,23,7,4,0.0493827160493827,0.173913043478261,1.73913043478261,0.940565077210249,-0.00246913580246914,8,3,0,0,0,0,NA,0.0434782608695652
"valgrisenche",81,10,6,1,0.0123456790123457,0.1,1,0.923468521975225,-0.0555555555555555,0,2,0,0,NA,NA,NA,0.025
"antey saint andre",81,51,1,1,0.0123456790123457,0.0196078431372549,0.196078431372549,0.934753096894621,0.0987654320987654,33,0,0,0,0,0,NA,0.00490196078431373
"etroubles",81,4,0,0,0,0,0,NA,0.168518518518518,0,0,0,0,NA,NA,NA,0
"issogne",81,0,10,0,0,NA,NA,NA,0.159876543209877,0,4,0,0,NA,NA,NA,0
"saint christophe",81,0,6,0,0,NA,NA,NA,0.149382716049383,0,3,0,0,NA,NA,NA,0
"pont saint martin",81,0,3,0,0,NA,NA,NA,0.132716049382716,0,0,0,0,NA,NA,NA,0
"quart",81,0,0,0,0,NA,NA,NA,0.118518518518518,0,0,0,0,NA,NA,NA,0
"morgex",81,0,9,0,0,NA,NA,NA,0.114814814814815,0,4,0,0,NA,NA,NA,0
"ollomont",81,0,14,0,0,NA,NA,NA,0.100617283950617,0,5,0,0,NA,NA,NA,0
"pontboset",81,2,2,0,0,0,0,NA,0.0901234567901234,0,1,0,0,NA,NA,NA,0
"aosta",81,0,7,0,0,NA,NA,NA,0.0796296296296296,0,3,0,0,NA,NA,NA,0
"la magdeleine",81,0,14,0,0,NA,NA,NA,0.0679012345679012,0,7,0,0,NA,NA,NA,0
"chatillon",75,3,8,0,0,0,0,NA,0.0436036036036036,0,7,0,0,NA,NA,NA,0
"saint oyen",81,3,8,0,0,0,0,NA,0.0419753086419753,0,0,0,0,NA,NA,NA,0
"saint pierre",81,0,1,0,0,NA,NA,NA,0.0351851851851852,0,1,0,0,NA,NA,NA,0
"gignod",81,0,13,0,0,NA,NA,NA,0.0314814814814815,0,6,0,0,NA,NA,NA,0
"challand saint anselme",81,2,1,0,0,0,0,NA,0.0271604938271605,0,0,0,0,NA,NA,NA,0
"bionaz",81,1,4,0,0,0,0,NA,0.0141975308641975,0,1,0,0,NA,NA,NA,0
"valpelline",81,0,16,0,0,NA,NA,NA,0.012962962962963,0,10,0,0,NA,NA,NA,0
"saint nicolas",81,15,1,0,0,0,0,NA,0.00679012345679012,7,0,0,0,0,0,NA,0
"rhemes saint georges",81,4,7,0,0,0,0,NA,-0.00123456790123457,1,2,0,0,0,0,NA,0
"charvensod",81,0,1,0,0,NA,NA,NA,-0.00185185185185185,0,0,0,0,NA,NA,NA,0
"gaby",78,3,4,0,0,0,0,NA,-0.0136530136530137,0,1,0,0,NA,NA,NA,0
"brissogne",81,0,8,0,0,NA,NA,NA,-0.0148148148148148,0,2,0,0,NA,NA,NA,0
"fenis",81,0,0,0,0,NA,NA,NA,-0.0179012345679012,0,0,0,0,NA,NA,NA,0
"montjovet",81,4,1,0,0,0,0,NA,-0.0185185185185185,0,1,0,0,NA,NA,NA,0
"sarre",81,0,1,0,0,NA,NA,NA,-0.0209876543209877,0,0,0,0,NA,NA,NA,0
"perloz",81,0,3,0,0,NA,NA,NA,-0.032716049382716,0,0,0,0,NA,NA,NA,0
"emarese",81,0,2,0,0,NA,NA,NA,-0.041358024691358,0,1,0,0,NA,NA,NA,0
"la salle",81,3,2,0,0,0,0,NA,-0.0419753086419753,0,0,0,0,NA,NA,NA,0
"oyace",81,0,4,0,0,NA,NA,NA,-0.0462962962962963,0,2,0,0,NA,NA,NA,0
"chambave",81,0,3,0,0,NA,NA,NA,-0.0475308641975309,0,0,0,0,NA,NA,NA,0
"aymavilles",81,0,0,0,0,NA,NA,NA,-0.0493827160493827,0,0,0,0,NA,NA,NA,0
"donnas",81,0,4,0,0,NA,NA,NA,-0.0518518518518518,0,0,0,0,NA,NA,NA,0
"arnad",81,0,12,0,0,NA,NA,NA,-0.0537037037037037,0,10,0,0,NA,NA,NA,0
"nus",81,0,2,0,0,NA,NA,NA,-0.0549382716049383,0,1,0,0,NA,NA,NA,0
"saint denis",78,0,3,0,0,NA,NA,NA,-0.0569430569430569,0,2,0,0,NA,NA,NA,0
"saint marcel",81,0,14,0,0,NA,NA,NA,-0.0635802469135802,0,3,0,0,NA,NA,NA,0
"verres",81,0,20,0,0,NA,NA,NA,-0.0666666666666667,0,14,0,0,NA,NA,NA,0
"introd",81,1,1,0,0,0,0,NA,-0.0691358024691358,0,0,0,0,NA,NA,NA,0
"challand saint victor",81,0,4,0,0,NA,NA,NA,-0.0697530864197531,0,3,0,0,NA,NA,NA,0
"allein",78,0,14,0,0,NA,NA,NA,-0.0749250749250749,0,8,0,0,NA,NA,NA,0
"fontainemore",81,0,4,0,0,NA,NA,NA,-0.0895061728395062,0,2,0,0,NA,NA,NA,0
"doues",81,0,21,0,0,NA,NA,NA,-0.0907407407407407,0,9,0,0,NA,NA,NA,0
"roisan",81,0,2,0,0,NA,NA,NA,-0.0950617283950617,0,0,0,0,NA,NA,NA,0
"hone",81,0,6,0,0,NA,NA,NA,-0.102469135802469,0,1,0,0,NA,NA,NA,0
"champdepraz",81,0,2,0,0,NA,NA,NA,-0.108024691358025,0,1,0,0,NA,NA,NA,0
"verrayes",81,0,8,0,0,NA,NA,NA,-0.112345679012346,0,4,0,0,NA,NA,NA,0
"arvier",81,1,0,0,0,0,0,NA,-0.122839506172839,0,0,0,0,NA,NA,NA,0
"villeneuve",81,0,4,0,0,NA,NA,NA,-0.128395061728395,0,2,0,0,NA,NA,NA,0
"lillianes",81,0,3,0,0,NA,NA,NA,-0.13641975308642,0,0,0,0,NA,NA,NA,0
"pontey",81,0,11,0,0,NA,NA,NA,-0.15679012345679,0,3,0,0,NA,NA,NA,0
"issime",81,0,5,0,0,NA,NA,NA,-0.194444444444444,0,0,0,0,NA,NA,NA,0
"avise",81,0,13,0,0,NA,NA,NA,-0.214197530864197,0,8,0,0,NA,NA,NA,0
