"comune_key","n_obs","n_tourism_upper_90","n_energy_upper_90","n_joint_upper_90","share_joint_upper_90","p_energy_given_tourism_upper_90","lift_upper_90","mean_joint_severity_90","kendall_tau","n_tourism_upper_95","n_energy_upper_95","n_joint_upper_95","share_joint_upper_95","p_energy_given_tourism_upper_95","lift_upper_95","mean_joint_severity_95","risk_score","comune_nome","istat_muni_code","mean_arrivi","mean_residenti","mean_kwh","arrivi_per_residente","tourism_intensity_rank","risk_rank"
"gressoney saint jean",81,14,12,4,0.0493827160493827,0.285714285714286,2.85714285714286,0.952973867300187,0.0339506172839506,3,6,1,0.0123456790123457,0.333333333333333,6.66666666666667,0.990242660783981,0.387119504173636,"Gressoney-Saint-Jean","7033",2249.94623655914,803.032258064516,305264.064516129,2.80181302054043,13,1
"brusson",81,7,10,2,0.0246913580246914,0.285714285714286,2.85714285714286,0.949473952146615,0.0617283950617284,3,2,1,0.0123456790123457,0.333333333333333,6.66666666666667,0.982776175123027,0.386372855607541,"Brusson","7012",1765.29032258065,875.612903225806,288627.946236559,2.01606248157972,16,2
"ayas",81,22,22,6,0.0740740740740741,0.272727272727273,2.72727272727273,0.948370948583065,0.0728395061728395,6,13,2,0.0246913580246914,0.333333333333333,6.66666666666667,0.983242830476837,0.383172767896169,"Ayas","7007",5401.83870967742,1374.70967741935,1069557.92473118,3.92943964708091,8,3
"gressan",81,4,10,1,0.0123456790123457,0.25,2.5,0.964958425250297,-0.0265432098765432,3,10,1,0.0123456790123457,0.333333333333333,6.66666666666667,0.964958425250297,0.375662509191696,"Gressan","7031",2558.89247311828,3381.54838709677,1001609.07526882,0.756722122588113,28,4
"torgnon",81,6,21,1,0.0123456790123457,0.166666666666667,1.66666666666667,0.974715764466316,0.0679012345679012,3,10,1,0.0123456790123457,0.333333333333333,6.66666666666667,0.974715764466316,0.355804909779965,"Torgnon","7067",1072.48387096774,565.677419354839,263097.827956989,1.89592837591241,18,5
"chamois",81,10,21,3,0.037037037037037,0.3,3,0.9544940324679,-0.0203703703703704,4,17,1,0.0123456790123457,0.25,5,0.9823519429832,0.33573519429832,"Chamois","7016",340.41935483871,102.225806451613,118979.784946237,3.33007257810035,12,6
"la thuile",78,34,21,11,0.141025641025641,0.323529411764706,3.23529411764706,0.951228730543171,0.13020313020313,18,12,4,0.0512820512820513,0.222222222222222,4.44444444444444,0.979785338537248,0.323305331239346,"La Thuile","7041",4448,804.225806451613,875143.043010753,5.53078496650756,5,7
"rhemes notre dame",78,38,23,14,0.179487179487179,0.368421052631579,3.68421052631579,0.960770647984291,0.13020313020313,26,16,4,0.0512820512820513,0.153846153846154,3.07692307692308,0.977473273375191,0.289852590495414,"Rhêmes-Notre-Dame","7055",737.075268817204,81.1935483870968,72143.6021505376,9.07800291352139,3,8
"saint vincent",81,19,8,4,0.0493827160493827,0.210526315789474,2.10526315789474,0.959464619039538,0.167901234567901,10,4,2,0.0246913580246914,0.2,4,0.974673341252333,0.280098913072602,"Saint-Vincent","7065",5081.74193548387,4491.38709677419,1237195.77419355,1.13144154043941,23,9
"valtournenche",81,31,21,11,0.135802469135802,0.354838709677419,3.54838709677419,0.955656171420638,0.230246913580247,14,13,2,0.0246913580246914,0.142857142857143,2.85714285714286,0.98107924656372,0.27967474493287,"Valtournenche","7071",10201.5268817204,2246.22580645161,1801310.30107527,4.54163016577389,6,10
"gressoney la trinite",81,42,21,10,0.123456790123457,0.238095238095238,2.38095238095238,0.957737994230443,0.0549382716049383,27,16,5,0.0617283950617284,0.185185185185185,3.7037037037037,0.975360597318853,0.277430239626065,"Gressoney-La-Trinité","7032",3762.44086021505,315,513489.795698925,11.9442566990954,1,11
"cogne",81,22,18,8,0.0987654320987654,0.363636363636364,3.63636363636364,0.950046665535381,0.159259259259259,8,10,1,0.0123456790123457,0.125,2.5,0.992024435771254,0.271361534486216,"Cogne","7021",5280.41935483871,1347.22580645161,540179.569892473,3.91947610382147,9,12
"courmayeur",81,41,13,7,0.0864197530864197,0.170731707317073,1.70731707317073,0.948231558022836,0.101851851851852,16,8,2,0.0246913580246914,0.125,2.5,0.974927880536229,0.221425714882891,"Courmayeur","7022",16651.7741935484,2704.77419354839,2310068.35483871,6.15643783990077,4,13
"bard",81,71,10,8,0.0987654320987654,0.112676056338028,1.12676056338028,0.967387154250806,0.0759259259259259,50,7,5,0.0617283950617284,0.1,2,0.976955710164602,0.190864585100967,"Bard","7009",398.365591397849,113.935483870968,127973.247311828,3.49641374103435,10,14
"champorcher",81,3,25,2,0.0246913580246914,0.666666666666667,6.66666666666667,0.939546920074665,0.10679012345679,2,8,0,0,0,0,NA,0.166666666666667,"Champorcher","7018",417.150537634409,385.709677419355,145552.849462366,1.08151431518497,24,15
"valsavarenche",81,37,8,6,0.0740740740740741,0.162162162162162,1.62162162162162,0.954267775326659,0.146913580246914,24,3,1,0.0123456790123457,0.0416666666666667,0.833333333333333,0.975818768029866,0.16520575067686,"Valsavarenche","7070",1780.52688172043,167.838709677419,53223.247311828,10.6085591645845,2,16
"pre saint didier",81,49,3,2,0.0246913580246914,0.0408163265306122,0.408163265306122,0.951934498557611,-0.0135802469135802,27,1,1,0.0123456790123457,0.037037037037037,0.740740740740741,0.954013236042763,0.129679479311003,"Pré-Saint-Didier","7053",4285.33333333333,1004.35483870968,250139.602150538,4.26675231518655,7,17
"jovencan",81,9,2,2,0.0246913580246914,0.222222222222222,2.22222222222222,0.929832004072629,0.108641975308642,1,1,0,0,0,0,NA,0.0555555555555556,"Jovençan","7038",400.569892473118,721.032258064516,104053.225806452,0.555550584586018,33,18
"pollein",81,23,7,4,0.0493827160493827,0.173913043478261,1.73913043478261,0.940565077210249,-0.00246913580246914,8,3,0,0,0,0,NA,0.0434782608695652,"Pollein","7049",2345.05376344086,1518.61290322581,507327.365591398,1.54420771643619,22,19
"valgrisenche",81,10,6,1,0.0123456790123457,0.1,1,0.923468521975225,-0.0555555555555555,0,2,0,0,NA,NA,NA,0.025,"Valgrisenche","7068",671.247311827957,192.161290322581,90657.6021505376,3.49314531923228,11,20
"antey saint andre",81,51,1,1,0.0123456790123457,0.0196078431372549,0.196078431372549,0.934753096894621,0.0987654320987654,33,0,0,0,0,0,NA,0.00490196078431373,"Antey-Saint-André","7002",1432.27956989247,557.967741935484,161912.451612903,2.56695766125147,14,21
"etroubles",81,4,0,0,0,0,0,NA,0.168518518518518,0,0,0,0,NA,NA,NA,0,"Etroubles","7026",934.301075268817,484.967741935484,81433.2150537634,1.92652210544987,17,22
"issogne",81,0,10,0,0,NA,NA,NA,0.159876543209877,0,4,0,0,NA,NA,NA,0,"Issogne","7037",33.4086021505376,1341.51612903226,185751.430107527,0.0249036157132437,73,23
"saint christophe",81,0,6,0,0,NA,NA,NA,0.149382716049383,0,3,0,0,NA,NA,NA,0,"Saint-Christophe","7058",388.849462365591,3470.38709677419,322740.64516129,0.112047864264778,59,24
