"comune_key","comune_nome","risk_rank","risk_score","tourism_intensity_rank","arrivi_per_residente","n_joint_upper_95","p_energy_given_tourism_upper_95","kendall_tau"
"gressoney saint jean","Gressoney-Saint-Jean",1,0.387119504173636,13,2.80181302054043,1,0.333333333333333,0.0339506172839506
"brusson","Brusson",2,0.386372855607541,16,2.01606248157972,1,0.333333333333333,0.0617283950617284
"ayas","Ayas",3,0.383172767896169,8,3.92943964708091,2,0.333333333333333,0.0728395061728395
"gressan","Gressan",4,0.375662509191696,28,0.756722122588113,1,0.333333333333333,-0.0265432098765432
"torgnon","Torgnon",5,0.355804909779965,18,1.89592837591241,1,0.333333333333333,0.0679012345679012
"chamois","Chamois",6,0.33573519429832,12,3.33007257810035,1,0.25,-0.0203703703703704
"la thuile","La Thuile",7,0.323305331239346,5,5.53078496650756,4,0.222222222222222,0.13020313020313
"rhemes notre dame","Rhêmes-Notre-Dame",8,0.289852590495414,3,9.07800291352139,4,0.153846153846154,0.13020313020313
"saint vincent","Saint-Vincent",9,0.280098913072602,23,1.13144154043941,2,0.2,0.167901234567901
"valtournenche","Valtournenche",10,0.27967474493287,6,4.54163016577389,2,0.142857142857143,0.230246913580247
"gressoney la trinite","Gressoney-La-Trinité",11,0.277430239626065,1,11.9442566990954,5,0.185185185185185,0.0549382716049383
"cogne","Cogne",12,0.271361534486216,9,3.91947610382147,1,0.125,0.159259259259259
"courmayeur","Courmayeur",13,0.221425714882891,4,6.15643783990077,2,0.125,0.101851851851852
"bard","Bard",14,0.190864585100967,10,3.49641374103435,5,0.1,0.0759259259259259
"champorcher","Champorcher",15,0.166666666666667,24,1.08151431518497,0,0,0.10679012345679
"valsavarenche","Valsavarenche",16,0.16520575067686,2,10.6085591645845,1,0.0416666666666667,0.146913580246914
"pre saint didier","Pré-Saint-Didier",17,0.129679479311003,7,4.26675231518655,1,0.037037037037037,-0.0135802469135802
"jovencan","Jovençan",18,0.0555555555555556,33,0.555550584586018,0,0,0.108641975308642
"pollein","Pollein",19,0.0434782608695652,22,1.54420771643619,0,0,-0.00246913580246914
"valgrisenche","Valgrisenche",20,0.025,11,3.49314531923228,0,NA,-0.0555555555555555
"antey saint andre","Antey-Saint-André",21,0.00490196078431373,14,2.56695766125147,0,0,0.0987654320987654
"etroubles","Etroubles",22,0,17,1.92652210544987,0,NA,0.168518518518518
"issogne","Issogne",23,0,73,0.0249036157132437,0,NA,0.159876543209877
"saint christophe","Saint-Christophe",24,0,59,0.112047864264778,0,NA,0.149382716049383
"pont saint martin","Pont-Saint-Martin",25,0,56,0.134196775490152,0,NA,0.132716049382716
"quart","Quart",26,0,57,0.122946262230198,0,NA,0.118518518518518
"morgex","Morgex",27,0,38,0.424864252811447,0,NA,0.114814814814815
"ollomont","Ollomont",28,0,30,0.710262498351141,0,NA,0.100617283950617
"pontboset","Pontboset",29,0,29,0.732235381199112,0,NA,0.0901234567901234
"aosta","Aosta",30,0,47,0.240849925557742,0,NA,0.0796296296296296
"la magdeleine","La Magdeleine",31,0,31,0.697882164006825,0,NA,0.0679012345679012
"chatillon","Châtillon",32,0,36,0.487527402461565,0,NA,0.0436036036036036
"saint oyen","Saint-Oyen",33,0,21,1.68031798245614,0,NA,0.0419753086419753
"saint pierre","Saint-Pierre",34,0,45,0.255508565167428,0,NA,0.0351851851851852
"gignod","Gignod",35,0,46,0.252862289454326,0,NA,0.0314814814814815
"challand saint anselme","Challand-Saint-Anselme",36,0,35,0.496600692797493,0,NA,0.0271604938271605
"bionaz","Bionaz",37,0,15,2.54858212177919,0,NA,0.0141975308641975
"valpelline","Valpelline",38,0,32,0.687445377851499,0,NA,0.012962962962963
"saint nicolas","Saint-Nicolas",39,0,20,1.71105063333669,0,0,0.00679012345679012
"rhemes saint georges","Rhêmes-Saint-Georges",40,0,19,1.83973994824213,0,0,-0.00123456790123457
"charvensod","Charvensod",41,0,37,0.472709604275765,0,NA,-0.00185185185185185
"gaby","Gaby",42,0,25,0.860797918473547,0,NA,-0.0136530136530137
"brissogne","Brissogne",43,0,70,0.0436152850469919,0,NA,-0.0148148148148148
"fenis","Fénis",44,0,44,0.286717544367284,0,NA,-0.0179012345679012
"montjovet","Montjovet",45,0,49,0.235563574947904,0,NA,-0.0185185185185185
"sarre","Sarre",46,0,41,0.324361051236394,0,NA,-0.0209876543209877
"perloz","Perloz",47,0,61,0.105293775450844,0,NA,-0.032716049382716
"emarese","Emarèse",48,0,55,0.151370621958857,0,NA,-0.041358024691358
"la salle","La Salle",49,0,27,0.759268737404434,0,NA,-0.0419753086419753
"oyace","Oyace",50,0,71,0.0389902396647759,0,NA,-0.0462962962962963
"chambave","Chambave",51,0,63,0.0957182730565948,0,NA,-0.0475308641975309
"aymavilles","Aymavilles",52,0,54,0.173419038495215,0,NA,-0.0493827160493827
"donnas","Donnas",53,0,65,0.0760096054647544,0,NA,-0.0518518518518518
"arnad","Arnad",54,0,52,0.202189478053336,0,NA,-0.0537037037037037
"nus","Nus",55,0,48,0.236590983876275,0,NA,-0.0549382716049383
"saint denis","Saint-Denis",56,0,69,0.0509524636674194,0,NA,-0.0569430569430569
"saint marcel","Saint-Marcel",57,0,72,0.037418094961428,0,NA,-0.0635802469135802
"verres","Verrès",58,0,66,0.0756542446419888,0,NA,-0.0666666666666667
"introd","Introd",59,0,34,0.534992069785884,0,NA,-0.0691358024691358
"challand saint victor","Challand-Saint-Victor",60,0,60,0.110961707103186,0,NA,-0.0697530864197531
"allein","Allein",61,0,58,0.112214751426243,0,NA,-0.0749250749250749
"fontainemore","Fontainemore",62,0,40,0.339584745549948,0,NA,-0.0895061728395062
"doues","Doues",63,0,39,0.348195194241558,0,NA,-0.0907407407407407
"roisan","Roisan",64,0,68,0.0659665871121718,0,NA,-0.0950617283950617
"hone","Hône",65,0,64,0.08499272849312,0,NA,-0.102469135802469
"champdepraz","Champdepraz",66,0,43,0.302939151776361,0,NA,-0.108024691358025
"verrayes","Verrayes",67,0,50,0.234496610595029,0,NA,-0.112345679012346
"arvier","Arvier",68,0,26,0.776764082374319,0,NA,-0.122839506172839
"villeneuve","Villeneuve",69,0,51,0.221303995132833,0,NA,-0.128395061728395
"lillianes","Lillianes",70,0,42,0.311444241316271,0,NA,-0.13641975308642
"pontey","Pontey",71,0,67,0.0700856766846615,0,NA,-0.15679012345679
"issime","Issime",72,0,62,0.100792471520555,0,NA,-0.194444444444444
"avise","Avise",73,0,53,0.176692666595434,0,NA,-0.214197530864197
