"comune_key.x","istat_muni_code","comune_nome","mean_arrivi","mean_residenti","mean_letti","arrivi_per_residente","letti_per_residente","comune_key_norm","tourism_cluster","tourism_high","comune_key.y","random_intercept"
"gressoney la trinite","7032","Gressoney-La-Trinité",3762.44086021505,315,2005.41935483871,11.9442566990954,6.36641065028162,"gressoney la trinite","touristico",1,"gressoney la trinite",0.00886677689467275
"valsavarenche","7070","Valsavarenche",1780.52688172043,167.838709677419,1795.15053763441,10.6085591645845,10.6956883849061,"valsavarenche","touristico",1,"valsavarenche",-0.00324683337684076
"rhemes notre dame","7055","Rhêmes-Notre-Dame",737.075268817204,81.1935483870968,631.075268817204,9.07800291352139,7.77248046616342,"rhemes notre dame","touristico",1,"rhemes notre dame",0.00534107133317727
"courmayeur","7022","Courmayeur",16651.7741935484,2704.77419354839,6984.11827956989,6.15643783990077,2.58214467449035,"courmayeur","touristico",1,"courmayeur",0.00152165367123609
"la thuile","7041","La Thuile",4448,804.225806451613,3085.64516129032,5.53078496650756,3.83678953912799,"la thuile","touristico",1,"la thuile",-0.00332145015216311
"valtournenche","7071","Valtournenche",10201.5268817204,2246.22580645161,6209.10752688172,4.54163016577389,2.76424013518495,"valtournenche","touristico",1,"valtournenche",0.00949153853871417
"pre saint didier","7053","Pré-Saint-Didier",4285.33333333333,1004.35483870968,1350.9247311828,4.26675231518655,1.34506718055779,"pre saint didier","touristico",1,"pre saint didier",-0.00703148766220235
"ayas","7007","Ayas",5401.83870967742,1374.70967741935,2954.18279569892,3.92943964708091,2.14895031600025,"ayas","touristico",1,"ayas",0.00863916791199102
"cogne","7021","Cogne",5280.41935483871,1347.22580645161,3971.68817204301,3.91947610382147,2.94804935670274,"cogne","touristico",1,"cogne",0.00276022018625903
"bard","7009","Bard",398.365591397849,113.935483870968,123.602150537634,3.49641374103435,1.08484333710834,"bard","touristico",1,"bard",0.00188811639040401
"valgrisenche","7068","Valgrisenche",671.247311827957,192.161290322581,762.311827956989,3.49314531923228,3.96704157573723,"valgrisenche","touristico",1,"valgrisenche",-0.00865324805841235
"chamois","7016","Chamois",340.41935483871,102.225806451613,149.774193548387,3.33007257810035,1.46513095613758,"chamois","touristico",1,"chamois",0.0130891112243387
"gressoney saint jean","7033","Gressoney-Saint-Jean",2249.94623655914,803.032258064516,2123,2.80181302054043,2.64372941270989,"gressoney saint jean","touristico",1,"gressoney saint jean",-0.00358945661220863
"antey saint andre","7002","Antey-Saint-André",1432.27956989247,557.967741935484,1569.35483870968,2.56695766125147,2.8126264670174,"antey saint andre","touristico",1,"antey saint andre",-0.010271944746981
"bionaz","7010","Bionaz",571.129032258065,224.096774193548,853.935483870968,2.54858212177919,3.81056571181805,"bionaz","touristico",1,"bionaz",-0.00464714108057871
"brusson","7012","Brusson",1765.29032258065,875.612903225806,2595.04301075269,2.01606248157972,2.96368749385991,"brusson","touristico",1,"brusson",-0.00665783620918731
"etroubles","7026","Etroubles",934.301075268817,484.967741935484,512.225806451613,1.92652210544987,1.05620593321804,"etroubles","touristico",1,"etroubles",0.000892372121938679
"torgnon","7067","Torgnon",1072.48387096774,565.677419354839,800.967741935484,1.89592837591241,1.41594434306569,"torgnon","touristico",1,"torgnon",0.00353905884279365
"rhemes saint georges","7056","Rhêmes-Saint-Georges",313.408602150538,170.354838709677,433,1.83973994824213,2.54175345578489,"rhemes saint georges","touristico",1,"rhemes saint georges",0.00755024336958234
"saint nicolas","7061","Saint-Nicolas",547.591397849462,320.032258064516,250.05376344086,1.71105063333669,0.781339246715721,"saint nicolas","touristico",1,"saint nicolas",-0.005289526231875
"saint oyen","7062","Saint-Oyen",329.559139784946,196.129032258065,654.129032258065,1.68031798245614,3.33519736842105,"saint oyen","touristico",1,"saint oyen",-0.00481685746596506
"pollein","7049","Pollein",2345.05376344086,1518.61290322581,403.161290322581,1.54420771643619,0.265479958366081,"pollein","touristico",1,"pollein",-0.0220670477257481
"saint vincent","7065","Saint-Vincent",5081.74193548387,4491.38709677419,1378.16129032258,1.13144154043941,0.306845359936222,"saint vincent","touristico",1,"saint vincent",-0.00367547250429654
"champorcher","7018","Champorcher",417.150537634409,385.709677419355,551.516129032258,1.08151431518497,1.42987371414234,"champorcher","touristico",1,"champorcher",0.00783477363904679
"gaby","7029","Gaby",384.193548387097,446.322580645161,402.645161290323,0.860797918473547,0.902139346631974,"gaby","touristico",1,"gaby",0.00375317873772961
"arvier","7005","Arvier",661.903225806452,852.129032258065,695.516129032258,0.776764082374319,0.816209872804361,"arvier","touristico",1,"arvier",0.000901264961617313
"la salle","7040","La Salle",1531.32258064516,2016.83870967742,2509.45161290323,0.759268737404434,1.24425002399156,"la salle","touristico",1,"la salle",0.00269879327502299
"gressan","7031","Gressan",2558.89247311828,3381.54838709677,2026.18279569892,0.756722122588113,0.59918787601277,"gressan","touristico",1,"gressan",0.00318641461001797
"pontboset","7050","Pontboset",127.645161290323,174.322580645161,93.8064516129032,0.732235381199112,0.538119911176906,"pontboset","touristico",1,"pontboset",-0.00820935018630729
"ollomont","7046","Ollomont",115.795698924731,163.032258064516,279.161290322581,0.710262498351141,1.71230708349822,"ollomont","touristico",1,"ollomont",0.0064107401134713
"la magdeleine","7039","La Magdeleine",74.7634408602151,107.129032258065,103.548387096774,0.697882164006825,0.966576332429991,"la magdeleine","touristico",1,"la magdeleine",-0.00916456362910343
"valpelline","7069","Valpelline",414.440860215054,602.870967741935,501.483870967742,0.687445377851499,0.831826207929798,"valpelline","touristico",1,"valpelline",-0.0310165241088578
"jovencan","7038","Jovençan",400.569892473118,721.032258064516,62.8387096774194,0.555550584586018,0.0871510379384395,"jovencan","touristico",1,"jovencan",-0.00772687347723985
"introd","7035","Introd",348.193548387097,650.838709677419,314.774193548387,0.534992069785884,0.483643933386201,"introd","touristico",1,"introd",-0.000977117179916281
"challand saint anselme","7013","Challand-Saint-Anselme",371.505376344086,748.096774193548,582.161290322581,0.496600692797493,0.778189815014445,"challand saint anselme","touristico",1,"challand saint anselme",-0.00566945435575228
"chatillon","7020","Châtillon",2195.22580645161,4502.77419354839,689.630434782609,0.487527402461565,0.153156788490686,"chatillon","touristico",1,"chatillon",-0.00434489827995547
"charvensod","7019","Charvensod",1129.8064516129,2390.06451612903,307.58064516129,0.472709604275765,0.128691356691681,"charvensod","non_turistico",0,"charvensod",-0.00464298453555502
"morgex","7044","Morgex",887.623655913978,2089.1935483871,872.10752688172,0.424864252811447,0.41743740188888,"morgex","non_turistico",0,"morgex",0.0110179526216206
"doues","7024","Doues",176.849462365591,507.903225806452,125.225806451613,0.348195194241558,0.246554461733884,"doues","non_turistico",0,"doues",-0.0117419712254122
"fontainemore","7028","Fontainemore",145.440860215054,428.290322580645,119.193548387097,0.339584745549948,0.278300820968592,"fontainemore","non_turistico",0,"fontainemore",-0.00390882243155777
"sarre","7066","Sarre",1563.06451612903,4818.90322580645,1099.30107526882,0.324361051236394,0.228122671022273,"sarre","non_turistico",0,"sarre",-0.00466204516602021
"lillianes","7042","Lillianes",137.387096774194,441.129032258065,171.516129032258,0.311444241316271,0.388811700182815,"lillianes","non_turistico",0,"lillianes",-0.00783830012780221
"champdepraz","7017","Champdepraz",217.666666666667,718.516129032258,115.838709677419,0.302939151776361,0.161219358893778,"champdepraz","non_turistico",0,"champdepraz",-0.000654800110144732
"fenis","7027","Fénis",511.430107526882,1783.74193548387,194.741935483871,0.286717544367284,0.109176070601852,"fenis","non_turistico",0,"fenis",-0.000548895832950793
"saint pierre","7063","Saint-Pierre",822.440860215054,3218.83870967742,368.118279569892,0.255508565167428,0.114363692241909,"saint pierre","non_turistico",0,"saint pierre",-0.000325767326412869
"gignod","7030","Gignod",432.451612903226,1710.22580645161,437.440860215054,0.252862289454326,0.255779592709257,"gignod","non_turistico",0,"gignod",-0.018657823225402
"aosta","7003","Aosta",8109.35483870968,33669.7419354839,1870.16129032258,0.240849925557742,0.0555442715868177,"aosta","non_turistico",0,"aosta",0.00778301940753812
"nus","7045","Nus",703.537634408602,2973.64516129032,472.935483870968,0.236590983876275,0.15904233969387,"nus","non_turistico",0,"nus",-0.000823141981016883
"montjovet","7043","Montjovet",416.924731182796,1769.90322580645,248.225806451613,0.235563574947904,0.140248236644978,"montjovet","non_turistico",0,"montjovet",-0.0122763630866606
"verrayes","7072","Verrayes",301.290322580645,1284.83870967742,240.41935483871,0.234496610595029,0.187120261109716,"verrayes","non_turistico",0,"verrayes",-0.00756267699260224
"villeneuve","7074","Villeneuve",281.612903225806,1272.51612903226,213.225806451613,0.221303995132833,0.167562360575948,"villeneuve","non_turistico",0,"villeneuve",-0.00226130671194905
"arnad","7004","Arnad",251.41935483871,1243.48387096774,114.032258064516,0.202189478053336,0.0917038497457715,"arnad","non_turistico",0,"arnad",0.00400246709980871
"avise","7006","Avise",53.3440860215054,301.903225806452,79.3118279569892,0.176692666595434,0.262706129572248,"avise","non_turistico",0,"avise",0.00279769432454007
"aymavilles","7008","Aymavilles",362.043010752688,2087.67741935484,624.741935483871,0.173419038495215,0.299252140053772,"aymavilles","non_turistico",0,"aymavilles",0.00495027432145398
"emarese","7025","Emarèse",33.7849462365591,223.193548387097,66.3225806451613,0.151370621958857,0.297152767741003,"emarese","non_turistico",0,"emarese",-0.00188633677754325
"pont saint martin","7052","Pont-Saint-Martin",484.645161290323,3611.45161290323,207.354838709677,0.134196775490152,0.0574159260417132,"pont saint martin","non_turistico",0,"pont saint martin",-0.00658156503826699
"quart","7054","Quart",501.688172043011,4080.54838709677,333.967741935484,0.122946262230198,0.0818438381937912,"quart","non_turistico",0,"quart",0.00276670778276217
"allein","7001","Allein",23.6881720430108,211.096774193548,96.741935483871,0.112214751426243,0.45828239608802,"allein","non_turistico",0,"allein",-0.0020345338398217
"saint christophe","7058","Saint-Christophe",388.849462365591,3470.38709677419,186.731182795699,0.112047864264778,0.0538070185223055,"saint christophe","non_turistico",0,"saint christophe",-0.0134315541253873
"challand saint victor","7014","Challand-Saint-Victor",61.2258064516129,551.774193548387,76.9677419354839,0.110961707103186,0.139491376790412,"challand saint victor","non_turistico",0,"challand saint victor",0.00290412911468481
"perloz","7048","Perloz",48.6559139784946,462.096774193548,27.741935483871,0.105293775450844,0.0600349040139616,"perloz","non_turistico",0,"perloz",0.00752130882628707
"issime","7036","Issime",39.3870967741936,390.774193548387,55.6451612903226,0.100792471520555,0.142397226349678,"issime","non_turistico",0,"issime",0.004688387261411
"chambave","7015","Chambave",86.6559139784946,905.322580645161,39.2903225806452,0.0957182730565948,0.043399251737039,"chambave","non_turistico",0,"chambave",0.00332359840078687
"hone","7034","Hône",98.0322580645161,1153.41935483871,123.709677419355,0.08499272849312,0.107254726479472,"hone","non_turistico",0,"hone",0.001811558834113
"donnas","7023","Donnas",186.172043010753,2449.32258064516,128.096774193548,0.0760096054647544,0.0522988581437922,"donnas","non_turistico",0,"donnas",0.007000889598649
"verres","7073","Verrès",195.741935483871,2587.32258064516,95.6451612903226,0.0756542446419888,0.0369668482800753,"verres","non_turistico",0,"verres",0.0200708480642532
"pontey","7051","Pontey",56.1182795698925,800.709677419355,49.4193548387097,0.0700856766846615,0.0617194424301023,"pontey","non_turistico",0,"pontey",0.0066886070653966
"roisan","7057","Roisan",66.8709677419355,1013.70967741935,40.7741935483871,0.0659665871121718,0.0402227525855211,"roisan","non_turistico",0,"roisan",0.0030279809246131
