"Codice comune","Comune","Sesso","Popolazione censita al 1° gennaio","Nati vivi","Morti","Saldo naturale","Immigrati da altro comune","Emigrati per altro comune","Saldo migratorio interno","Immigrati dall'estero","Emigrati per l'estero","Saldo migratorio con l'estero","Unità in più/meno dovute a variazioni territoriali","Aggiustamento statistico","Saldo totale","Popolazione censita al 31 dicembre","Numero di famiglie al 31 dicembre","Popolazione censita al 31 dicembre residente in famiglia","Numero medio di componenti per famiglia al 31 dicembre","Numero di convivenze al 31 dicembre","Popolazione censita al 31 dicembre residente in convivenza"
"007001","Allein","Maschi","104","0","1","-1","6","2","4","1","0","1","0","0","4","108","","108","","","0"
"007001","Allein","Femmine","104","0","0","0","4","7","-3","1","1","0","0","0","-3","101","","101","","","0"
"007001","Allein","Totale","208","0","1","-1","10","9","1","2","1","1","0","0","1","209","123","209","1.7","0","0"
"007002","Antey-Saint-André","Maschi","266","3","3","0","23","5","18","0","0","0","0","0","18","284","","279","","","5"
"007002","Antey-Saint-André","Femmine","273","1","2","-1","13","4","9","0","0","0","0","0","8","281","","277","","","4"
"007002","Antey-Saint-André","Totale","539","4","5","-1","36","9","27","0","0","0","0","0","26","565","284","556","2.0","2","9"
"007003","Aosta","Maschi","15629","94","193","-99","511","477","34","119","64","55","0","-25","-35","15594","","15437","","","157"
"007003","Aosta","Femmine","17525","91","232","-141","539","460","79","140","62","78","0","-37","-21","17504","","17324","","","180"
"007003","Aosta","Totale","33154","185","425","-240","1050","937","113","259","126","133","0","-62","-56","33098","16580","32761","2.0","31","337"
"007004","Arnad","Maschi","586","2","10","-8","24","16","8","6","1","5","0","-2","3","589","","584","","","5"
"007004","Arnad","Femmine","646","3","9","-6","14","15","-1","5","1","4","0","0","-3","643","","636","","","7"
"007004","Arnad","Totale","1232","5","19","-14","38","31","7","11","2","9","0","-2","0","1232","600","1220","2.0","1","12"
"007005","Arvier","Maschi","405","0","3","-3","13","20","-7","3","1","2","0","2","-6","399","","399","","","0"
"007005","Arvier","Femmine","415","2","7","-5","21","24","-3","1","1","0","0","0","-8","407","","407","","","0"
"007005","Arvier","Totale","820","2","10","-8","34","44","-10","4","2","2","0","2","-14","806","408","806","2.0","0","0"
"007006","Avise","Maschi","144","0","2","-2","6","5","1","2","0","2","0","0","1","145","","145","","","0"
"007006","Avise","Femmine","157","2","1","1","4","4","0","0","0","0","0","0","1","158","","158","","","0"
"007006","Avise","Totale","301","2","3","-1","10","9","1","2","0","2","0","0","2","303","138","303","2.2","0","0"
